日期(年/月),單位,電力消費_總計(數值),電力消費_能源部門自用(數值),電力消費_工業部門_合計(數值),電力消費_工業部門_紡織成衣及服飾業(數值),電力消費_工業部門_紙漿紙及紙製品業(數值),電力消費_工業部門_化學材料製造業(數值),電力消費_工業部門_塑膠製品製造業(數值),電力消費_工業部門_非金屬礦物製品製造業(數值),電力消費_工業部門_金屬基本工業(數值),電力消費_工業部門_金屬製品製造業(數值),電力消費_工業部門_電腦通信及視聽電子產品製造業(數值),電力消費_工業部門_其他(數值),電力消費_運輸部門_合計(數值),電力消費_運輸部門_國內航空(數值),電力消費_運輸部門_公路(數值),電力消費_運輸部門_鐵路(數值),電力消費_運輸部門_管線運輸(數值),電力消費_運輸部門_國內水運(數值),電力消費_運輸部門_其他(數值),電力消費_農業部門(數值),電力消費_服務業部門_合計(數值),電力消費_服務業部門_批發及零售業(數值),電力消費_服務業部門_住宿及餐飲業(數值),電力消費_服務業部門_運輸服務業(數值),電力消費_服務業部門_倉儲業(數值),電力消費_服務業部門_通信業(數值),電力消費_服務業部門_金融保險及不動產業(數值),電力消費_服務業部門_工商服務業(數值),電力消費_服務業部門_社會服務及個人服務(數值),電力消費_服務業部門_公共行政業(數值),電力消費_服務業部門_其他(數值),電力消費_住宅部門(數值)
200804,百萬度,18962.200676,1493.294899,10636.45756,487.543366,313.5523,2439.296656,385.449254,463.065538,1603.626153,546.229732,2854.84013,1542.854431,97.780786,0,0,94.140101,3.640685,0,0,209.505382,3460.901922,484.469898,195.656653,98.491046,58.927226,121.169357,90.379227,86.485,704.098494,426.78138,1194.443641,3064.260127
200805,百萬度,19622.680911,1676.420864,10543.074075,553.740277,294.252885,2591.951802,396.414702,430.419909,1355.041376,534.136662,2843.554775,1543.561687,94.264326,0,0,90.579339,3.684987,0,0,227.400976,3895.7671262,568.679446,213.878337,100.591075,59.944417,121.271804,95.094447,89.381632,740.727464,420.8947832,1485.303721,3185.7535438
200806,百萬度,21343.658562,1685.852741,11513.865624,623.440884,331.801062,2653.832714,435.897897,480.911552,1391.02402,584.502858,3289.097631,1723.357006,107.000669,0,0,103.577843,3.422826,0,0,231.159254,4192.1120832,500.270746,241.073733,120.544163,68.671146,138.169569,111.905101,102.304943,873.691694,468.7001932,1566.780795,3613.6681908
200807,百萬度,19750.099868,1695.915146,9929.779548,503.843295,268.295387,2523.297318,372.293781,387.828729,1097.261621,503.041734,2795.361054,1478.556629,89.421418,0,0,86.021244,3.400174,0,0,226.927451,4042.7123682,539.447729,239.182672,103.27753,61.855432,132.204622,103.075959,95.313241,720.324716,437.8107202,1610.219747,3765.3439368
200808,百萬度,20879.488481,1680.456204,10263.874528,515.127818,290.06034,2456.191697,379.554327,407.446473,1263.040779,524.897027,2862.287147,1565.26892,95.447489,0,0,92.281439,3.16605,0,0,244.756951,4248.7926894,577.299118,259.725045,118.123869,65.072092,120.921218,109.131208,101.13211,722.624274,511.0609844,1663.702771,4346.1606196
200809,百萬度,22148.18337,1706.858441,10855.33358,586.721928,289.919865,2208.456318,402.995857,467.459551,1277.910301,562.498156,3355.099966,1704.271638,109.956098,0,0,106.953333,3.002765,0,0,240.291761,4647.6289816,586.36359,260.477318,124.928987,70.587709,142.899007,116.301502,107.673721,893.650371,458.7350566,1886.01172,4588.1145084
200810,百萬度,19221.506577,1538.769402,9065.004941,465.410064,262.519244,1894.277064,328.073255,383.514476,1076.642048,451.226803,2845.658532,1357.683455,90.987085,0,0,88.022482,2.964603,0,0,229.800067,4134.4807176,521.416731,230.502738,92.516902,58.113859,119.339887,97.59826,90.774495,732.210851,439.0878236,1752.919171,4162.4643644
200811,百萬度,17331.02045,1437.064464,7888.753656,419.697002,218.206189,1775.867736,314.958505,370.407139,910.665156,402.581516,2143.818827,1332.551586,87.739039,0,0,84.787867,2.951172,0,0,227.916813,3843.3141224,496.567211,219.006413,100.15232,53.198947,113.584647,92.128231,87.28185,673.516743,450.6296154,1557.248145,3846.2323556
200812,百萬度,16513.6739,1620.073767,8143.717947,445.216868,246.005053,1748.889376,337.98306,396.794827,984.634547,378.404335,2308.579871,1297.21001,102.816783,0,0,99.789182,3.027601,0,0,183.204861,3543.3064504,441.498782,178.756832,98.765194,52.913993,115.449299,84.119292,82.188916,636.972138,445.2406124,1407.401392,2920.5540916
200901,百萬度,13763.64767,1373.267248,6184.269054,315.972652,192.596878,1686.179541,245.120663,256.828012,678.061349,277.343189,1551.998932,980.167838,73.41044,0,0.102653,70.301593,3.006194,0,0,198.715552,2916.754895,382.014443,154.569795,61.322431,40.416585,89.691069,65.688874,67.484748,464.673417,395.379871,1195.513662,3017.230481
