西元年,行業代碼,行業名稱,生產總額_當期_百萬元,中間消費_當期_百萬元,GDP_當期_百萬元,GDP_連鎖實質_百萬元,GDP_平減指數
2016,CX,家具製造業,86167.0,64941.0,21226.0,19056.0,111.39
2016,CY,其他製造業,389332.0,263716.0,125616.0,102218.0,122.89
2016,D,電力及燃氣供應業,690814.0,394386.0,296428.0,207254.0,143.03
2016,E,用水供應及污染整治業,207324.0,109317.0,98007.0,103799.0,94.42
2016,F,營建工程業,1472623.0,1061469.0,411154.0,548766.0,74.92
2016,G,批發及零售業,3716157.0,1038150.0,2678007.0,2734976.0,97.92
2016,GDP,GDP,,,17555268.0,17945024.0,97.83
2016,H,運輸及倉儲業,1208398.0,697157.0,511241.0,975339.0,52.42
2016,I,住宿及餐飲業,942504.0,506839.0,435665.0,465795.0,93.53
2016,ICT,ICT產業,8078700.0,4936292.0,3142408.0,2859985.0,109.87
2016,J,出版影音及資通訊業,1026079.0,477005.0,549074.0,496262.0,110.64
2016,K,金融及保險業,1629880.0,505053.0,1124827.0,1105862.0,101.71
2016,L,不動產及住宅服務業,1791380.0,392117.0,1399263.0,1472096.0,95.05
2016,M,專業、科學及技術服務業,656829.0,274789.0,382040.0,415833.0,91.87
2016,N,支援服務業,428979.0,134920.0,294059.0,306166.0,96.05
2016,O,公共行政及國防；強制性社會安全,1474639.0,424191.0,1050448.0,1119391.0,93.84
2016,P,教育業,898998.0,159643.0,739355.0,759648.0,97.33
2016,Q,醫療保健及社會工作服務業,796264.0,284241.0,512023.0,575779.0,88.93
2016,R,藝術、娛樂及休閒服務業,225580.0,84490.0,141090.0,149033.0,94.67
2016,S,其他服務業,653619.0,223269.0,430350.0,456601.0,94.25
2016,加值型營業稅,加值型營業稅,308331.0,,308331.0,321328.0,95.96
2016,合計,合計,37281632.0,20234575.0,17047057.0,17511565.0,97.35
2016,總計(生產面),總計(生產面),37789843.0,20234575.0,17555268.0,17992634.0,97.57
2016,進口稅,進口稅,199880.0,,199880.0,163231.0,122.45
2017,A,農、林、漁、牧業,640051.0,310329.0,329722.0,320422.0,102.9
2017,B,礦業及土石採取業,18040.0,7474.0,10566.0,10393.0,101.66
2017,C,製造業,19709737.0,13758043.0,5951694.0,5885211.0,101.13
2017,CA,食品及飼品製造業,740078.0,597032.0,143046.0,155356.0,92.08
2017,CB,飲料及菸草製造業,158405.0,55242.0,103163.0,114702.0,89.94
2017,CC,紡織業,390096.0,285631.0,104465.0,106873.0,97.75
