西元年,行業代碼,行業名稱,貢獻度_百分點
2021,B,礦業及土石採取業,0.0
2021,C,製造業,5.63
2021,D,電力及燃氣供應業,0.02
2021,E,用水供應及污染整治業,-0.01
2021,F,營建工程業,0.14
2021,G,批發及零售業,0.25
2021,GDP,GDP,6.72
2021,H,運輸及倉儲業,-0.18
2021,I,住宿及餐飲業,-0.19
2021,ICT,ICT產業,3.92
2021,J,出版影音及資通訊業,0.33
2021,K,金融及保險業,0.67
2021,L,不動產及住宅服務業,0.23
2021,M,專業、科學及技術服務業,0.14
2021,N,支援服務業,0.0
2021,O,公共行政及國防；強制性社會安全,0.05
2021,P,教育業,-0.03
2021,Q,醫療保健及社會工作服務業,0.04
2021,R,藝術、娛樂及休閒服務業,-0.14
2021,S,其他服務業,-0.18
2021,加值型營業稅,加值型營業稅,0.23
2021,合計,合計,6.7
2021,總計(生產面),總計(生產面),7.08
2021,進口稅,進口稅,0.15
2022,3級_工業,工業,0.9
2022,3級_服務業,服務業,1.89
2022,3級_農業,農業,-0.06
2022,A,農、林、漁、牧業,-0.06
2022,B,礦業及土石採取業,0.0
2022,C,製造業,0.8
2022,D,電力及燃氣供應業,0.04
2022,E,用水供應及污染整治業,0.04
2022,F,營建工程業,0.02
2022,G,批發及零售業,0.24
2022,GDP,GDP,2.68
2022,H,運輸及倉儲業,0.24
2022,I,住宿及餐飲業,0.3
2022,ICT,ICT產業,1.61
2022,J,出版影音及資通訊業,0.23
2022,K,金融及保險業,-0.27
2022,L,不動產及住宅服務業,0.11
2022,M,專業、科學及技術服務業,0.16
2022,N,支援服務業,0.16
2022,O,公共行政及國防；強制性社會安全,0.03
2022,P,教育業,0.02
2022,Q,醫療保健及社會工作服務業,0.24
2022,R,藝術、娛樂及休閒服務業,0.17
2022,S,其他服務業,0.13
2022,加值型營業稅,加值型營業稅,0.11
2022,合計,合計,2.6
2022,總計(生產面),總計(生產面),2.73
2022,進口稅,進口稅,0.02
2023,3級_工業,工業,-2.66
2023,3級_服務業,服務業,2.9
2023,3級_農業,農業,-0.01
2023,A,農、林、漁、牧業,-0.01
2023,B,礦業及土石採取業,0.0
2023,C,製造業,-2.69
2023,D,電力及燃氣供應業,0.0
2023,E,用水供應及污染整治業,0.05
2023,F,營建工程業,-0.02
2023,G,批發及零售業,-0.12
2023,GDP,GDP,1.08
2023,H,運輸及倉儲業,1.35
2023,I,住宿及餐飲業,0.42
2023,ICT,ICT產業,-1.83
2023,J,出版影音及資通訊業,0.14
2023,K,金融及保險業,0.28
2023,L,不動產及住宅服務業,0.2
2023,M,專業、科學及技術服務業,0.13
2023,N,支援服務業,0.12
2023,O,公共行政及國防；強制性社會安全,0.05
2023,P,教育業,-0.01
2023,Q,醫療保健及社會工作服務業,0.18
2023,R,藝術、娛樂及休閒服務業,0.18
2023,S,其他服務業,0.02
2023,加值型營業稅,加值型營業稅,0.07
2023,合計,合計,0.27
2023,總計(生產面),總計(生產面),0.23
2023,進口稅,進口稅,-0.11
2024,3級_工業,工業,3.8
2024,3級_服務業,服務業,2.65
2024,3級_農業,農業,-0.02
2024,A,農、林、漁、牧業,-0.02
2024,B,礦業及土石採取業,0.0
2024,C,製造業,3.62
2024,D,電力及燃氣供應業,0.0
2024,E,用水供應及污染整治業,0.03
2024,F,營建工程業,0.15
2024,G,批發及零售業,0.4
2024,GDP,GDP,5.27
2024,H,運輸及倉儲業,0.15
