西元年,月,日,峰値負載_MW,備轉容量_MW,備轉容量率_pct
2019,7,16,3692.6,322.4,8.73
2019,7,17,3738.3,377.0,10.08
2019,7,18,3592.2,408.0,11.36
2019,7,19,3548.4,451.0,12.71
2019,7,20,3061.8,621.8,20.31
2019,7,21,2960.4,538.9,18.20
2019,7,22,3448.8,575.8,16.70
2019,7,23,3500.4,476.6,13.62
2019,7,24,3557.1,503.8,14.16
2019,7,25,3595.5,463.6,12.89
2019,7,26,3652.3,389.7,10.67
2019,7,27,3120.7,534.6,17.13
2019,7,28,2965.4,571.4,19.27
2019,7,29,3555.4,492.4,13.85
2019,7,30,3664.7,406.7,11.10
2019,7,31,3680.7,372.9,10.13
2019,8,1,3648.2,404.2,11.08
2019,8,2,3577.5,503.6,14.08
2019,8,3,3104.5,587.5,18.92
2019,8,4,3133.3,381.7,12.18
2019,8,5,3672.1,392.8,10.70
2019,8,6,3638.6,477.1,13.11
2019,8,7,3606.7,471.9,13.08
2019,8,8,3633.1,431.7,11.88
2019,8,9,3074.0,697.7,22.70
2019,8,10,3147.8,457.1,14.52
2019,8,11,3106.4,418.7,13.48
2019,8,12,3447.9,579.3,16.80
2019,8,13,3390.6,475.2,14.02
2019,8,14,3610.0,406.4,11.26
2019,8,15,3427.5,635.5,18.54
2019,8,16,3437.9,604.8,17.59
2019,8,17,3042.4,665.5,21.87
2019,8,18,2861.6,614.3,21.47
2019,8,19,3295.4,637.6,19.35
2019,8,20,3332.8,626.9,18.81
2019,8,21,3354.2,643.0,19.17
2019,8,22,3498.3,482.4,13.79
2019,8,23,3515.7,486.8,13.85
2019,8,24,2899.6,697.3,24.05
2019,8,25,2899.0,546.2,18.84
2019,8,26,3504.9,535.3,15.27
2019,8,27,3559.3,469.2,13.18
2019,8,28,3650.7,409.4,11.21
2019,8,29,3636.8,405.6,11.15
2019,8,30,3461.3,561.5,16.22
2019,8,31,3063.6,476.7,15.56
2019,9,1,2962.9,498.2,16.81
2019,9,2,3538.3,460.6,13.02
2019,9,3,3546.9,458.1,12.92
2019,9,4,3371.7,541.9,16.07
2019,9,5,3327.7,587.6,17.66
2019,9,6,3420.0,508.5,14.87
2019,9,7,3008.8,489.4,16.27
2019,9,8,2904.7,419.2,14.43
2019,9,9,3435.7,496.1,14.44
2019,9,10,3466.4,414.8,11.97
2019,9,11,3534.1,457.5,12.95
2019,9,12,3526.4,462.6,13.12
2019,9,13,2937.5,482.4,16.42
2019,9,14,2867.6,439.5,15.33
2019,9,15,2819.1,538.7,19.11
2019,9,16,3322.8,602.5,18.13
2019,9,17,3296.1,597.5,18.13
2019,9,18,3242.8,604.2,18.63
2019,9,19,3150.8,689.3,21.88
2019,9,20,3059.4,634.6,20.74
2019,9,21,2646.0,561.2,21.21
2019,9,22,2583.6,542.1,20.98
2019,9,23,2994.7,661.9,22.10
2019,9,24,3010.6,661.6,21.98
2019,9,25,3070.9,567.9,18.49
2019,9,26,3116.2,565.9,18.16
2019,9,27,3125.5,624.4,19.98
2019,9,28,2816.1,485.2,17.23
2019,9,29,2792.6,431.5,15.45
2019,9,30,2850.5,765.7,26.86
2019,10,1,3191.7,453.2,14.20
2019,10,2,3331.6,407.7,12.24
2019,10,3,3369.9,380.7,11.30
2019,10,4,3367.0,442.1,13.13
2019,10,5,3245.1,456.1,14.06
2019,10,6,2803.0,378.9,13.52
2019,10,7,3288.9,370.2,11.26
2019,10,8,3293.8,435.1,13.21
2019,10,9,3234.5,470.1,14.53
2019,10,10,2781.7,440.5,15.84
2019,10,11,2717.7,449.0,16.52
2019,10,12,2696.2,474.2,17.59
2019,10,13,2636.4,543.2,20.60
2019,10,14,3088.4,509.1,16.48
2019,10,15,3053.0,508.5,16.66
2019,10,16,3032.9,398.4,13.14
2019,10,17,3017.9,458.2,15.18
2019,10,18,3017.2,481.0,15.94
2019,10,19,2643.0,478.7,18.11
2019,10,20,2523.3,442.0,17.52
2019,10,21,2921.9,427.4,14.63
2019,10,22,3003.7,380.3,12.66
2019,10,23,3028.6,377.9,12.48
2019,10,24,3034.3,382.9,12.62
2019,10,25,3013.1,412.0,13.67
2019,10,26,2649.8,310.1,11.70
2019,10,27,2572.5,276.2,10.74
2019,10,28,3020.7,405.3,13.42
2019,10,29,2962.4,461.6,15.58
2019,10,30,2971.4,366.6,12.34
2019,10,31,3008.0,363.9,12.10
2019,11,1,3033.1,393.1,12.96
2019,11,2,2670.5,337.8,12.65
2019,11,3,2574.5,342.1,13.29
2019,11,4,2919.2,345.5,11.84
2019,11,5,2924.7,376.9,12.89
2019,11,6,2942.2,334.3,11.36
2019,11,7,2960.1,375.1,12.67
2019,11,8,2890.0,474.0,16.40
2019,11,9,2590.0,370.9,14.32
2019,11,10,2471.6,303.3,12.27
2019,11,11,2862.0,360.7,12.60
2019,11,12,2930.5,359.2,12.26
2019,11,13,2936.0,330.0,11.24
2019,11,14,2895.3,382.3,13.20
2019,11,15,2876.4,315.1,10.95
2019,11,16,2607.5,320.0,12.27
2019,11,17,2536.6,259.0,10.21
2019,11,18,2930.6,303.7,10.36
2019,11,19,2874.3,333.8,11.61
