period,西元年,季,industry_code,industry_name,貢獻度_百分點,年增率_pct
1984Q1,1984,1,E,用水供應及污染整治業,0.03,-66.67
1984Q1,1984,1,F,營建工程業,0.47,
1984Q1,1984,1,G,批發及零售業,1.6,150.0
1984Q1,1984,1,GDP,GDP,11.89,178.45
1984Q1,1984,1,H,運輸及倉儲業,0.54,63.64
1984Q1,1984,1,I,住宿及餐飲業,0.22,37.5
1984Q1,1984,1,J,出版影音及資通訊業,0.24,-7.69
1984Q1,1984,1,K,金融及保險業,0.86,
1984Q1,1984,1,L,不動產及住宅服務業,0.4,-33.33
1984Q1,1984,1,M,專業、科學及技術服務業,0.13,18.18
1984Q1,1984,1,N,支援服務業,0.05,
1984Q1,1984,1,O,公共行政及國防；強制性社會安全,0.76,111.11
1984Q1,1984,1,P,教育業,0.22,0.0
1984Q1,1984,1,Q,醫療保健及社會工作服務業,0.16,0.0
1984Q1,1984,1,R,藝術、娛樂及休閒服務業,0.05,25.0
1984Q1,1984,1,S,其他服務業,0.21,31.25
1984Q1,1984,1,加值型營業稅,加值型營業稅,0.0,
1984Q1,1984,1,合計,合計,13.31,228.64
1984Q1,1984,1,總計(生產面),總計(生產面),13.84,246.87
1984Q1,1984,1,進口稅,進口稅,0.53,
1984Q2,1984,2,3級_工業,工業,6.65,37.97
1984Q2,1984,2,3級_服務業,服務業,5.22,47.88
1984Q2,1984,2,3級_農業,農業,0.17,-43.33
1984Q2,1984,2,A,農、林、漁、牧業,0.17,-43.33
1984Q2,1984,2,B,礦業及土石採取業,0.01,0.0
1984Q2,1984,2,C,製造業,6.28,29.48
1984Q2,1984,2,D,電力及燃氣供應業,0.16,33.33
1984Q2,1984,2,E,用水供應及污染整治業,0.05,0.0
1984Q2,1984,2,F,營建工程業,0.15,
1984Q2,1984,2,G,批發及零售業,1.21,-11.68
1984Q2,1984,2,GDP,GDP,11.68,39.21
1984Q2,1984,2,H,運輸及倉儲業,0.42,-4.55
1984Q2,1984,2,I,住宿及餐飲業,0.18,0.0
1984Q2,1984,2,J,出版影音及資通訊業,0.22,-21.43
1984Q2,1984,2,K,金融及保險業,0.97,
1984Q2,1984,2,L,不動產及住宅服務業,0.32,-45.76
1984Q2,1984,2,M,專業、科學及技術服務業,0.11,-21.43
1984Q2,1984,2,N,支援服務業,0.04,300.0
1984Q2,1984,2,O,公共行政及國防；強制性社會安全,0.64,77.78
1984Q2,1984,2,P,教育業,0.2,-25.93
1984Q2,1984,2,Q,醫療保健及社會工作服務業,0.13,44.44
1984Q2,1984,2,R,藝術、娛樂及休閒服務業,0.03,-25.0
1984Q2,1984,2,S,其他服務業,0.12,-45.45
1984Q2,1984,2,加值型營業稅,加值型營業稅,0.0,
1984Q2,1984,2,合計,合計,11.41,35.19
1984Q2,1984,2,總計(生產面),總計(生產面),12.04,39.19
1984Q2,1984,2,進口稅,進口稅,0.63,200.0
1984Q3,1984,3,3級_工業,工業,4.85,-35.68
1984Q3,1984,3,3級_服務業,服務業,4.67,6.14
1984Q3,1984,3,3級_農業,農業,0.24,4.35
1984Q3,1984,3,A,農、林、漁、牧業,0.24,4.35
1984Q3,1984,3,B,礦業及土石採取業,-0.05,
1984Q3,1984,3,C,製造業,4.58,-33.53
1984Q3,1984,3,D,電力及燃氣供應業,0.28,-58.82
1984Q3,1984,3,E,用水供應及污染整治業,0.05,25.0
1984Q3,1984,3,F,營建工程業,-0.01,
1984Q3,1984,3,G,批發及零售業,1.23,2.5
1984Q3,1984,3,GDP,GDP,9.75,-13.64
1984Q3,1984,3,H,運輸及倉儲業,0.45,32.35
1984Q3,1984,3,I,住宿及餐飲業,0.22,10.0
1984Q3,1984,3,J,出版影音及資通訊業,0.2,-39.39
1984Q3,1984,3,K,金融及保險業,0.2,-62.96
1984Q3,1984,3,L,不動產及住宅服務業,0.51,183.33
1984Q3,1984,3,M,專業、科學及技術服務業,0.09,-43.75
1984Q3,1984,3,N,支援服務業,0.04,300.0
1984Q3,1984,3,O,公共行政及國防；強制性社會安全,0.57,3.64
1984Q3,1984,3,P,教育業,0.21,61.54
1984Q3,1984,3,Q,醫療保健及社會工作服務業,0.11,37.5
1984Q3,1984,3,R,藝術、娛樂及休閒服務業,0.05,66.67
1984Q3,1984,3,S,其他服務業,0.15,-25.0
1984Q3,1984,3,加值型營業稅,加值型營業稅,0.0,
1984Q3,1984,3,合計,合計,9.12,-22.18
1984Q3,1984,3,總計(生產面),總計(生產面),9.76,-19.8
1984Q3,1984,3,進口稅,進口稅,0.64,42.22
1984Q4,1984,4,3級_工業,工業,2.58,-61.38
1984Q4,1984,4,3級_服務業,服務業,3.67,-26.75
1984Q4,1984,4,3級_農業,農業,0.19,-60.42
1984Q4,1984,4,A,農、林、漁、牧業,0.19,-60.42
1984Q4,1984,4,B,礦業及土石採取業,-0.03,
1984Q4,1984,4,C,製造業,2.19,-64.85
1984Q4,1984,4,D,電力及燃氣供應業,0.25,-43.18
1984Q4,1984,4,E,用水供應及污染整治業,0.04,-20.0
1984Q4,1984,4,F,營建工程業,0.13,
1984Q4,1984,4,G,批發及零售業,0.93,-27.91
1984Q4,1984,4,GDP,GDP,7.26,-38.37
1984Q4,1984,4,H,運輸及倉儲業,0.44,41.94
1984Q4,1984,4,I,住宿及餐飲業,0.23,9.52
1984Q4,1984,4,J,出版影音及資通訊業,0.22,-24.14
1984Q4,1984,4,K,金融及保險業,0.13,-81.69
1984Q4,1984,4,L,不動產及住宅服務業,0.42,61.54
1984Q4,1984,4,M,專業、科學及技術服務業,0.06,-53.85
1984Q4,1984,4,N,支援服務業,0.02,
1984Q4,1984,4,O,公共行政及國防；強制性社會安全,0.62,1.64
1984Q4,1984,4,P,教育業,0.28,180.0
1984Q4,1984,4,Q,醫療保健及社會工作服務業,0.09,-10.0
1984Q4,1984,4,R,藝術、娛樂及休閒服務業,0.05,66.67
1984Q4,1984,4,S,其他服務業,0.14,-22.22
1984Q4,1984,4,加值型營業稅,加值型營業稅,0.0,
1984Q4,1984,4,合計,合計,6.4,-43.76
1984Q4,1984,4,總計(生產面),總計(生產面),6.44,-47.08
1984Q4,1984,4,進口稅,進口稅,0.04,-94.94
1985Q1,1985,1,3級_工業,工業,1.0,-86.93
1985Q1,1985,1,3級_服務業,服務業,4.4,-26.3
1985Q1,1985,1,3級_農業,農業,0.16,-27.27
1985Q1,1985,1,A,農、林、漁、牧業,0.16,-27.27
1985Q1,1985,1,B,礦業及土石採取業,0.0,
1985Q1,1985,1,C,製造業,0.74,-89.44
1985Q1,1985,1,D,電力及燃氣供應業,0.04,-71.43
1985Q1,1985,1,E,用水供應及污染整治業,0.08,166.67
1985Q1,1985,1,F,營建工程業,0.14,-70.21
1985Q1,1985,1,G,批發及零售業,0.94,-41.25
1985Q1,1985,1,GDP,GDP,5.67,-52.31
1985Q1,1985,1,H,運輸及倉儲業,0.46,-14.81
1985Q1,1985,1,I,住宿及餐飲業,0.32,45.45
1985Q1,1985,1,J,出版影音及資通訊業,0.3,25.0
1985Q1,1985,1,K,金融及保險業,0.51,-40.7
1985Q1,1985,1,L,不動產及住宅服務業,0.47,17.5
1985Q1,1985,1,M,專業、科學及技術服務業,0.11,-15.38
1985Q1,1985,1,N,支援服務業,0.02,-60.0
1985Q1,1985,1,O,公共行政及國防；強制性社會安全,0.63,-17.11
1985Q1,1985,1,P,教育業,0.2,-9.09
1985Q1,1985,1,Q,醫療保健及社會工作服務業,0.1,-37.5
1985Q1,1985,1,R,藝術、娛樂及休閒服務業,0.06,20.0
1985Q1,1985,1,S,其他服務業,0.19,-9.52
1985Q1,1985,1,加值型營業稅,加值型營業稅,0.0,
1985Q1,1985,1,合計,合計,5.47,-58.9
1985Q1,1985,1,總計(生產面),總計(生產面),5.56,-59.83
1985Q1,1985,1,進口稅,進口稅,0.09,-83.02
1985Q2,1985,2,3級_工業,工業,0.16,-97.59
1985Q2,1985,2,3級_服務業,服務業,3.24,-37.93
1985Q2,1985,2,3級_農業,農業,-0.05,
1985Q2,1985,2,A,農、林、漁、牧業,-0.05,
1985Q2,1985,2,B,礦業及土石採取業,-0.02,
1985Q2,1985,2,C,製造業,-0.18,
1985Q2,1985,2,D,電力及燃氣供應業,0.24,50.0
1985Q2,1985,2,E,用水供應及污染整治業,0.0,-100.0
1985Q2,1985,2,F,營建工程業,0.12,-20.0
1985Q2,1985,2,G,批發及零售業,0.56,-53.72
1985Q2,1985,2,GDP,GDP,4.24,-63.7
1985Q2,1985,2,H,運輸及倉儲業,0.34,-19.05
1985Q2,1985,2,I,住宿及餐飲業,0.24,33.33
1985Q2,1985,2,J,出版影音及資通訊業,0.2,-9.09
1985Q2,1985,2,K,金融及保險業,0.66,-31.96
1985Q2,1985,2,L,不動產及住宅服務業,0.43,34.38
1985Q2,1985,2,M,專業、科學及技術服務業,0.06,-45.45
1985Q2,1985,2,N,支援服務業,0.01,-75.0
1985Q2,1985,2,O,公共行政及國防；強制性社會安全,0.54,-15.63
1985Q2,1985,2,P,教育業,0.17,-15.0
1985Q2,1985,2,Q,醫療保健及社會工作服務業,0.1,-23.08
1985Q2,1985,2,R,藝術、娛樂及休閒服務業,0.04,33.33
1985Q2,1985,2,S,其他服務業,0.12,0.0
1985Q2,1985,2,加值型營業稅,加值型營業稅,0.0,
1985Q2,1985,2,合計,合計,3.58,-68.62
1985Q2,1985,2,總計(生產面),總計(生產面),3.35,-72.18
1985Q2,1985,2,進口稅,進口稅,-0.23,
1985Q3,1985,3,3級_工業,工業,-0.36,
1985Q3,1985,3,3級_服務業,服務業,3.54,-24.2
1985Q3,1985,3,3級_農業,農業,0.11,-54.17
1985Q3,1985,3,A,農、林、漁、牧業,0.11,-54.17
1985Q3,1985,3,B,礦業及土石採取業,0.01,
1985Q3,1985,3,C,製造業,-0.32,
1985Q3,1985,3,D,電力及燃氣供應業,-0.15,
1985Q3,1985,3,E,用水供應及污染整治業,0.03,-40.0
1985Q3,1985,3,F,營建工程業,0.07,
1985Q3,1985,3,G,批發及零售業,0.77,-37.4
1985Q3,1985,3,GDP,GDP,3.57,-63.38
1985Q3,1985,3,H,運輸及倉儲業,0.34,-24.44
1985Q3,1985,3,I,住宿及餐飲業,0.26,18.18
1985Q3,1985,3,J,出版影音及資通訊業,0.23,15.0
1985Q3,1985,3,K,金融及保險業,0.93,365.0
1985Q3,1985,3,L,不動產及住宅服務業,0.49,-3.92
1985Q3,1985,3,M,專業、科學及技術服務業,0.09,0.0
1985Q3,1985,3,N,支援服務業,0.01,-75.0
1985Q3,1985,3,O,公共行政及國防；強制性社會安全,0.45,-21.05
1985Q3,1985,3,P,教育業,0.17,-19.05
1985Q3,1985,3,Q,醫療保健及社會工作服務業,0.09,-18.18
1985Q3,1985,3,R,藝術、娛樂及休閒服務業,0.05,0.0
1985Q3,1985,3,S,其他服務業,0.22,46.67
1985Q3,1985,3,加值型營業稅,加值型營業稅,0.0,
1985Q3,1985,3,合計,合計,3.85,-57.79
1985Q3,1985,3,總計(生產面),總計(生產面),3.29,-66.29
1985Q3,1985,3,進口稅,進口稅,-0.56,
