period,民國年月,area_code,area_name,總人口,男性,女性,幼年_0_14,工作年齡_15_64,老年_65plus,男_0_14,女_0_14,男_15_64,女_15_64,男_65plus,女_65plus
2016-03,10503,10002000,宜蘭縣,457854,232049,225805,57793,334153,65908,30036,27757,171250,162903,30763,35145
2016-03,10503,10004000,新竹縣,543183,277939,265244,91693,388986,62504,47840,43853,199961,189025,30138,32366
2016-03,10503,10005000,苗栗縣,562473,290017,272456,78503,402852,81118,41238,37265,210146,192706,38633,42485
2016-03,10503,10007000,彰化縣,1288945,658206,630739,178054,933214,177677,93280,84774,483312,449902,81614,96063
2016-03,10503,10008000,南投縣,508146,260615,247531,60251,369768,78127,31343,28908,192745,177023,36527,41600
2016-03,10503,10009000,雲林縣,698187,363058,335129,86971,495150,116066,45551,41420,264906,230244,52601,63465
2016-03,10503,10010000,嘉義縣,518507,269986,248521,54880,373095,90532,28750,26130,200078,173017,41158,49374
2016-03,10503,10013000,屏東縣,839760,430116,409644,96310,620136,123314,50232,46078,321608,298528,58276,65038
2016-03,10503,10014000,臺東縣,221974,114902,107072,27997,161589,32388,14611,13386,85273,76316,15018,17370
2016-03,10503,10015000,花蓮縣,331633,169013,162620,41979,242483,47171,21980,19999,125042,117441,21991,25180
2016-03,10503,10016000,澎湖縣,102332,52773,49559,11584,75592,15156,6059,5525,39722,35870,6992,8164
2016-03,10503,10017000,基隆市,371882,186732,185150,41198,280931,49753,21524,19674,142417,138514,22791,26962
2016-03,10503,10018000,新竹市,434492,214940,219552,76527,311759,46206,39974,36553,154170,157589,20796,25410
2016-03,10503,10020000,嘉義市,270264,131749,138515,39404,195929,34931,20582,18822,95650,100279,15517,19414
2016-03,10503,63000000,臺北市,2704495,1294885,1409610,376806,1922846,404843,195597,181209,916114,1006732,183174,221669
2016-03,10503,64000000,高雄市,2778240,1380105,1398135,347816,2073897,356527,180539,167277,1033568,1040329,165998,190529
2016-03,10503,65000000,新北市,3970790,1950602,2020188,513797,3018734,438259,267647,246150,1480010,1538724,202945,235314
2016-03,10503,66000000,臺中市,2748799,1358693,1390106,410251,2051291,287257,213180,197071,1012052,1039239,133461,153796
2016-03,10503,67000000,臺南市,1885157,943377,941780,239406,1395497,250254,124450,114956,704219,691278,114708,135546
2016-03,10503,68000000,桃園市,2114172,1056502,1057670,326997,1579827,207348,170590,156407,787507,792320,98405,108943
2016-04,10504,00000000,全國,23499404,11709898,11789506,3169064,17336896,2993444,1650593,1518471,8675190,8661706,1384115,1609329
2016-04,10504,09007000,連江縣,12522,7159,5363,1564,9711,1247,835,729,5665,4046,659,588
2016-04,10504,09020000,金門縣,133086,66681,66405,13620,104233,15233,7078,6542,52310,51923,7293,7940
2016-04,10504,10002000,宜蘭縣,457815,232010,225805,57721,333990,66104,30007,27714,171149,162841,30854,35250
2016-04,10504,10004000,新竹縣,543600,278146,265454,91636,389271,62693,47829,43807,200106,189165,30211,32482
2016-04,10504,10005000,苗栗縣,562133,289823,272310,78288,402624,81221,41109,37179,210059,192565,38655,42566
2016-04,10504,10007000,彰化縣,1288923,658126,630797,177798,933092,178033,93141,84657,483212,449880,81773,96260
2016-04,10504,10008000,南投縣,507852,260459,247393,60040,369472,78340,31204,28836,192623,176849,36632,41708
2016-04,10504,10009000,雲林縣,697752,362758,334994,86660,494659,116433,45354,41306,264614,230045,52790,63643
2016-04,10504,10010000,嘉義縣,518026,269686,248340,54602,372772,90652,28579,26023,199883,172889,41224,49428
2016-04,10504,10013000,屏東縣,839339,429885,409454,96076,619590,123673,50114,45962,321337,298253,58434,65239
2016-04,10504,10014000,臺東縣,221817,114827,106990,27890,161411,32516,14552,13338,85207,76204,15068,17448
