西元年,月,民國年,科學園區,產業,核准廠商數,已入區廠商數
2018,9,民國107年9月,南部科學園區,其他,8,6
2018,9,民國107年9月,南部科學園區,生物技術,74,63
2018,9,民國107年9月,南部科學園區,積體電路,21,16
2018,9,民國107年9月,南部科學園區,精密機械,56,50
2018,9,民國107年9月,南部科學園區,總計,225,194
2018,9,民國107年9月,南部科學園區,通訊,10,9
2018,9,民國107年9月,南部科學園區,電腦及周邊,4,2
2018,9,民國107年9月,彙總資料,光電,183,167
2018,9,民國107年9月,彙總資料,其他,36,28
2018,9,民國107年9月,彙總資料,生物技術,218,178
2018,9,民國107年9月,彙總資料,積體電路,214,205
2018,9,民國107年9月,彙總資料,精密機械,181,141
2018,9,民國107年9月,彙總資料,總計,965,842
2018,9,民國107年9月,彙總資料,通訊,59,58
2018,9,民國107年9月,彙總資料,電腦及周邊,74,65
2018,9,民國107年9月,新竹科學園區,光電,95,89
2018,9,民國107年9月,新竹科學園區,其他,10,5
2018,9,民國107年9月,新竹科學園區,生物技術,104,83
2018,9,民國107年9月,新竹科學園區,積體電路,184,182
2018,9,民國107年9月,新竹科學園區,精密機械,51,47
2018,9,民國107年9月,新竹科學園區,總計,547,505
2018,9,民國107年9月,新竹科學園區,通訊,48,48
2018,9,民國107年9月,新竹科學園區,電腦及周邊,55,51
2018,10,民國107年10月,中部科學園區,光電,35,30
2018,10,民國107年10月,中部科學園區,其他,18,17
2018,10,民國107年10月,中部科學園區,生物技術,40,32
2018,10,民國107年10月,中部科學園區,積體電路,9,7
2018,10,民國107年10月,中部科學園區,精密機械,74,44
2018,10,民國107年10月,中部科學園區,總計,192,143
2018,10,民國107年10月,中部科學園區,通訊,1,1
2018,10,民國107年10月,中部科學園區,電腦及周邊,15,12
2018,10,民國107年10月,南部科學園區,光電,52,48
2018,10,民國107年10月,南部科學園區,其他,8,6
2018,10,民國107年10月,南部科學園區,生物技術,74,64
2018,10,民國107年10月,南部科學園區,積體電路,21,16
2018,10,民國107年10月,南部科學園區,精密機械,57,51
2018,10,民國107年10月,南部科學園區,總計,226,196
2018,10,民國107年10月,南部科學園區,通訊,10,9
2018,10,民國107年10月,南部科學園區,電腦及周邊,4,2
2018,10,民國107年10月,彙總資料,光電,183,167
2018,10,民國107年10月,彙總資料,其他,36,28
2018,10,民國107年10月,彙總資料,生物技術,226,181
2018,10,民國107年10月,彙總資料,積體電路,214,205
2018,10,民國107年10月,彙總資料,精密機械,183,142
2018,10,民國107年10月,彙總資料,總計,976,847
2018,10,民國107年10月,彙總資料,通訊,59,58
2018,10,民國107年10月,彙總資料,電腦及周邊,75,66
2018,10,民國107年10月,新竹科學園區,光電,96,89
2018,10,民國107年10月,新竹科學園區,其他,10,5
2018,10,民國107年10月,新竹科學園區,生物技術,112,85
2018,10,民國107年10月,新竹科學園區,積體電路,184,182
2018,10,民國107年10月,新竹科學園區,精密機械,52,47
2018,10,民國107年10月,新竹科學園區,總計,558,508
2018,10,民國107年10月,新竹科學園區,通訊,48,48
2018,10,民國107年10月,新竹科學園區,電腦及周邊,56,52
2018,11,民國107年11月,中部科學園區,光電,35,30
2018,11,民國107年11月,中部科學園區,其他,18,17
2018,11,民國107年11月,中部科學園區,生物技術,40,32
2018,11,民國107年11月,中部科學園區,積體電路,9,7
2018,11,民國107年11月,中部科學園區,精密機械,74,44
2018,11,民國107年11月,中部科學園區,總計,192,143
2018,11,民國107年11月,中部科學園區,通訊,1,1
2018,11,民國107年11月,中部科學園區,電腦及周邊,15,12
2018,11,民國107年11月,南部科學園區,光電,52,49
2018,11,民國107年11月,南部科學園區,其他,8,6
2018,11,民國107年11月,南部科學園區,生物技術,73,63
2018,11,民國107年11月,南部科學園區,積體電路,21,16
2018,11,民國107年11月,南部科學園區,精密機械,57,52
2018,11,民國107年11月,南部科學園區,總計,226,197
2018,11,民國107年11月,南部科學園區,通訊,11,9
2018,11,民國107年11月,南部科學園區,電腦及周邊,4,2
2018,11,民國107年11月,彙總資料,光電,181,168
2018,11,民國107年11月,彙總資料,其他,36,28
2018,11,民國107年11月,彙總資料,生物技術,223,179
2018,11,民國107年11月,彙總資料,積體電路,214,205
2018,11,民國107年11月,彙總資料,精密機械,183,144
2018,11,民國107年11月,彙總資料,總計,972,849
2018,11,民國107年11月,彙總資料,通訊,60,58
2018,11,民國107年11月,彙總資料,電腦及周邊,75,67
2018,11,民國107年11月,新竹科學園區,光電,94,89
2018,11,民國107年11月,新竹科學園區,其他,10,5
2018,11,民國107年11月,新竹科學園區,生物技術,110,84
2018,11,民國107年11月,新竹科學園區,積體電路,184,182
2018,11,民國107年11月,新竹科學園區,精密機械,52,48
2018,11,民國107年11月,新竹科學園區,總計,554,509
2018,11,民國107年11月,新竹科學園區,通訊,48,48
2018,11,民國107年11月,新竹科學園區,電腦及周邊,56,53
2018,12,民國107年12月,中部科學園區,光電,36,30
2018,12,民國107年12月,中部科學園區,其他,18,17
2018,12,民國107年12月,中部科學園區,生物技術,40,32
2018,12,民國107年12月,中部科學園區,積體電路,9,7
2018,12,民國107年12月,中部科學園區,精密機械,77,44
2018,12,民國107年12月,中部科學園區,總計,196,143
2018,12,民國107年12月,中部科學園區,通訊,1,1
2018,12,民國107年12月,中部科學園區,電腦及周邊,15,12
2018,12,民國107年12月,南部科學園區,光電,52,49
2018,12,民國107年12月,南部科學園區,其他,8,6
2018,12,民國107年12月,南部科學園區,生物技術,74,64
2018,12,民國107年12月,南部科學園區,積體電路,21,16
2018,12,民國107年12月,南部科學園區,精密機械,58,52
2018,12,民國107年12月,南部科學園區,總計,230,198
2018,12,民國107年12月,南部科學園區,通訊,11,9
2018,12,民國107年12月,南部科學園區,電腦及周邊,6,2
2018,12,民國107年12月,彙總資料,光電,181,169
2018,12,民國107年12月,彙總資料,其他,36,28
2018,12,民國107年12月,彙總資料,生物技術,225,182
2018,12,民國107年12月,彙總資料,積體電路,215,205
2018,12,民國107年12月,彙總資料,精密機械,188,144
2018,12,民國107年12月,彙總資料,總計,982,853
2018,12,民國107年12月,彙總資料,通訊,60,58
2018,12,民國107年12月,彙總資料,電腦及周邊,77,67
2018,12,民國107年12月,新竹科學園區,光電,93,90
2018,12,民國107年12月,新竹科學園區,其他,10,5
2018,12,民國107年12月,新竹科學園區,生物技術,111,86
2018,12,民國107年12月,新竹科學園區,積體電路,185,182
2018,12,民國107年12月,新竹科學園區,精密機械,53,48
2018,12,民國107年12月,新竹科學園區,總計,556,512
2018,12,民國107年12月,新竹科學園區,通訊,48,48
2018,12,民國107年12月,新竹科學園區,電腦及周邊,56,53
2019,1,民國108年1月,中部科學園區,光電,36,30
2019,1,民國108年1月,中部科學園區,其他,18,17
2019,1,民國108年1月,中部科學園區,生物技術,41,32
2019,1,民國108年1月,中部科學園區,積體電路,9,7
2019,1,民國108年1月,中部科學園區,精密機械,77,44
2019,1,民國108年1月,中部科學園區,總計,197,143
2019,1,民國108年1月,中部科學園區,通訊,1,1
2019,1,民國108年1月,中部科學園區,電腦及周邊,15,12
2019,1,民國108年1月,南部科學園區,光電,53,48
2019,1,民國108年1月,南部科學園區,其他,8,6
2019,1,民國108年1月,南部科學園區,生物技術,73,63
2019,1,民國108年1月,南部科學園區,積體電路,21,16
2019,1,民國108年1月,南部科學園區,精密機械,58,51
2019,1,民國108年1月,南部科學園區,總計,230,196
2019,1,民國108年1月,南部科學園區,通訊,11,9
2019,1,民國108年1月,南部科學園區,電腦及周邊,6,3
2019,1,民國108年1月,彙總資料,光電,182,168
2019,1,民國108年1月,彙總資料,其他,36,28
2019,1,民國108年1月,彙總資料,生物技術,226,182
2019,1,民國108年1月,彙總資料,積體電路,216,206
2019,1,民國108年1月,彙總資料,精密機械,189,144
2019,1,民國108年1月,彙總資料,總計,986,854
2019,1,民國108年1月,彙總資料,通訊,61,58
2019,1,民國108年1月,彙總資料,電腦及周邊,76,68
2019,1,民國108年1月,新竹科學園區,光電,93,90
2019,1,民國108年1月,新竹科學園區,其他,10,5
2019,1,民國108年1月,新竹科學園區,生物技術,112,87
2019,1,民國108年1月,新竹科學園區,積體電路,186,183
2019,1,民國108年1月,新竹科學園區,精密機械,54,49
2019,1,民國108年1月,新竹科學園區,總計,559,515
2019,1,民國108年1月,新竹科學園區,通訊,49,48
2019,1,民國108年1月,新竹科學園區,電腦及周邊,55,53
2019,2,民國108年2月,中部科學園區,光電,36,30
2019,2,民國108年2月,中部科學園區,其他,18,17
2019,2,民國108年2月,中部科學園區,生物技術,41,32
2019,2,民國108年2月,中部科學園區,積體電路,9,7
2019,2,民國108年2月,中部科學園區,精密機械,77,43
2019,2,民國108年2月,中部科學園區,總計,197,142
2019,2,民國108年2月,中部科學園區,通訊,1,1
2019,2,民國108年2月,中部科學園區,電腦及周邊,15,12
2019,2,民國108年2月,南部科學園區,光電,52,47
2019,2,民國108年2月,南部科學園區,其他,8,6
2019,2,民國108年2月,南部科學園區,生物技術,73,63
2019,2,民國108年2月,南部科學園區,積體電路,21,16
2019,2,民國108年2月,南部科學園區,精密機械,57,50
2019,2,民國108年2月,南部科學園區,總計,228,195
2019,2,民國108年2月,南部科學園區,通訊,11,10
2019,2,民國108年2月,南部科學園區,電腦及周邊,6,3
2019,2,民國108年2月,彙總資料,光電,182,167
2019,2,民國108年2月,彙總資料,其他,36,28
2019,2,民國108年2月,彙總資料,生物技術,226,182
2019,2,民國108年2月,彙總資料,積體電路,217,208
2019,2,民國108年2月,彙總資料,精密機械,186,141
2019,2,民國108年2月,彙總資料,總計,985,853
2019,2,民國108年2月,彙總資料,通訊,62,59
2019,2,民國108年2月,彙總資料,電腦及周邊,76,68
2019,2,民國108年2月,新竹科學園區,光電,94,90
2019,2,民國108年2月,新竹科學園區,其他,10,5
2019,2,民國108年2月,新竹科學園區,生物技術,112,87
2019,2,民國108年2月,新竹科學園區,積體電路,187,185
2019,2,民國108年2月,新竹科學園區,精密機械,52,48
2019,2,民國108年2月,新竹科學園區,總計,560,516
2019,2,民國108年2月,新竹科學園區,通訊,50,48
2019,2,民國108年2月,新竹科學園區,電腦及周邊,55,53
2019,3,民國108年3月,中部科學園區,光電,36,31
2019,3,民國108年3月,中部科學園區,其他,18,17
2019,3,民國108年3月,中部科學園區,生物技術,41,33
2019,3,民國108年3月,中部科學園區,積體電路,9,7
2019,3,民國108年3月,中部科學園區,精密機械,76,43
2019,3,民國108年3月,中部科學園區,總計,196,144
2019,3,民國108年3月,中部科學園區,通訊,1,1
2019,3,民國108年3月,中部科學園區,電腦及周邊,15,12
2019,3,民國108年3月,南部科學園區,光電,52,48
2019,3,民國108年3月,南部科學園區,其他,9,6
2019,3,民國108年3月,南部科學園區,生物技術,73,63
2019,3,民國108年3月,南部科學園區,積體電路,21,16
2019,3,民國108年3月,南部科學園區,精密機械,57,50
2019,3,民國108年3月,南部科學園區,總計,228,195
2019,3,民國108年3月,南部科學園區,通訊,10,9
2019,3,民國108年3月,南部科學園區,電腦及周邊,6,3
2019,3,民國108年3月,彙總資料,光電,182,169
2019,3,民國108年3月,彙總資料,其他,37,28
2019,3,民國108年3月,彙總資料,生物技術,228,184
2019,3,民國108年3月,彙總資料,積體電路,218,208
2019,3,民國108年3月,彙總資料,精密機械,186,141
2019,3,民國108年3月,彙總資料,總計,988,857
2019,3,民國108年3月,彙總資料,通訊,61,59
2019,3,民國108年3月,彙總資料,電腦及周邊,76,68
2019,3,民國108年3月,新竹科學園區,光電,94,90
2019,3,民國108年3月,新竹科學園區,其他,10,5
2019,3,民國108年3月,新竹科學園區,生物技術,114,88
2019,3,民國108年3月,新竹科學園區,積體電路,188,185
2019,3,民國108年3月,新竹科學園區,精密機械,53,48
2019,3,民國108年3月,新竹科學園區,總計,564,518
2019,3,民國108年3月,新竹科學園區,通訊,50,49
2019,3,民國108年3月,新竹科學園區,電腦及周邊,55,53
2019,4,民國108年4月,中部科學園區,光電,36,31
2019,4,民國108年4月,中部科學園區,其他,18,17
2019,4,民國108年4月,中部科學園區,生物技術,41,33
2019,4,民國108年4月,中部科學園區,積體電路,9,7
2019,4,民國108年4月,中部科學園區,精密機械,79,43
2019,4,民國108年4月,中部科學園區,總計,199,144
2019,4,民國108年4月,中部科學園區,通訊,1,1
2019,4,民國108年4月,中部科學園區,電腦及周邊,15,12
2019,4,民國108年4月,南部科學園區,光電,52,48
2019,4,民國108年4月,南部科學園區,其他,9,6
2019,4,民國108年4月,南部科學園區,生物技術,74,64
2019,4,民國108年4月,南部科學園區,積體電路,21,16
2019,4,民國108年4月,南部科學園區,精密機械,57,50
2019,4,民國108年4月,南部科學園區,總計,230,196
2019,4,民國108年4月,南部科學園區,通訊,10,9
2019,4,民國108年4月,南部科學園區,電腦及周邊,7,3
2019,4,民國108年4月,彙總資料,光電,181,169
2019,4,民國108年4月,彙總資料,其他,37,28
2019,4,民國108年4月,彙總資料,生物技術,227,183
2019,4,民國108年4月,彙總資料,積體電路,217,206
2019,4,民國108年4月,彙總資料,精密機械,189,141
2019,4,民國108年4月,彙總資料,總計,989,856
2019,4,民國108年4月,彙總資料,通訊,61,60
2019,4,民國108年4月,彙總資料,電腦及周邊,77,69
2019,4,民國108年4月,新竹科學園區,光電,93,90
2019,4,民國108年4月,新竹科學園區,其他,10,5
2019,4,民國108年4月,新竹科學園區,生物技術,112,86
2019,4,民國108年4月,新竹科學園區,積體電路,187,183
2019,4,民國108年4月,新竹科學園區,精密機械,53,48
2019,4,民國108年4月,新竹科學園區,總計,560,516
2019,4,民國108年4月,新竹科學園區,通訊,50,50
2019,4,民國108年4月,新竹科學園區,電腦及周邊,55,54
2019,5,民國108年5月,中部科學園區,光電,36,31
2019,5,民國108年5月,中部科學園區,其他,18,17
2019,5,民國108年5月,中部科學園區,生物技術,41,33
2019,5,民國108年5月,中部科學園區,積體電路,9,7
2019,5,民國108年5月,中部科學園區,精密機械,80,43
2019,5,民國108年5月,中部科學園區,總計,200,144
2019,5,民國108年5月,中部科學園區,通訊,1,1
2019,5,民國108年5月,中部科學園區,電腦及周邊,15,12
2019,5,民國108年5月,南部科學園區,光電,52,48
2019,5,民國108年5月,南部科學園區,其他,9,6
2019,5,民國108年5月,南部科學園區,生物技術,75,65
2019,5,民國108年5月,南部科學園區,積體電路,21,16
2019,5,民國108年5月,南部科學園區,精密機械,59,50
2019,5,民國108年5月,南部科學園區,總計,232,197
2019,5,民國108年5月,南部科學園區,通訊,10,9
2019,5,民國108年5月,南部科學園區,電腦及周邊,6,3
2019,5,民國108年5月,彙總資料,光電,182,169
2019,5,民國108年5月,彙總資料,其他,37,28
2019,5,民國108年5月,彙總資料,生物技術,230,184
2019,5,民國108年5月,彙總資料,積體電路,215,205
2019,5,民國108年5月,彙總資料,精密機械,193,142
2019,5,民國108年5月,彙總資料,總計,994,856
2019,5,民國108年5月,彙總資料,通訊,60,59
2019,5,民國108年5月,彙總資料,電腦及周邊,77,69
2019,5,民國108年5月,新竹科學園區,光電,94,90
2019,5,民國108年5月,新竹科學園區,其他,10,5
2019,5,民國108年5月,新竹科學園區,生物技術,114,86
2019,5,民國108年5月,新竹科學園區,積體電路,185,182
2019,5,民國108年5月,新竹科學園區,精密機械,54,49
2019,5,民國108年5月,新竹科學園區,總計,562,515
2019,5,民國108年5月,新竹科學園區,通訊,49,49
2019,5,民國108年5月,新竹科學園區,電腦及周邊,56,54
2019,6,民國108年6月,中部科學園區,光電,36,31
2019,6,民國108年6月,中部科學園區,其他,18,17
2019,6,民國108年6月,中部科學園區,生物技術,40,33
2019,6,民國108年6月,中部科學園區,積體電路,9,7
2019,6,民國108年6月,中部科學園區,精密機械,81,43
2019,6,民國108年6月,中部科學園區,總計,200,144
2019,6,民國108年6月,中部科學園區,通訊,1,1
2019,6,民國108年6月,中部科學園區,電腦及周邊,15,12
2019,6,民國108年6月,南部科學園區,光電,52,48
2019,6,民國108年6月,南部科學園區,其他,9,6
2019,6,民國108年6月,南部科學園區,生物技術,76,65
2019,6,民國108年6月,南部科學園區,積體電路,22,17
2019,6,民國108年6月,南部科學園區,精密機械,57,49
2019,6,民國108年6月,南部科學園區,總計,232,198
2019,6,民國108年6月,南部科學園區,通訊,10,9
2019,6,民國108年6月,南部科學園區,電腦及周邊,6,4
2019,6,民國108年6月,彙總資料,光電,183,169
2019,6,民國108年6月,彙總資料,其他,37,28
2019,6,民國108年6月,彙總資料,生物技術,228,183
2019,6,民國108年6月,彙總資料,積體電路,216,206
2019,6,民國108年6月,彙總資料,精密機械,192,141
2019,6,民國108年6月,彙總資料,總計,994,856
2019,6,民國108年6月,彙總資料,通訊,60,59
2019,6,民國108年6月,彙總資料,電腦及周邊,78,70
2019,6,民國108年6月,新竹科學園區,光電,95,90
2019,6,民國108年6月,新竹科學園區,其他,10,5
2019,6,民國108年6月,新竹科學園區,生物技術,112,85
2019,6,民國108年6月,新竹科學園區,積體電路,185,182
2019,6,民國108年6月,新竹科學園區,精密機械,54,49
2019,6,民國108年6月,新竹科學園區,總計,562,514
2019,6,民國108年6月,新竹科學園區,通訊,49,49
2019,6,民國108年6月,新竹科學園區,電腦及周邊,57,54
2019,7,民國108年7月,中部科學園區,光電,36,31
2019,7,民國108年7月,中部科學園區,其他,18,17
2019,7,民國108年7月,中部科學園區,生物技術,40,32
2019,7,民國108年7月,中部科學園區,積體電路,9,7
2019,7,民國108年7月,中部科學園區,精密機械,81,42
2019,7,民國108年7月,中部科學園區,總計,200,142
2019,7,民國108年7月,中部科學園區,通訊,1,1
2019,7,民國108年7月,中部科學園區,電腦及周邊,15,12
2019,7,民國108年7月,南部科學園區,光電,51,47
2019,7,民國108年7月,南部科學園區,其他,9,6
2019,7,民國108年7月,南部科學園區,生物技術,76,65
2019,7,民國108年7月,南部科學園區,積體電路,22,17
2019,7,民國108年7月,南部科學園區,精密機械,56,49
2019,7,民國108年7月,南部科學園區,總計,230,197
2019,7,民國108年7月,南部科學園區,通訊,10,9
2019,7,民國108年7月,南部科學園區,電腦及周邊,6,4
2019,7,民國108年7月,彙總資料,光電,183,168
2019,7,民國108年7月,彙總資料,其他,38,28
2019,7,民國108年7月,彙總資料,生物技術,229,183
2019,7,民國108年7月,彙總資料,積體電路,216,206
2019,7,民國108年7月,彙總資料,精密機械,191,141
2019,7,民國108年7月,彙總資料,總計,994,855
2019,7,民國108年7月,彙總資料,通訊,60,59
2019,7,民國108年7月,彙總資料,電腦及周邊,77,70
2019,7,民國108年7月,新竹科學園區,光電,96,90
2019,7,民國108年7月,新竹科學園區,其他,11,5
2019,7,民國108年7月,新竹科學園區,生物技術,113,86
2019,7,民國108年7月,新竹科學園區,積體電路,185,182
2019,7,民國108年7月,新竹科學園區,精密機械,54,50
2019,7,民國108年7月,新竹科學園區,總計,564,516
2019,7,民國108年7月,新竹科學園區,通訊,49,49
2019,7,民國108年7月,新竹科學園區,電腦及周邊,56,54
2019,8,民國108年8月,中部科學園區,光電,36,30
2019,8,民國108年8月,中部科學園區,其他,19,17
2019,8,民國108年8月,中部科學園區,生物技術,40,32
2019,8,民國108年8月,中部科學園區,積體電路,9,7
2019,8,民國108年8月,中部科學園區,精密機械,83,42
2019,8,民國108年8月,中部科學園區,總計,203,142
2019,8,民國108年8月,中部科學園區,通訊,1,1
2019,8,民國108年8月,中部科學園區,電腦及周邊,15,13
2019,8,民國108年8月,南部科學園區,光電,52,47
2019,8,民國108年8月,南部科學園區,其他,9,6
2019,8,民國108年8月,南部科學園區,生物技術,78,65
2019,8,民國108年8月,南部科學園區,積體電路,22,17
2019,8,民國108年8月,南部科學園區,精密機械,55,48
2019,8,民國108年8月,南部科學園區,總計,232,196
2019,8,民國108年8月,南部科學園區,通訊,10,9
2019,8,民國108年8月,南部科學園區,電腦及周邊,6,4
2019,8,民國108年8月,彙總資料,光電,184,167
2019,8,民國108年8月,彙總資料,其他,40,28
2019,8,民國108年8月,彙總資料,生物技術,233,184
2019,8,民國108年8月,彙總資料,積體電路,216,206
2019,8,民國108年8月,彙總資料,精密機械,193,140
2019,8,民國108年8月,彙總資料,總計,1003,856
2019,8,民國108年8月,彙總資料,通訊,60,59
2019,8,民國108年8月,彙總資料,電腦及周邊,77,72
2019,8,民國108年8月,新竹科學園區,光電,96,90
2019,8,民國108年8月,新竹科學園區,其他,12,5
2019,8,民國108年8月,新竹科學園區,生物技術,115,87
2019,8,民國108年8月,新竹科學園區,積體電路,185,182
2019,8,民國108年8月,新竹科學園區,精密機械,55,50
2019,8,民國108年8月,新竹科學園區,總計,568,518
2019,8,民國108年8月,新竹科學園區,通訊,49,49
2019,8,民國108年8月,新竹科學園區,電腦及周邊,56,55
2019,9,民國108年9月,中部科學園區,光電,35,30
2019,9,民國108年9月,中部科學園區,其他,19,17
2019,9,民國108年9月,中部科學園區,生物技術,40,33
2019,9,民國108年9月,中部科學園區,積體電路,9,7
2019,9,民國108年9月,中部科學園區,精密機械,84,43
2019,9,民國108年9月,中部科學園區,總計,203,144
2019,9,民國108年9月,中部科學園區,通訊,1,1
2019,9,民國108年9月,中部科學園區,電腦及周邊,15,13
2019,9,民國108年9月,南部科學園區,光電,51,46
2019,9,民國108年9月,南部科學園區,其他,9,6
2019,9,民國108年9月,南部科學園區,生物技術,82,66
2019,9,民國108年9月,南部科學園區,積體電路,22,17
2019,9,民國108年9月,南部科學園區,精密機械,56,48
2019,9,民國108年9月,南部科學園區,總計,236,196
2019,9,民國108年9月,南部科學園區,通訊,10,9
2019,9,民國108年9月,南部科學園區,電腦及周邊,6,4
2019,9,民國108年9月,彙總資料,光電,181,166
2019,9,民國108年9月,彙總資料,其他,40,28
2019,9,民國108年9月,彙總資料,生物技術,239,186
2019,9,民國108年9月,彙總資料,積體電路,214,204
2019,9,民國108年9月,彙總資料,精密機械,194,140
2019,9,民國108年9月,彙總資料,總計,1006,855
2019,9,民國108年9月,彙總資料,通訊,60,59
2019,9,民國108年9月,彙總資料,電腦及周邊,78,72
2019,9,民國108年9月,新竹科學園區,光電,95,90
2019,9,民國108年9月,新竹科學園區,其他,12,5
2019,9,民國108年9月,新竹科學園區,生物技術,117,87
2019,9,民國108年9月,新竹科學園區,積體電路,183,180
2019,9,民國108年9月,新竹科學園區,精密機械,54,49
2019,9,民國108年9月,新竹科學園區,總計,567,515
2019,9,民國108年9月,新竹科學園區,通訊,49,49
2019,9,民國108年9月,新竹科學園區,電腦及周邊,57,55
2019,10,民國108年10月,中部科學園區,光電,34,30
2019,10,民國108年10月,中部科學園區,其他,19,18
2019,10,民國108年10月,中部科學園區,生物技術,41,32
2019,10,民國108年10月,中部科學園區,積體電路,9,7
2019,10,民國108年10月,中部科學園區,精密機械,86,43
2019,10,民國108年10月,中部科學園區,總計,205,144
2019,10,民國108年10月,中部科學園區,通訊,1,1
2019,10,民國108年10月,中部科學園區,電腦及周邊,15,13
2019,10,民國108年10月,南部科學園區,光電,49,44
2019,10,民國108年10月,南部科學園區,其他,9,6
2019,10,民國108年10月,南部科學園區,生物技術,82,67
2019,10,民國108年10月,南部科學園區,積體電路,22,17
2019,10,民國108年10月,南部科學園區,精密機械,56,48
2019,10,民國108年10月,南部科學園區,總計,234,195
2019,10,民國108年10月,南部科學園區,通訊,10,9
2019,10,民國108年10月,南部科學園區,電腦及周邊,6,4
2019,10,民國108年10月,彙總資料,光電,178,165
2019,10,民國108年10月,彙總資料,其他,40,29
2019,10,民國108年10月,彙總資料,生物技術,242,186
2019,10,民國108年10月,彙總資料,積體電路,215,204
2019,10,民國108年10月,彙總資料,精密機械,195,139
2019,10,民國108年10月,彙總資料,總計,1008,853
2019,10,民國108年10月,彙總資料,通訊,60,59
2019,10,民國108年10月,彙總資料,電腦及周邊,78,71
2019,10,民國108年10月,新竹科學園區,光電,95,91
2019,10,民國108年10月,新竹科學園區,其他,12,5
2019,10,民國108年10月,新竹科學園區,生物技術,119,87
2019,10,民國108年10月,新竹科學園區,積體電路,184,180
2019,10,民國108年10月,新竹科學園區,精密機械,53,48
2019,10,民國108年10月,新竹科學園區,總計,569,514
2019,10,民國108年10月,新竹科學園區,通訊,49,49
2019,10,民國108年10月,新竹科學園區,電腦及周邊,57,54
2019,11,民國108年11月,中部科學園區,光電,34,30
2019,11,民國108年11月,中部科學園區,其他,19,18
2019,11,民國108年11月,中部科學園區,生物技術,40,31
2019,11,民國108年11月,中部科學園區,積體電路,9,7
2019,11,民國108年11月,中部科學園區,精密機械,88,43
2019,11,民國108年11月,中部科學園區,總計,206,143
2019,11,民國108年11月,中部科學園區,通訊,1,1
2019,11,民國108年11月,中部科學園區,電腦及周邊,15,13
2019,11,民國108年11月,南部科學園區,光電,49,44
2019,11,民國108年11月,南部科學園區,其他,9,6
2019,11,民國108年11月,南部科學園區,生物技術,83,67
2019,11,民國108年11月,南部科學園區,積體電路,22,17
2019,11,民國108年11月,南部科學園區,精密機械,56,48
2019,11,民國108年11月,南部科學園區,總計,235,196
2019,11,民國108年11月,南部科學園區,通訊,10,9
2019,11,民國108年11月,南部科學園區,電腦及周邊,6,5
2019,11,民國108年11月,彙總資料,光電,178,165
2019,11,民國108年11月,彙總資料,其他,40,29
2019,11,民國108年11月,彙總資料,生物技術,245,186
2019,11,民國108年11月,彙總資料,積體電路,214,203
2019,11,民國108年11月,彙總資料,精密機械,197,139
2019,11,民國108年11月,彙總資料,總計,1013,853
2019,11,民國108年11月,彙總資料,通訊,60,59
2019,11,民國108年11月,彙總資料,電腦及周邊,79,72
2019,11,民國108年11月,新竹科學園區,光電,95,91
2019,11,民國108年11月,新竹科學園區,其他,12,5
2019,11,民國108年11月,新竹科學園區,生物技術,122,88
2019,11,民國108年11月,新竹科學園區,積體電路,183,179
2019,11,民國108年11月,新竹科學園區,精密機械,53,48
2019,11,民國108年11月,新竹科學園區,總計,572,514
2019,11,民國108年11月,新竹科學園區,通訊,49,49
2019,11,民國108年11月,新竹科學園區,電腦及周邊,58,54
2019,12,民國108年12月,中部科學園區,光電,34,30
2019,12,民國108年12月,中部科學園區,其他,19,18
2019,12,民國108年12月,中部科學園區,生物技術,40,31
2019,12,民國108年12月,中部科學園區,積體電路,9,7
2019,12,民國108年12月,中部科學園區,精密機械,88,45
2019,12,民國108年12月,中部科學園區,總計,206,145
2019,12,民國108年12月,中部科學園區,通訊,1,1
2019,12,民國108年12月,中部科學園區,電腦及周邊,15,13
2019,12,民國108年12月,南部科學園區,光電,48,43
2019,12,民國108年12月,南部科學園區,其他,9,6
2019,12,民國108年12月,南部科學園區,生物技術,82,66
2019,12,民國108年12月,南部科學園區,積體電路,22,17
2019,12,民國108年12月,南部科學園區,精密機械,56,48
2019,12,民國108年12月,南部科學園區,總計,233,194
2019,12,民國108年12月,南部科學園區,通訊,10,9
2019,12,民國108年12月,南部科學園區,電腦及周邊,6,5
2019,12,民國108年12月,彙總資料,光電,177,164
2019,12,民國108年12月,彙總資料,其他,40,29
2019,12,民國108年12月,彙總資料,生物技術,244,185
2019,12,民國108年12月,彙總資料,積體電路,212,202
2019,12,民國108年12月,彙總資料,精密機械,197,141
2019,12,民國108年12月,彙總資料,總計,1007,852
2019,12,民國108年12月,彙總資料,通訊,58,57
2019,12,民國108年12月,彙總資料,電腦及周邊,79,74
2019,12,民國108年12月,新竹科學園區,光電,95,91
2019,12,民國108年12月,新竹科學園區,其他,12,5
2019,12,民國108年12月,新竹科學園區,生物技術,122,88
2019,12,民國108年12月,新竹科學園區,積體電路,181,178
2019,12,民國108年12月,新竹科學園區,精密機械,53,48
2019,12,民國108年12月,新竹科學園區,總計,568,513
2019,12,民國108年12月,新竹科學園區,通訊,47,47
2019,12,民國108年12月,新竹科學園區,電腦及周邊,58,56
2020,1,民國109年1月,中部科學園區,光電,34,30
2020,1,民國109年1月,中部科學園區,其他,19,18
2020,1,民國109年1月,中部科學園區,生物技術,40,31
2020,1,民國109年1月,中部科學園區,積體電路,9,7
