西元年,月,民國年,科學園區,產業,核准廠商數,已入區廠商數
2016,7,民國105年7月,中部科學園區,精密機械,69,44
2016,7,民國105年7月,中部科學園區,總計,184,135
2016,7,民國105年7月,中部科學園區,通訊,1,1
2016,7,民國105年7月,中部科學園區,電腦及周邊,15,11
2016,7,民國105年7月,南部科學園區,光電,60,54
2016,7,民國105年7月,南部科學園區,其他,7,5
2016,7,民國105年7月,南部科學園區,生物技術,64,59
2016,7,民國105年7月,南部科學園區,積體電路,17,13
2016,7,民國105年7月,南部科學園區,精密機械,52,45
2016,7,民國105年7月,南部科學園區,總計,212,187
2016,7,民國105年7月,南部科學園區,通訊,10,9
2016,7,民國105年7月,南部科學園區,電腦及周邊,2,2
2016,7,民國105年7月,彙總資料,光電,195,175
2016,7,民國105年7月,彙總資料,其他,31,23
2016,7,民國105年7月,彙總資料,生物技術,186,158
2016,7,民國105年7月,彙總資料,積體電路,212,203
2016,7,民國105年7月,彙總資料,精密機械,162,126
2016,7,民國105年7月,彙總資料,總計,916,803
2016,7,民國105年7月,彙總資料,通訊,56,54
2016,7,民國105年7月,彙總資料,電腦及周邊,74,64
2016,7,民國105年7月,新竹科學園區,光電,96,88
2016,7,民國105年7月,新竹科學園區,其他,9,5
2016,7,民國105年7月,新竹科學園區,生物技術,85,72
2016,7,民國105年7月,新竹科學園區,積體電路,187,184
2016,7,民國105年7月,新竹科學園區,精密機械,41,37
2016,7,民國105年7月,新竹科學園區,總計,520,481
2016,7,民國105年7月,新竹科學園區,通訊,45,44
2016,7,民國105年7月,新竹科學園區,電腦及周邊,57,51
2016,8,民國105年8月,中部科學園區,光電,38,33
2016,8,民國105年8月,中部科學園區,其他,15,13
2016,8,民國105年8月,中部科學園區,生物技術,37,27
2016,8,民國105年8月,中部科學園區,積體電路,8,6
2016,8,民國105年8月,中部科學園區,精密機械,70,44
2016,8,民國105年8月,中部科學園區,總計,184,135
2016,8,民國105年8月,中部科學園區,通訊,1,1
2016,8,民國105年8月,中部科學園區,電腦及周邊,15,11
2016,8,民國105年8月,南部科學園區,光電,58,54
2016,8,民國105年8月,南部科學園區,其他,7,5
2016,8,民國105年8月,南部科學園區,生物技術,65,59
2016,8,民國105年8月,南部科學園區,積體電路,17,13
2016,8,民國105年8月,南部科學園區,精密機械,54,47
2016,8,民國105年8月,南部科學園區,總計,213,189
2016,8,民國105年8月,南部科學園區,通訊,10,9
2016,8,民國105年8月,南部科學園區,電腦及周邊,2,2
2016,8,民國105年8月,彙總資料,光電,192,175
2016,8,民國105年8月,彙總資料,其他,31,23
2016,8,民國105年8月,彙總資料,生物技術,187,158
2016,8,民國105年8月,彙總資料,積體電路,213,204
2016,8,民國105年8月,彙總資料,精密機械,166,129
2016,8,民國105年8月,彙總資料,總計,919,808
2016,8,民國105年8月,彙總資料,通訊,56,55
2016,8,民國105年8月,彙總資料,電腦及周邊,74,64
2016,8,民國105年8月,新竹科學園區,光電,96,88
2016,8,民國105年8月,新竹科學園區,其他,9,5
2016,8,民國105年8月,新竹科學園區,生物技術,85,72
2016,8,民國105年8月,新竹科學園區,積體電路,188,185
2016,8,民國105年8月,新竹科學園區,精密機械,42,38
2016,8,民國105年8月,新竹科學園區,總計,522,484
2016,8,民國105年8月,新竹科學園區,通訊,45,45
2016,8,民國105年8月,新竹科學園區,電腦及周邊,57,51
2016,9,民國105年9月,中部科學園區,光電,37,32
2016,9,民國105年9月,中部科學園區,其他,15,13
2016,9,民國105年9月,中部科學園區,生物技術,36,27
2016,9,民國105年9月,中部科學園區,積體電路,8,6
2016,9,民國105年9月,中部科學園區,精密機械,70,44
2016,9,民國105年9月,中部科學園區,總計,182,135
2016,9,民國105年9月,中部科學園區,通訊,1,1
2016,9,民國105年9月,中部科學園區,電腦及周邊,15,12
2016,9,民國105年9月,南部科學園區,光電,56,51
2016,9,民國105年9月,南部科學園區,其他,7,5
2016,9,民國105年9月,南部科學園區,生物技術,65,58
2016,9,民國105年9月,南部科學園區,積體電路,17,13
2016,9,民國105年9月,南部科學園區,精密機械,53,46
2016,9,民國105年9月,南部科學園區,總計,210,184
2016,9,民國105年9月,南部科學園區,通訊,10,9
2016,9,民國105年9月,南部科學園區,電腦及周邊,2,2
2016,9,民國105年9月,彙總資料,光電,188,171
2016,9,民國105年9月,彙總資料,其他,31,23
2016,9,民國105年9月,彙總資料,生物技術,186,157
2016,9,民國105年9月,彙總資料,積體電路,214,204
2016,9,民國105年9月,彙總資料,精密機械,165,129
2016,9,民國105年9月,彙總資料,總計,915,803
2016,9,民國105年9月,彙總資料,通訊,58,55
2016,9,民國105年9月,彙總資料,電腦及周邊,73,64
2016,9,民國105年9月,新竹科學園區,光電,95,88
2016,9,民國105年9月,新竹科學園區,其他,9,5
2016,9,民國105年9月,新竹科學園區,生物技術,85,72
2016,9,民國105年9月,新竹科學園區,積體電路,189,185
2016,9,民國105年9月,新竹科學園區,精密機械,42,39
2016,9,民國105年9月,新竹科學園區,總計,523,484
2016,9,民國105年9月,新竹科學園區,通訊,47,45
2016,9,民國105年9月,新竹科學園區,電腦及周邊,56,50
2016,10,民國105年10月,中部科學園區,光電,37,32
2016,10,民國105年10月,中部科學園區,其他,15,13
2016,10,民國105年10月,中部科學園區,生物技術,37,27
2016,10,民國105年10月,中部科學園區,積體電路,8,6
2016,10,民國105年10月,中部科學園區,精密機械,70,44
2016,10,民國105年10月,中部科學園區,總計,183,135
2016,10,民國105年10月,中部科學園區,通訊,1,1
2016,10,民國105年10月,中部科學園區,電腦及周邊,15,12
2016,10,民國105年10月,南部科學園區,光電,56,51
2016,10,民國105年10月,南部科學園區,其他,7,5
2016,10,民國105年10月,南部科學園區,生物技術,65,58
2016,10,民國105年10月,南部科學園區,積體電路,17,13
2016,10,民國105年10月,南部科學園區,精密機械,53,47
2016,10,民國105年10月,南部科學園區,總計,210,185
2016,10,民國105年10月,南部科學園區,通訊,10,9
2016,10,民國105年10月,南部科學園區,電腦及周邊,2,2
2016,10,民國105年10月,彙總資料,光電,187,171
2016,10,民國105年10月,彙總資料,其他,31,23
2016,10,民國105年10月,彙總資料,生物技術,189,157
2016,10,民國105年10月,彙總資料,積體電路,215,205
2016,10,民國105年10月,彙總資料,精密機械,165,130
2016,10,民國105年10月,彙總資料,總計,919,806
2016,10,民國105年10月,彙總資料,通訊,57,55
2016,10,民國105年10月,彙總資料,電腦及周邊,75,65
2016,10,民國105年10月,新竹科學園區,光電,94,88
2016,10,民國105年10月,新竹科學園區,其他,9,5
2016,10,民國105年10月,新竹科學園區,生物技術,87,72
2016,10,民國105年10月,新竹科學園區,積體電路,190,186
2016,10,民國105年10月,新竹科學園區,精密機械,42,39
2016,10,民國105年10月,新竹科學園區,總計,526,486
2016,10,民國105年10月,新竹科學園區,通訊,46,45
2016,10,民國105年10月,新竹科學園區,電腦及周邊,58,51
2016,11,民國105年11月,中部科學園區,光電,37,32
2016,11,民國105年11月,中部科學園區,其他,16,13
2016,11,民國105年11月,中部科學園區,生物技術,38,27
