YearMonth,District,PowerDeviation,Beta_TempDiff,R2
201602,安定,-0.06544750182193701,0.041799162851783624,0.00535741484871366
201603,安定,-0.10450566009586111,0.041799162851783624,0.00535741484871366
201604,安定,-0.3173420603585307,0.041799162851783624,0.00535741484871366
201605,安定,-0.11784582752550425,0.041799162851783624,0.00535741484871366
201606,安定,-0.08496674838854226,0.041799162851783624,0.00535741484871366
201607,安定,-0.054567166962650654,0.041799162851783624,0.00535741484871366
201608,安定,-0.010288087825688755,0.041799162851783624,0.00535741484871366
201609,安定,-0.005228673829439898,0.041799162851783624,0.00535741484871366
201610,安定,-0.02080775296640204,0.041799162851783624,0.00535741484871366
201611,安定,0.11252948444448382,0.041799162851783624,0.00535741484871366
201612,安定,0.10584956815930564,0.041799162851783624,0.00535741484871366
201701,安定,0.0076311587409166985,0.041799162851783624,0.00535741484871366
201702,安定,-0.003328255255332059,0.041799162851783624,0.00535741484871366
201703,安定,-0.1444851578069312,0.041799162851783624,0.00535741484871366
201704,安定,-0.13924499037728813,0.041799162851783624,0.00535741484871366
201705,安定,-0.2374449903772878,0.041799162851783624,0.00535741484871366
201706,安定,-0.0611462460996126,0.041799162851783624,0.00535741484871366
201707,安定,-0.04840733439229396,0.041799162851783624,0.00535741484871366
201708,安定,-0.050507334392293705,0.041799162851783624,0.00535741484871366
201709,安定,-0.04364750182193706,0.041799162851783624,0.00535741484871366
201710,安定,0.07024998673341372,0.041799162851783624,0.00535741484871366
201711,安定,0.09616965187412733,0.041799162851783624,0.00535741484871366
201712,安定,0.15758847986662436,0.041799162851783624,0.00535741484871366
201801,安定,0.005531577315024884,0.041799162851783624,0.00535741484871366
201802,安定,-0.036888087825688504,0.041799162851783624,0.00535741484871366
201803,安定,-0.21590356722532028,0.041799162851783624,0.00535741484871366
201804,安定,-0.18340482294764462,0.041799162851783624,0.00535741484871366
201805,安定,-0.1666048229476446,0.041799162851783624,0.00535741484871366
201806,安定,-0.06274750182193717,0.041799162851783624,0.00535741484871366
201807,安定,-0.04772741810711534,0.041799162851783624,0.00535741484871366
201808,安定,0.01665124245573827,0.041799162851783624,0.00535741484871366
201809,安定,-0.08834666467372064,0.041799162851783624,0.00535741484871366
201810,安定,0.09640981930377031,0.041799162851783624,0.00535741484871366
201811,安定,0.027611075026095215,0.041799162851783624,0.00535741484871366
201812,安定,0.06891023787787859,0.041799162851783624,0.00535741484871366
201901,安定,0.12175082388163014,0.041799162851783624,0.00535741484871366
201902,安定,-0.12550566009586112,0.041799162851783624,0.00535741484871366
201903,安定,0.02613283303734934,0.041799162851783624,0.00535741484871366
201904,安定,-0.08756465551800142,0.041799162851783624,0.00535741484871366
201905,安定,0.046713167896635946,0.041799162851783624,0.00535741484871366
201906,安定,-0.08048557638103954,0.041799162851783624,0.00535741484871366
201907,安定,0.032212330748419685,0.041799162851783624,0.00535741484871366
201908,安定,0.01343199588913297,0.041799162851783624,0.00535741484871366
201909,安定,0.01157216331877628,0.041799162851783624,0.00535741484871366
201910,安定,0.21797132617055986,0.041799162851783624,0.00535741484871366
201911,安定,0.16990940072966237,0.041799162851783624,0.00535741484871366
201912,安定,0.23798931701484055,0.041799162851783624,0.00535741484871366
202001,安定,0.10717174474466828,0.041799162851783624,0.00535741484871366
202002,安定,-0.018766748388542462,0.041799162851783624,0.00535741484871366
202003,安定,0.09179517705235526,0.041799162851783624,0.00535741484871366
202004,安定,0.02695249817806289,0.041799162851783624,0.00535741484871366
202005,安定,-0.027923650940141792,0.041799162851783624,0.00535741484871366
202006,安定,-0.20216591124032599,0.041799162851783624,0.00535741484871366
202007,安定,0.01745249817806279,0.041799162851783624,0.00535741484871366
202008,安定,0.041951242455738266,0.041799162851783624,0.00535741484871366
202009,安定,0.19913283303734947,0.041799162851783624,0.00535741484871366
202010,安定,0.09533032159270001,0.041799162851783624,0.00535741484871366
