西元年,月,民國年月,園區別,子園區,負載_萬KW
2016,9,10509,中部科學園區,后里園區,17.01
2016,9,10509,中部科學園區,虎尾園區,1.76
2016,9,10509,南部科學園區,臺南園區,124.0
2016,9,10509,南部科學園區,高雄園區,14.57
2016,9,10509,新竹科學園區,宜蘭園區,0.01
2016,9,10509,新竹科學園區,新竹園區,135.92
2016,9,10509,新竹科學園區,新竹生醫園區,0.43
2016,9,10509,新竹科學園區,竹南園區,19.23
2016,9,10509,新竹科學園區,銅鑼園區,1.52
2016,9,10509,新竹科學園區,龍潭園區,15.3
2016,10,10510,中部科學園區,中興園區,0.05
2016,10,10510,中部科學園區,二林園區,0.06
2016,10,10510,中部科學園區,台中園區,66.96
2016,10,10510,中部科學園區,后里園區,17.09
2016,10,10510,中部科學園區,虎尾園區,1.78
2016,10,10510,南部科學園區,臺南園區,123.32
2016,10,10510,南部科學園區,高雄園區,14.91
2016,10,10510,新竹科學園區,宜蘭園區,0.01
2016,10,10510,新竹科學園區,新竹園區,131.56
2016,10,10510,新竹科學園區,新竹生醫園區,0.44
2016,10,10510,新竹科學園區,竹南園區,19.62
2016,10,10510,新竹科學園區,銅鑼園區,1.36
2016,10,10510,新竹科學園區,龍潭園區,15.29
2016,11,10511,中部科學園區,中興園區,0.04
2016,11,10511,中部科學園區,二林園區,0.06
2016,11,10511,中部科學園區,台中園區,65.61
2016,11,10511,中部科學園區,后里園區,16.66
2016,11,10511,中部科學園區,虎尾園區,1.76
2016,11,10511,南部科學園區,臺南園區,121.83
2016,11,10511,南部科學園區,高雄園區,15.41
2016,11,10511,新竹科學園區,宜蘭園區,0.01
2016,11,10511,新竹科學園區,新竹園區,138.52
2016,11,10511,新竹科學園區,新竹生醫園區,0.48
2016,11,10511,新竹科學園區,竹南園區,19.42
2016,11,10511,新竹科學園區,銅鑼園區,1.49
2016,11,10511,新竹科學園區,龍潭園區,16.63
2016,12,10512,中部科學園區,中興園區,0.03
2016,12,10512,中部科學園區,二林園區,0.05
2016,12,10512,中部科學園區,台中園區,64.71
2016,12,10512,中部科學園區,后里園區,16.45
2016,12,10512,中部科學園區,虎尾園區,1.75
2016,12,10512,南部科學園區,臺南園區,121.57
2016,12,10512,南部科學園區,高雄園區,15.56
2016,12,10512,新竹科學園區,宜蘭園區,0.01
2016,12,10512,新竹科學園區,新竹園區,120.92
2016,12,10512,新竹科學園區,新竹生醫園區,0.4
2016,12,10512,新竹科學園區,竹南園區,18.86
2016,12,10512,新竹科學園區,銅鑼園區,1.57
2016,12,10512,新竹科學園區,龍潭園區,14.71
2017,1,10601,中部科學園區,中興園區,0.03
2017,1,10601,中部科學園區,二林園區,0.05
2017,1,10601,中部科學園區,台中園區,63.6
2017,1,10601,中部科學園區,后里園區,16.41
2017,1,10601,中部科學園區,虎尾園區,1.7
2017,1,10601,南部科學園區,臺南園區,121.31
2017,1,10601,南部科學園區,高雄園區,16.28
2017,1,10601,新竹科學園區,宜蘭園區,0.01
2017,1,10601,新竹科學園區,新竹園區,130.24
2017,1,10601,新竹科學園區,新竹生醫園區,0.41
2017,1,10601,新竹科學園區,竹南園區,18.69
2017,1,10601,新竹科學園區,銅鑼園區,1.59
2017,1,10601,新竹科學園區,龍潭園區,15.24
2017,2,10602,中部科學園區,中興園區,0.04
2017,2,10602,中部科學園區,二林園區,0.04
2017,2,10602,中部科學園區,台中園區,64.6
2017,2,10602,中部科學園區,后里園區,16.65
2017,2,10602,中部科學園區,虎尾園區,1.71
2017,2,10602,南部科學園區,臺南園區,121.46
2017,2,10602,南部科學園區,高雄園區,16.28
2017,2,10602,新竹科學園區,宜蘭園區,0.01
2017,2,10602,新竹科學園區,新竹園區,120.37
2017,2,10602,新竹科學園區,新竹生醫園區,0.37
2017,2,10602,新竹科學園區,竹南園區,18.7
2017,2,10602,新竹科學園區,銅鑼園區,1.49
2017,2,10602,新竹科學園區,龍潭園區,15.01
2017,3,10603,中部科學園區,中興園區,0.04
2017,3,10603,中部科學園區,二林園區,0.05
2017,3,10603,中部科學園區,台中園區,65.68
2017,3,10603,中部科學園區,后里園區,17.22
2017,3,10603,中部科學園區,虎尾園區,1.72
2017,3,10603,南部科學園區,臺南園區,121.66
2017,3,10603,南部科學園區,高雄園區,17.05
2017,3,10603,新竹科學園區,宜蘭園區,0.01
2017,3,10603,新竹科學園區,新竹園區,135.35
2017,3,10603,新竹科學園區,新竹生醫園區,0.4
2017,3,10603,新竹科學園區,竹南園區,18.75
2017,3,10603,新竹科學園區,銅鑼園區,1.55
2017,3,10603,新竹科學園區,龍潭園區,13.95
2017,4,10604,中部科學園區,中興園區,0.05
2017,4,10604,中部科學園區,二林園區,0.06
2017,4,10604,中部科學園區,台中園區,68.57
2017,4,10604,中部科學園區,后里園區,17.89
2017,4,10604,中部科學園區,虎尾園區,1.81
2017,4,10604,南部科學園區,臺南園區,122.02
2017,4,10604,南部科學園區,高雄園區,17.32
2017,4,10604,新竹科學園區,宜蘭園區,0.01
2017,4,10604,新竹科學園區,新竹園區,124.92
2017,4,10604,新竹科學園區,新竹生醫園區,0.45
2017,4,10604,新竹科學園區,竹南園區,18.99
2017,4,10604,新竹科學園區,銅鑼園區,1.58
2017,4,10604,新竹科學園區,龍潭園區,14.84
2017,5,10605,中部科學園區,中興園區,0.05
2017,5,10605,中部科學園區,二林園區,0.07
2017,5,10605,中部科學園區,台中園區,69.87
2017,5,10605,中部科學園區,后里園區,18.2
2017,5,10605,中部科學園區,虎尾園區,1.83
2017,5,10605,南部科學園區,臺南園區,122.74
2017,5,10605,南部科學園區,高雄園區,17.35
2017,5,10605,新竹科學園區,宜蘭園區,0.01
2017,5,10605,新竹科學園區,新竹園區,132.67
2017,5,10605,新竹科學園區,新竹生醫園區,0.42
2017,5,10605,新竹科學園區,竹南園區,19.45
2017,5,10605,新竹科學園區,銅鑼園區,1.71
2017,5,10605,新竹科學園區,龍潭園區,15.04
2017,6,10606,中部科學園區,中興園區,0.05
2017,6,10606,中部科學園區,二林園區,0.07
2017,6,10606,中部科學園區,台中園區,71.81
2017,6,10606,中部科學園區,后里園區,18.5
2017,6,10606,中部科學園區,虎尾園區,1.86
2017,6,10606,南部科學園區,臺南園區,123.1
2017,6,10606,南部科學園區,高雄園區,17.6
