西元年,行業代碼,行業名稱,生產總額_百萬元,中間消費_百萬元,GDP_百萬元,生產及進口稅淨額_百萬元,固定資本消耗_百萬元,受僱人員報酬_百萬元,營業盈餘_百萬元
2015,CI,石油及煤製品製造業,922347.0,769529.0,152818.0,97694.0,27925.0,25858.0,1341.0
2015,CJ,化學材料及肥料製造業,2027131.0,1695829.0,331302.0,2234.0,55876.0,86304.0,186888.0
2015,CK,其他化學製品製造業,310337.0,223414.0,86923.0,781.0,8689.0,41858.0,35595.0
2015,CL,藥品及醫用化學製品製造業,102655.0,61342.0,41313.0,246.0,7418.0,19967.0,13682.0
2015,CM,橡膠製品製造業,117291.0,68713.0,48578.0,1710.0,4034.0,26469.0,16365.0
2015,CN,塑膠製品製造業,470971.0,341060.0,129911.0,1408.0,12189.0,72331.0,43983.0
2015,CO,非金屬礦物製品製造業,416050.0,296989.0,119061.0,5997.0,21351.0,62271.0,29442.0
2015,CP,基本金屬製造業,1573485.0,1323034.0,250451.0,3226.0,36631.0,93470.0,117124.0
2015,CQ,金屬製品製造業,1004380.0,685959.0,318421.0,4160.0,33070.0,203897.0,77294.0
2015,CR,電子零組件製造業,4620745.0,2664819.0,1955926.0,5341.0,732296.0,541141.0,677148.0
2015,CS,電腦、電子產品及光學製品製造業,2889574.0,2258084.0,631490.0,3873.0,128344.0,223135.0,276138.0
2015,CT,電力設備及配備製造業,644173.0,485467.0,158706.0,4953.0,23674.0,85663.0,44416.0
2015,CU,機械設備製造業,1017022.0,753544.0,263478.0,3405.0,22572.0,143411.0,94090.0
2015,CV,汽車及其零件製造業,519708.0,371478.0,148230.0,29836.0,21646.0,61286.0,35462.0
2015,CW,其他運輸工具及其零件製造業,393982.0,297898.0,96084.0,5621.0,12721.0,52161.0,25581.0
2015,CX,家具製造業,84651.0,64517.0,20134.0,153.0,1679.0,13495.0,4807.0
2015,CY,其他製造業,372343.0,255515.0,116828.0,1002.0,11085.0,75913.0,28828.0
2015,D,電力及燃氣供應業,756974.0,453513.0,303461.0,3597.0,118383.0,52781.0,128700.0
2015,E,用水供應及污染整治業,199935.0,108253.0,91682.0,467.0,15838.0,28945.0,46432.0
