西元年,月,民國年,科學園區,產業,營業額
2016,7,民國105年7月,中部科學園區,總計,402.08
2016,7,民國105年7月,中部科學園區,通訊,0.09
2016,7,民國105年7月,中部科學園區,電腦及周邊,3.32
2016,7,民國105年7月,南部科學園區,光電,218.64
2016,7,民國105年7月,南部科學園區,其他,2.33
2016,7,民國105年7月,南部科學園區,生物技術,6.95
2016,7,民國105年7月,南部科學園區,積體電路,454.41
2016,7,民國105年7月,南部科學園區,精密機械,31.61
2016,7,民國105年7月,南部科學園區,總計,720.11
2016,7,民國105年7月,南部科學園區,通訊,4.87
2016,7,民國105年7月,南部科學園區,電腦及周邊,1.3
2016,7,民國105年7月,新竹科學園區,光電,126.21
2016,7,民國105年7月,新竹科學園區,其他,5.22
2016,7,民國105年7月,新竹科學園區,生物技術,8.31
2016,7,民國105年7月,新竹科學園區,積體電路,649.3
2016,7,民國105年7月,新竹科學園區,精密機械,25.21
2016,7,民國105年7月,新竹科學園區,總計,879.36
2016,7,民國105年7月,新竹科學園區,通訊,29.98
2016,7,民國105年7月,新竹科學園區,電腦及周邊,35.13
2016,7,民國105年7月,總　　計,光電,494.06
2016,7,民國105年7月,總　　計,其他,8.67
2016,7,民國105年7月,總　　計,生物技術,17.7
2016,7,民國105年7月,總　　計,積體電路,1331.41
2016,7,民國105年7月,總　　計,精密機械,75.02
2016,7,民國105年7月,總　　計,總計,2001.55
2016,7,民國105年7月,總　　計,通訊,34.94
2016,7,民國105年7月,總　　計,電腦及周邊,39.75
2016,8,民國105年8月,中部科學園區,光電,158.2
2016,8,民國105年8月,中部科學園區,其他,1.38
2016,8,民國105年8月,中部科學園區,生物技術,2.79
2016,8,民國105年8月,中部科學園區,積體電路,264.91
2016,8,民國105年8月,中部科學園區,精密機械,20.59
2016,8,民國105年8月,中部科學園區,總計,451.11
2016,8,民國105年8月,中部科學園區,通訊,0.06
2016,8,民國105年8月,中部科學園區,電腦及周邊,3.18
2016,8,民國105年8月,南部科學園區,光電,238.58
2016,8,民國105年8月,南部科學園區,其他,2.16
2016,8,民國105年8月,南部科學園區,生物技術,7.23
2016,8,民國105年8月,南部科學園區,積體電路,424.83
2016,8,民國105年8月,南部科學園區,精密機械,37.04
2016,8,民國105年8月,南部科學園區,總計,715.57
2016,8,民國105年8月,南部科學園區,通訊,4.02
2016,8,民國105年8月,南部科學園區,電腦及周邊,1.71
2016,8,民國105年8月,新竹科學園區,光電,123.32
2016,8,民國105年8月,新竹科學園區,其他,5.28
2016,8,民國105年8月,新竹科學園區,生物技術,9.13
2016,8,民國105年8月,新竹科學園區,積體電路,662.95
2016,8,民國105年8月,新竹科學園區,精密機械,32.25
2016,8,民國105年8月,新竹科學園區,總計,888.18
2016,8,民國105年8月,新竹科學園區,通訊,27.38
2016,8,民國105年8月,新竹科學園區,電腦及周邊,27.86
2016,8,民國105年8月,總　　計,光電,520.1
2016,8,民國105年8月,總　　計,其他,8.82
2016,8,民國105年8月,總　　計,生物技術,19.15
2016,8,民國105年8月,總　　計,積體電路,1352.69
2016,8,民國105年8月,總　　計,精密機械,89.88
2016,8,民國105年8月,總　　計,總計,2054.86
2016,8,民國105年8月,總　　計,通訊,31.46
2016,8,民國105年8月,總　　計,電腦及周邊,32.76
2016,9,民國105年9月,中部科學園區,光電,156.82
2016,9,民國105年9月,中部科學園區,其他,1.19
2016,9,民國105年9月,中部科學園區,生物技術,2.8
2016,9,民國105年9月,中部科學園區,積體電路,278.51
2016,9,民國105年9月,中部科學園區,精密機械,18.42
2016,9,民國105年9月,中部科學園區,總計,460.3
2016,9,民國105年9月,中部科學園區,通訊,0.06
2016,9,民國105年9月,中部科學園區,電腦及周邊,2.5
2016,9,民國105年9月,南部科學園區,光電,257.48
2016,9,民國105年9月,南部科學園區,其他,2.26
2016,9,民國105年9月,南部科學園區,生物技術,7.98
2016,9,民國105年9月,南部科學園區,積體電路,476.84
2016,9,民國105年9月,南部科學園區,精密機械,31.58
2016,9,民國105年9月,南部科學園區,總計,781.04
2016,9,民國105年9月,南部科學園區,通訊,3.44
2016,9,民國105年9月,南部科學園區,電腦及周邊,1.46
2016,9,民國105年9月,新竹科學園區,光電,126.23
2016,9,民國105年9月,新竹科學園區,其他,5.59
2016,9,民國105年9月,新竹科學園區,生物技術,7.97
2016,9,民國105年9月,新竹科學園區,積體電路,663.69
2016,9,民國105年9月,新竹科學園區,精密機械,30.35
2016,9,民國105年9月,新竹科學園區,總計,890.4
2016,9,民國105年9月,新竹科學園區,通訊,25.45
2016,9,民國105年9月,新竹科學園區,電腦及周邊,31.12
2016,9,民國105年9月,總　　計,光電,540.53
2016,9,民國105年9月,總　　計,其他,9.04
2016,9,民國105年9月,總　　計,生物技術,18.75
2016,9,民國105年9月,總　　計,積體電路,1419.05
2016,9,民國105年9月,總　　計,精密機械,80.34
2016,9,民國105年9月,總　　計,總計,2131.74
2016,9,民國105年9月,總　　計,通訊,28.95
2016,9,民國105年9月,總　　計,電腦及周邊,35.08
2016,10,民國105年10月,中部科學園區,光電,141.02
2016,10,民國105年10月,中部科學園區,其他,1.17
2016,10,民國105年10月,中部科學園區,生物技術,2.89
2016,10,民國105年10月,中部科學園區,積體電路,259.47
2016,10,民國105年10月,中部科學園區,精密機械,20.14
2016,10,民國105年10月,中部科學園區,總計,427.15
2016,10,民國105年10月,中部科學園區,通訊,0.06
2016,10,民國105年10月,中部科學園區,電腦及周邊,2.4
2016,10,民國105年10月,南部科學園區,光電,253.82
2016,10,民國105年10月,南部科學園區,其他,1.98
2016,10,民國105年10月,南部科學園區,生物技術,7.77
2016,10,民國105年10月,南部科學園區,積體電路,492.38
2016,10,民國105年10月,南部科學園區,精密機械,34.22
2016,10,民國105年10月,南部科學園區,總計,795.02
2016,10,民國105年10月,南部科學園區,通訊,3.3
2016,10,民國105年10月,南部科學園區,電腦及周邊,1.55
