西元年,月,民國年,科學園區,產業,營業額
2018,5,民國107年5月,新竹科學園區,總計,944.04
2018,5,民國107年5月,新竹科學園區,通訊,31.02
2018,5,民國107年5月,新竹科學園區,電腦及周邊,30.52
2018,5,民國107年5月,總　　計,光電,480.6
2018,5,民國107年5月,總　　計,其他,9.29
2018,5,民國107年5月,總　　計,生物技術,22.21
2018,5,民國107年5月,總　　計,積體電路,1677.49
2018,5,民國107年5月,總　　計,精密機械,104.53
2018,5,民國107年5月,總　　計,總計,2365.06
2018,5,民國107年5月,總　　計,通訊,36.09
2018,5,民國107年5月,總　　計,電腦及周邊,34.86
2018,6,民國107年6月,中部科學園區,光電,129.57
2018,6,民國107年6月,中部科學園區,其他,1.64
2018,6,民國107年6月,中部科學園區,生物技術,3.68
2018,6,民國107年6月,中部科學園區,積體電路,427.9
2018,6,民國107年6月,中部科學園區,精密機械,23.4
2018,6,民國107年6月,中部科學園區,總計,589.11
2018,6,民國107年6月,中部科學園區,通訊,0.08
2018,6,民國107年6月,中部科學園區,電腦及周邊,2.85
2018,6,民國107年6月,南部科學園區,光電,217.06
2018,6,民國107年6月,南部科學園區,其他,2.03
2018,6,民國107年6月,南部科學園區,生物技術,7.94
2018,6,民國107年6月,南部科學園區,積體電路,452.17
2018,6,民國107年6月,南部科學園區,精密機械,34.85
2018,6,民國107年6月,南部科學園區,總計,719.99
2018,6,民國107年6月,南部科學園區,通訊,4.17
2018,6,民國107年6月,南部科學園區,電腦及周邊,1.77
2018,6,民國107年6月,新竹科學園區,光電,108.47
2018,6,民國107年6月,新竹科學園區,其他,5.88
2018,6,民國107年6月,新竹科學園區,生物技術,9.35
2018,6,民國107年6月,新竹科學園區,積體電路,655.82
2018,6,民國107年6月,新竹科學園區,精密機械,36.47
2018,6,民國107年6月,新竹科學園區,總計,876.61
2018,6,民國107年6月,新竹科學園區,通訊,31.51
2018,6,民國107年6月,新竹科學園區,電腦及周邊,29.1
2018,6,民國107年6月,總　　計,光電,455.1
2018,6,民國107年6月,總　　計,其他,9.55
2018,6,民國107年6月,總　　計,生物技術,20.97
2018,6,民國107年6月,總　　計,積體電路,1535.89
2018,6,民國107年6月,總　　計,精密機械,94.72
2018,6,民國107年6月,總　　計,總計,2185.72
2018,6,民國107年6月,總　　計,通訊,35.76
2018,6,民國107年6月,總　　計,電腦及周邊,33.72
2018,7,民國107年7月,中部科學園區,光電,136.66
2018,7,民國107年7月,中部科學園區,其他,1.6
2018,7,民國107年7月,中部科學園區,生物技術,3.64
2018,7,民國107年7月,中部科學園區,積體電路,320.27
2018,7,民國107年7月,中部科學園區,精密機械,25.25
2018,7,民國107年7月,中部科學園區,總計,490.53
2018,7,民國107年7月,中部科學園區,通訊,0.07
2018,7,民國107年7月,中部科學園區,電腦及周邊,3.03
2018,7,民國107年7月,南部科學園區,光電,216.79
2018,7,民國107年7月,南部科學園區,其他,2.14
2018,7,民國107年7月,南部科學園區,生物技術,7.68
2018,7,民國107年7月,南部科學園區,積體電路,367.23
2018,7,民國107年7月,南部科學園區,精密機械,46.42
2018,7,民國107年7月,南部科學園區,總計,647.01
2018,7,民國107年7月,南部科學園區,通訊,4.67
2018,7,民國107年7月,南部科學園區,電腦及周邊,2.08
2018,7,民國107年7月,新竹科學園區,光電,105.16
2018,7,民國107年7月,新竹科學園區,其他,6.02
2018,7,民國107年7月,新竹科學園區,生物技術,10.28
2018,7,民國107年7月,新竹科學園區,積體電路,655.52
2018,7,民國107年7月,新竹科學園區,精密機械,33.54
2018,7,民國107年7月,新竹科學園區,總計,872.92
2018,7,民國107年7月,新竹科學園區,通訊,29.12
2018,7,民國107年7月,新竹科學園區,電腦及周邊,33.29
2018,7,民國107年7月,總　　計,光電,458.61
2018,7,民國107年7月,總　　計,其他,9.76
2018,7,民國107年7月,總　　計,生物技術,21.6
2018,7,民國107年7月,總　　計,積體電路,1343.02
2018,7,民國107年7月,總　　計,精密機械,105.2
2018,7,民國107年7月,總　　計,總計,2010.45
2018,7,民國107年7月,總　　計,通訊,33.86
2018,7,民國107年7月,總　　計,電腦及周邊,38.39
2018,8,民國107年8月,中部科學園區,光電,155.66
2018,8,民國107年8月,中部科學園區,其他,1.65
2018,8,民國107年8月,中部科學園區,生物技術,4.2
2018,8,民國107年8月,中部科學園區,積體電路,284.36
2018,8,民國107年8月,中部科學園區,精密機械,23.49
2018,8,民國107年8月,中部科學園區,總計,472.3
2018,8,民國107年8月,中部科學園區,通訊,0.07
2018,8,民國107年8月,中部科學園區,電腦及周邊,2.86
2018,8,民國107年8月,南部科學園區,光電,215.16
2018,8,民國107年8月,南部科學園區,其他,2.07
2018,8,民國107年8月,南部科學園區,生物技術,7.97
2018,8,民國107年8月,南部科學園區,積體電路,416.67
2018,8,民國107年8月,南部科學園區,精密機械,43.1
2018,8,民國107年8月,南部科學園區,總計,691.27
2018,8,民國107年8月,南部科學園區,通訊,4.33
2018,8,民國107年8月,南部科學園區,電腦及周邊,1.98
2018,8,民國107年8月,新竹科學園區,光電,123.92
2018,8,民國107年8月,新竹科學園區,其他,5.89
2018,8,民國107年8月,新竹科學園區,生物技術,10.81
2018,8,民國107年8月,新竹科學園區,積體電路,687.43
2018,8,民國107年8月,新竹科學園區,精密機械,36.93
2018,8,民國107年8月,新竹科學園區,總計,943.84
2018,8,民國107年8月,新竹科學園區,通訊,40.56
2018,8,民國107年8月,新竹科學園區,電腦及周邊,38.3
2018,8,民國107年8月,總　　計,光電,494.75
2018,8,民國107年8月,總　　計,其他,9.61
2018,8,民國107年8月,總　　計,生物技術,22.98
2018,8,民國107年8月,總　　計,積體電路,1388.45
2018,8,民國107年8月,總　　計,精密機械,103.53
2018,8,民國107年8月,總　　計,總計,2107.42
2018,8,民國107年8月,總　　計,通訊,44.96
2018,8,民國107年8月,總　　計,電腦及周邊,43.15
2018,9,民國107年9月,中部科學園區,光電,139.46
2018,9,民國107年9月,中部科學園區,其他,1.65
2018,9,民國107年9月,中部科學園區,生物技術,3.81
2018,9,民國107年9月,中部科學園區,積體電路,397.65
2018,9,民國107年9月,中部科學園區,精密機械,22.1
2018,9,民國107年9月,中部科學園區,總計,567.62
2018,9,民國107年9月,中部科學園區,通訊,0.06
2018,9,民國107年9月,中部科學園區,電腦及周邊,2.9
2018,9,民國107年9月,南部科學園區,光電,200.35
2018,9,民國107年9月,南部科學園區,其他,2.57
2018,9,民國107年9月,南部科學園區,生物技術,7.59
2018,9,民國107年9月,南部科學園區,積體電路,397.14
2018,9,民國107年9月,南部科學園區,精密機械,37.05
2018,9,民國107年9月,南部科學園區,總計,650.68
2018,9,民國107年9月,南部科學園區,通訊,4.13
2018,9,民國107年9月,南部科學園區,電腦及周邊,1.85
2018,9,民國107年9月,新竹科學園區,光電,123.44
2018,9,民國107年9月,新竹科學園區,其他,6.01
2018,9,民國107年9月,新竹科學園區,生物技術,9.14
2018,9,民國107年9月,新竹科學園區,積體電路,680.68
2018,9,民國107年9月,新竹科學園區,精密機械,36.33
2018,9,民國107年9月,新竹科學園區,總計,925.27
2018,9,民國107年9月,新竹科學園區,通訊,30.59
2018,9,民國107年9月,新竹科學園區,電腦及周邊,39.08
2018,9,民國107年9月,總　　計,光電,463.25
2018,9,民國107年9月,總　　計,其他,10.23
2018,9,民國107年9月,總　　計,生物技術,20.54
2018,9,民國107年9月,總　　計,積體電路,1475.47
2018,9,民國107年9月,總　　計,精密機械,95.47
2018,9,民國107年9月,總　　計,總計,2143.58
2018,9,民國107年9月,總　　計,通訊,34.79
2018,9,民國107年9月,總　　計,電腦及周邊,43.83
2018,10,民國107年10月,中部科學園區,光電,146.38
2018,10,民國107年10月,中部科學園區,其他,1.68
2018,10,民國107年10月,中部科學園區,生物技術,4.89
2018,10,民國107年10月,中部科學園區,積體電路,501.18
2018,10,民國107年10月,中部科學園區,精密機械,27.4
2018,10,民國107年10月,中部科學園區,總計,684.61
2018,10,民國107年10月,中部科學園區,通訊,0.06
2018,10,民國107年10月,中部科學園區,電腦及周邊,3.02
2018,10,民國107年10月,南部科學園區,光電,203.72
2018,10,民國107年10月,南部科學園區,其他,1.69
2018,10,民國107年10月,南部科學園區,生物技術,7.8
2018,10,民國107年10月,南部科學園區,積體電路,429.21
2018,10,民國107年10月,南部科學園區,精密機械,36.82
2018,10,民國107年10月,南部科學園區,總計,685.4
2018,10,民國107年10月,南部科學園區,通訊,4.57
2018,10,民國107年10月,南部科學園區,電腦及周邊,1.58
2018,10,民國107年10月,新竹科學園區,光電,123.77
2018,10,民國107年10月,新竹科學園區,其他,5.72
2018,10,民國107年10月,新竹科學園區,生物技術,10.29
2018,10,民國107年10月,新竹科學園區,積體電路,689.65
2018,10,民國107年10月,新竹科學園區,精密機械,42.07
2018,10,民國107年10月,新竹科學園區,總計,964.86
2018,10,民國107年10月,新竹科學園區,通訊,35.33
2018,10,民國107年10月,新竹科學園區,電腦及周邊,58.03
2018,10,民國107年10月,總　　計,光電,473.87
2018,10,民國107年10月,總　　計,其他,9.09
2018,10,民國107年10月,總　　計,生物技術,22.98
2018,10,民國107年10月,總　　計,積體電路,1620.05
2018,10,民國107年10月,總　　計,精密機械,106.29
2018,10,民國107年10月,總　　計,總計,2334.86
2018,10,民國107年10月,總　　計,通訊,39.96
2018,10,民國107年10月,總　　計,電腦及周邊,62.63
2018,11,民國107年11月,中部科學園區,光電,144.59
2018,11,民國107年11月,中部科學園區,其他,1.68
2018,11,民國107年11月,中部科學園區,生物技術,4.54
2018,11,民國107年11月,中部科學園區,積體電路,581.33
2018,11,民國107年11月,中部科學園區,精密機械,24.26
2018,11,民國107年11月,中部科學園區,總計,759.18
2018,11,民國107年11月,中部科學園區,通訊,0.07
2018,11,民國107年11月,中部科學園區,電腦及周邊,2.72
2018,11,民國107年11月,南部科學園區,光電,194.37
2018,11,民國107年11月,南部科學園區,其他,2.01
2018,11,民國107年11月,南部科學園區,生物技術,8.63
2018,11,民國107年11月,南部科學園區,積體電路,469.25
2018,11,民國107年11月,南部科學園區,精密機械,38.58
2018,11,民國107年11月,南部科學園區,總計,719.09
2018,11,民國107年11月,南部科學園區,通訊,4.72
2018,11,民國107年11月,南部科學園區,電腦及周邊,1.54
2018,11,民國107年11月,新竹科學園區,光電,113.18
2018,11,民國107年11月,新竹科學園區,其他,5.89
2018,11,民國107年11月,新竹科學園區,生物技術,10.13
2018,11,民國107年11月,新竹科學園區,積體電路,698.18
2018,11,民國107年11月,新竹科學園區,精密機械,44.39
2018,11,民國107年11月,新竹科學園區,總計,964.83
2018,11,民國107年11月,新竹科學園區,通訊,47.92
2018,11,民國107年11月,新竹科學園區,電腦及周邊,45.15
2018,11,民國107年11月,總　　計,光電,452.13
2018,11,民國107年11月,總　　計,其他,9.58
2018,11,民國107年11月,總　　計,生物技術,23.29
2018,11,民國107年11月,總　　計,積體電路,1748.76
2018,11,民國107年11月,總　　計,精密機械,107.23
2018,11,民國107年11月,總　　計,總計,2443.1
2018,11,民國107年11月,總　　計,通訊,52.7
2018,11,民國107年11月,總　　計,電腦及周邊,49.41
2018,12,民國107年12月,中部科學園區,光電,154.72
2018,12,民國107年12月,中部科學園區,其他,1.22
2018,12,民國107年12月,中部科學園區,生物技術,4.45
2018,12,民國107年12月,中部科學園區,積體電路,585.52
2018,12,民國107年12月,中部科學園區,精密機械,24.17
2018,12,民國107年12月,中部科學園區,總計,773.2
2018,12,民國107年12月,中部科學園區,通訊,0.07
2018,12,民國107年12月,中部科學園區,電腦及周邊,3.05
2018,12,民國107年12月,南部科學園區,光電,177.39
2018,12,民國107年12月,南部科學園區,其他,2.23
2018,12,民國107年12月,南部科學園區,生物技術,7.27
2018,12,民國107年12月,南部科學園區,積體電路,478.2
2018,12,民國107年12月,南部科學園區,精密機械,30.55
2018,12,民國107年12月,南部科學園區,總計,701.38
2018,12,民國107年12月,南部科學園區,通訊,4.73
2018,12,民國107年12月,南部科學園區,電腦及周邊,1.02
2018,12,民國107年12月,新竹科學園區,光電,104.85
2018,12,民國107年12月,新竹科學園區,其他,6.28
2018,12,民國107年12月,新竹科學園區,生物技術,11.79
2018,12,民國107年12月,新竹科學園區,積體電路,672.66
2018,12,民國107年12月,新竹科學園區,精密機械,49.45
2018,12,民國107年12月,新竹科學園區,總計,948.28
2018,12,民國107年12月,新竹科學園區,通訊,51.98
2018,12,民國107年12月,新竹科學園區,電腦及周邊,51.27
2018,12,民國107年12月,總　　計,光電,436.97
2018,12,民國107年12月,總　　計,其他,9.73
2018,12,民國107年12月,總　　計,生物技術,23.5
2018,12,民國107年12月,總　　計,積體電路,1736.38
2018,12,民國107年12月,總　　計,精密機械,104.17
2018,12,民國107年12月,總　　計,總計,2422.87
2018,12,民國107年12月,總　　計,通訊,56.78
2018,12,民國107年12月,總　　計,電腦及周邊,55.34
2019,1,民國108年1月,中部科學園區,光電,148.04
2019,1,民國108年1月,中部科學園區,其他,2.19
2019,1,民國108年1月,中部科學園區,生物技術,5.71
2019,1,民國108年1月,中部科學園區,積體電路,504.89
2019,1,民國108年1月,中部科學園區,精密機械,24.51
2019,1,民國108年1月,中部科學園區,總計,688.23
2019,1,民國108年1月,中部科學園區,通訊,0.04
2019,1,民國108年1月,中部科學園區,電腦及周邊,2.85
2019,1,民國108年1月,南部科學園區,光電,188.0
2019,1,民國108年1月,南部科學園區,其他,2.62
2019,1,民國108年1月,南部科學園區,生物技術,9.21
2019,1,民國108年1月,南部科學園區,積體電路,289.25
2019,1,民國108年1月,南部科學園區,精密機械,37.75
2019,1,民國108年1月,南部科學園區,總計,532.75
2019,1,民國108年1月,南部科學園區,通訊,4.3
2019,1,民國108年1月,南部科學園區,電腦及周邊,1.62
2019,1,民國108年1月,新竹科學園區,光電,108.33
2019,1,民國108年1月,新竹科學園區,其他,6.09
2019,1,民國108年1月,新竹科學園區,生物技術,10.9
2019,1,民國108年1月,新竹科學園區,積體電路,595.79
2019,1,民國108年1月,新竹科學園區,精密機械,55.25
2019,1,民國108年1月,新竹科學園區,總計,874.24
2019,1,民國108年1月,新竹科學園區,通訊,44.45
2019,1,民國108年1月,新竹科學園區,電腦及周邊,53.43
2019,1,民國108年1月,總　　計,光電,444.37
2019,1,民國108年1月,總　　計,其他,10.9
2019,1,民國108年1月,總　　計,生物技術,25.82
2019,1,民國108年1月,總　　計,積體電路,1389.94
2019,1,民國108年1月,總　　計,精密機械,117.5
2019,1,民國108年1月,總　　計,總計,2095.22
2019,1,民國108年1月,總　　計,通訊,48.79
2019,1,民國108年1月,總　　計,電腦及周邊,57.9
2019,2,民國108年2月,中部科學園區,光電,112.38
2019,2,民國108年2月,中部科學園區,其他,1.69
2019,2,民國108年2月,中部科學園區,生物技術,4.49
2019,2,民國108年2月,中部科學園區,積體電路,493.39
2019,2,民國108年2月,中部科學園區,精密機械,16.81
2019,2,民國108年2月,中部科學園區,總計,630.81
2019,2,民國108年2月,中部科學園區,通訊,0.04
2019,2,民國108年2月,中部科學園區,電腦及周邊,2.0
2019,2,民國108年2月,南部科學園區,光電,157.14
2019,2,民國108年2月,南部科學園區,其他,2.02
2019,2,民國108年2月,南部科學園區,生物技術,5.77
2019,2,民國108年2月,南部科學園區,積體電路,308.58
2019,2,民國108年2月,南部科學園區,精密機械,30.01
2019,2,民國108年2月,南部科學園區,總計,508.07
2019,2,民國108年2月,南部科學園區,通訊,3.57
2019,2,民國108年2月,南部科學園區,電腦及周邊,0.97
2019,2,民國108年2月,新竹科學園區,光電,72.03
2019,2,民國108年2月,新竹科學園區,其他,5.64
2019,2,民國108年2月,新竹科學園區,生物技術,7.48
2019,2,民國108年2月,新竹科學園區,積體電路,534.07
2019,2,民國108年2月,新竹科學園區,精密機械,42.71
2019,2,民國108年2月,新竹科學園區,總計,731.51
2019,2,民國108年2月,新竹科學園區,通訊,35.63
2019,2,民國108年2月,新竹科學園區,電腦及周邊,33.95
2019,2,民國108年2月,總　　計,光電,341.55
2019,2,民國108年2月,總　　計,其他,9.36
2019,2,民國108年2月,總　　計,生物技術,17.74
2019,2,民國108年2月,總　　計,積體電路,1336.04
2019,2,民國108年2月,總　　計,精密機械,89.53
2019,2,民國108年2月,總　　計,總計,1870.38
2019,2,民國108年2月,總　　計,通訊,39.24
2019,2,民國108年2月,總　　計,電腦及周邊,36.92
2019,3,民國108年3月,中部科學園區,光電,130.58
2019,3,民國108年3月,中部科學園區,其他,1.71
2019,3,民國108年3月,中部科學園區,生物技術,5.95
2019,3,民國108年3月,中部科學園區,積體電路,401.45
2019,3,民國108年3月,中部科學園區,精密機械,25.33
2019,3,民國108年3月,中部科學園區,總計,567.67
2019,3,民國108年3月,中部科學園區,通訊,0.05
2019,3,民國108年3月,中部科學園區,電腦及周邊,2.61
2019,3,民國108年3月,南部科學園區,光電,179.18
2019,3,民國108年3月,南部科學園區,其他,2.19
2019,3,民國108年3月,南部科學園區,生物技術,8.74
2019,3,民國108年3月,南部科學園區,積體電路,285.36
2019,3,民國108年3月,南部科學園區,精密機械,36.04
2019,3,民國108年3月,南部科學園區,總計,516.17
2019,3,民國108年3月,南部科學園區,通訊,3.25
2019,3,民國108年3月,南部科學園區,電腦及周邊,1.42
2019,3,民國108年3月,新竹科學園區,光電,94.22
2019,3,民國108年3月,新竹科學園區,其他,6.27
2019,3,民國108年3月,新竹科學園區,生物技術,10.77
2019,3,民國108年3月,新竹科學園區,積體電路,582.01
2019,3,民國108年3月,新竹科學園區,精密機械,45.59
2019,3,民國108年3月,新竹科學園區,總計,842.06
2019,3,民國108年3月,新竹科學園區,通訊,47.55
2019,3,民國108年3月,新竹科學園區,電腦及周邊,55.66
2019,3,民國108年3月,總　　計,光電,403.97
2019,3,民國108年3月,總　　計,其他,10.16
2019,3,民國108年3月,總　　計,生物技術,25.45
2019,3,民國108年3月,總　　計,積體電路,1268.81
2019,3,民國108年3月,總　　計,精密機械,106.95
2019,3,民國108年3月,總　　計,總計,1925.9
2019,3,民國108年3月,總　　計,通訊,50.85
2019,3,民國108年3月,總　　計,電腦及周邊,59.69
2019,4,民國108年4月,中部科學園區,光電,126.27
2019,4,民國108年4月,中部科學園區,其他,1.37
2019,4,民國108年4月,中部科學園區,生物技術,6.45
2019,4,民國108年4月,中部科學園區,積體電路,463.73
2019,4,民國108年4月,中部科學園區,精密機械,23.49
2019,4,民國108年4月,中部科學園區,總計,624.68
2019,4,民國108年4月,中部科學園區,通訊,0.06
2019,4,民國108年4月,中部科學園區,電腦及周邊,3.29
2019,4,民國108年4月,南部科學園區,光電,185.01
2019,4,民國108年4月,南部科學園區,其他,2.17
2019,4,民國108年4月,南部科學園區,生物技術,6.13
2019,4,民國108年4月,南部科學園區,積體電路,381.85
2019,4,民國108年4月,南部科學園區,精密機械,32.22
2019,4,民國108年4月,南部科學園區,總計,613.12
2019,4,民國108年4月,南部科學園區,通訊,4.23
2019,4,民國108年4月,南部科學園區,電腦及周邊,1.52
2019,4,民國108年4月,新竹科學園區,光電,103.58
2019,4,民國108年4月,新竹科學園區,其他,6.05
2019,4,民國108年4月,新竹科學園區,生物技術,10.61
2019,4,民國108年4月,新竹科學園區,積體電路,610.44
2019,4,民國108年4月,新竹科學園區,精密機械,46.82
2019,4,民國108年4月,新竹科學園區,總計,878.07
2019,4,民國108年4月,新竹科學園區,通訊,45.9
2019,4,民國108年4月,新竹科學園區,電腦及周邊,54.68
2019,4,民國108年4月,總　　計,光電,414.86
2019,4,民國108年4月,總　　計,其他,9.59
2019,4,民國108年4月,總　　計,生物技術,23.19
2019,4,民國108年4月,總　　計,積體電路,1456.01
2019,4,民國108年4月,總　　計,精密機械,102.53
2019,4,民國108年4月,總　　計,總計,2115.87
2019,4,民國108年4月,總　　計,通訊,50.19
2019,4,民國108年4月,總　　計,電腦及周邊,59.49
2019,5,民國108年5月,中部科學園區,光電,134.69
2019,5,民國108年5月,中部科學園區,其他,2.36
2019,5,民國108年5月,中部科學園區,生物技術,5.12
2019,5,民國108年5月,中部科學園區,積體電路,456.68
2019,5,民國108年5月,中部科學園區,精密機械,23.41
2019,5,民國108年5月,中部科學園區,總計,625.37
2019,5,民國108年5月,中部科學園區,通訊,0.05
2019,5,民國108年5月,中部科學園區,電腦及周邊,3.06
2019,5,民國108年5月,南部科學園區,光電,183.74
2019,5,民國108年5月,南部科學園區,其他,2.16
2019,5,民國108年5月,南部科學園區,生物技術,7.35
2019,5,民國108年5月,南部科學園區,積體電路,341.76
2019,5,民國108年5月,南部科學園區,精密機械,29.66
2019,5,民國108年5月,南部科學園區,總計,574.34
2019,5,民國108年5月,南部科學園區,通訊,7.69
2019,5,民國108年5月,南部科學園區,電腦及周邊,1.98
2019,5,民國108年5月,新竹科學園區,光電,106.11
2019,5,民國108年5月,新竹科學園區,其他,5.92
2019,5,民國108年5月,新竹科學園區,生物技術,11.22
2019,5,民國108年5月,新竹科學園區,積體電路,661.0
2019,5,民國108年5月,新竹科學園區,精密機械,42.2
2019,5,民國108年5月,新竹科學園區,總計,937.79
2019,5,民國108年5月,新竹科學園區,通訊,43.78
2019,5,民國108年5月,新竹科學園區,電腦及周邊,67.56
2019,5,民國108年5月,總　　計,光電,424.53
2019,5,民國108年5月,總　　計,其他,10.45
2019,5,民國108年5月,總　　計,生物技術,23.69
2019,5,民國108年5月,總　　計,積體電路,1459.44
2019,5,民國108年5月,總　　計,精密機械,95.27
2019,5,民國108年5月,總　　計,總計,2137.5
2019,5,民國108年5月,總　　計,通訊,51.52
2019,5,民國108年5月,總　　計,電腦及周邊,72.6
2019,6,民國108年6月,中部科學園區,光電,130.26
2019,6,民國108年6月,中部科學園區,其他,1.92
2019,6,民國108年6月,中部科學園區,生物技術,4.8
2019,6,民國108年6月,中部科學園區,積體電路,403.55
2019,6,民國108年6月,中部科學園區,精密機械,20.21
2019,6,民國108年6月,中部科學園區,總計,563.85
2019,6,民國108年6月,中部科學園區,通訊,0.04
2019,6,民國108年6月,中部科學園區,電腦及周邊,3.07
2019,6,民國108年6月,南部科學園區,光電,170.78
2019,6,民國108年6月,南部科學園區,其他,2.29
2019,6,民國108年6月,南部科學園區,生物技術,7.01
2019,6,民國108年6月,南部科學園區,積體電路,390.73
2019,6,民國108年6月,南部科學園區,精密機械,30.57
2019,6,民國108年6月,南部科學園區,總計,610.09
2019,6,民國108年6月,南部科學園區,通訊,6.79
2019,6,民國108年6月,南部科學園區,電腦及周邊,1.93
2019,6,民國108年6月,新竹科學園區,光電,100.45
2019,6,民國108年6月,新竹科學園區,其他,6.15
2019,6,民國108年6月,新竹科學園區,生物技術,11.27
2019,6,民國108年6月,新竹科學園區,積體電路,601.07
2019,6,民國108年6月,新竹科學園區,精密機械,37.45
2019,6,民國108年6月,新竹科學園區,總計,870.61
2019,6,民國108年6月,新竹科學園區,通訊,48.59
2019,6,民國108年6月,新竹科學園區,電腦及周邊,65.62
2019,6,民國108年6月,總　　計,光電,401.49
2019,6,民國108年6月,總　　計,其他,10.36
2019,6,民國108年6月,總　　計,生物技術,23.08
2019,6,民國108年6月,總　　計,積體電路,1395.36
2019,6,民國108年6月,總　　計,精密機械,88.23
2019,6,民國108年6月,總　　計,總計,2044.55
2019,6,民國108年6月,總　　計,通訊,55.42
2019,6,民國108年6月,總　　計,電腦及周邊,70.61
2019,7,民國108年7月,中部科學園區,光電,141.01
2019,7,民國108年7月,中部科學園區,其他,1.68
2019,7,民國108年7月,中部科學園區,生物技術,5.81
2019,7,民國108年7月,中部科學園區,積體電路,418.31
2019,7,民國108年7月,中部科學園區,精密機械,20.01
2019,7,民國108年7月,中部科學園區,總計,589.32
2019,7,民國108年7月,中部科學園區,通訊,0.04
2019,7,民國108年7月,中部科學園區,電腦及周邊,2.46
2019,7,民國108年7月,南部科學園區,光電,179.31
2019,7,民國108年7月,南部科學園區,其他,2.17
2019,7,民國108年7月,南部科學園區,生物技術,7.57
2019,7,民國108年7月,南部科學園區,積體電路,369.31
2019,7,民國108年7月,南部科學園區,精密機械,35.25
2019,7,民國108年7月,南部科學園區,總計,616.58
2019,7,民國108年7月,南部科學園區,通訊,9.37
2019,7,民國108年7月,南部科學園區,電腦及周邊,13.6
2019,7,民國108年7月,新竹科學園區,光電,107.0
2019,7,民國108年7月,新竹科學園區,其他,6.22
2019,7,民國108年7月,新竹科學園區,生物技術,11.21
2019,7,民國108年7月,新竹科學園區,積體電路,649.25
2019,7,民國108年7月,新竹科學園區,精密機械,43.61
2019,7,民國108年7月,新竹科學園區,總計,930.97
2019,7,民國108年7月,新竹科學園區,通訊,47.3
2019,7,民國108年7月,新竹科學園區,電腦及周邊,66.39
2019,7,民國108年7月,總　　計,光電,427.32
2019,7,民國108年7月,總　　計,其他,10.07
2019,7,民國108年7月,總　　計,生物技術,24.59
2019,7,民國108年7月,總　　計,積體電路,1436.87
2019,7,民國108年7月,總　　計,精密機械,98.87
2019,7,民國108年7月,總　　計,總計,2136.87
2019,7,民國108年7月,總　　計,通訊,56.71
2019,7,民國108年7月,總　　計,電腦及周邊,82.45
2019,8,民國108年8月,中部科學園區,光電,137.28
2019,8,民國108年8月,中部科學園區,其他,2.41
2019,8,民國108年8月,中部科學園區,生物技術,5.01
2019,8,民國108年8月,中部科學園區,積體電路,490.26
2019,8,民國108年8月,中部科學園區,精密機械,19.08
2019,8,民國108年8月,中部科學園區,總計,657.17
2019,8,民國108年8月,中部科學園區,通訊,0.05
2019,8,民國108年8月,中部科學園區,電腦及周邊,3.09
2019,8,民國108年8月,南部科學園區,光電,175.9
2019,8,民國108年8月,南部科學園區,其他,2.18
2019,8,民國108年8月,南部科學園區,生物技術,7.27
2019,8,民國108年8月,南部科學園區,積體電路,471.2
2019,8,民國108年8月,南部科學園區,精密機械,35.89
2019,8,民國108年8月,南部科學園區,總計,719.71
2019,8,民國108年8月,南部科學園區,通訊,10.64
2019,8,民國108年8月,南部科學園區,電腦及周邊,16.63
2019,8,民國108年8月,新竹科學園區,光電,101.06
2019,8,民國108年8月,新竹科學園區,其他,6.5
2019,8,民國108年8月,新竹科學園區,生物技術,11.48
2019,8,民國108年8月,新竹科學園區,積體電路,695.67
2019,8,民國108年8月,新竹科學園區,精密機械,32.84
2019,8,民國108年8月,新竹科學園區,總計,961.38
2019,8,民國108年8月,新竹科學園區,通訊,50.28
2019,8,民國108年8月,新竹科學園區,電腦及周邊,63.55
2019,8,民國108年8月,總　　計,光電,414.24
2019,8,民國108年8月,總　　計,其他,11.08
2019,8,民國108年8月,總　　計,生物技術,23.76
2019,8,民國108年8月,總　　計,積體電路,1657.13
2019,8,民國108年8月,總　　計,精密機械,87.81
2019,8,民國108年8月,總　　計,總計,2338.27
2019,8,民國108年8月,總　　計,通訊,60.97
2019,8,民國108年8月,總　　計,電腦及周邊,83.27
2019,9,民國108年9月,中部科學園區,光電,125.04
2019,9,民國108年9月,中部科學園區,其他,1.99
2019,9,民國108年9月,中部科學園區,生物技術,4.76
2019,9,民國108年9月,中部科學園區,積體電路,442.98
2019,9,民國108年9月,中部科學園區,精密機械,17.68
2019,9,民國108年9月,中部科學園區,總計,595.16
2019,9,民國108年9月,中部科學園區,通訊,0.08
2019,9,民國108年9月,中部科學園區,電腦及周邊,2.62
2019,9,民國108年9月,南部科學園區,光電,180.91
2019,9,民國108年9月,南部科學園區,其他,2.67
2019,9,民國108年9月,南部科學園區,生物技術,7.15
2019,9,民國108年9月,南部科學園區,積體電路,328.95
2019,9,民國108年9月,南部科學園區,精密機械,32.17
2019,9,民國108年9月,南部科學園區,總計,578.42
2019,9,民國108年9月,南部科學園區,通訊,9.73
2019,9,民國108年9月,南部科學園區,電腦及周邊,16.84
2019,9,民國108年9月,新竹科學園區,光電,93.13
2019,9,民國108年9月,新竹科學園區,其他,6.06
2019,9,民國108年9月,新竹科學園區,生物技術,11.25
2019,9,民國108年9月,新竹科學園區,積體電路,691.15
