YearMonth,District,PowerUsage_100M_kWh,StationName,MeanTemp,SunshineHrs
201801,西屯區,4.7107,Taichung,17.3,127.4
201802,安定,0.0605,Tainan,17.5,125.4
201802,寶山,2.5817,Hsinchu,14.6,73
201802,新市,4.4955,Tainan,17.5,125.4
201802,新竹市,5.8029,Hsinchu,14.6,73
201802,西屯區,4.1538,Taichung,16.5,117.3
201803,安定,0.0832,Tainan,22.3,249.7
201803,寶山,2.9244,Hsinchu,19.3,181.6
201803,新市,5.1491,Tainan,22.3,249.7
201803,新竹市,5.3888,Hsinchu,19.3,181.6
201803,西屯區,4.8731,Taichung,20.8,213
201804,安定,0.0757,Tainan,25.6,217.5
201804,寶山,2.9063,Hsinchu,23,140.2
201804,新市,5.0594,Tainan,25.6,217.5
201804,新竹市,5.9346,Hsinchu,23,140.2
201804,西屯區,4.8151,Taichung,24.3,155.7
201805,安定,0.085,Tainan,28.9,277.7
201805,寶山,3.1355,Hsinchu,27.4,228.4
201805,新市,5.4322,Tainan,28.9,277.7
201805,新竹市,6.4995,Hsinchu,27.4,228.4
201805,西屯區,5.3423,Taichung,28.3,218.8
201806,安定,0.0644,Tainan,29,195.8
201806,寶山,3.0543,Hsinchu,28.5,184.6
201806,新市,5.2738,Tainan,29,195.8
201806,新竹市,6.3721,Hsinchu,28.5,184.6
201806,西屯區,5.059,Taichung,28.7,158.9
201807,安定,0.063,Tainan,29.2,200.1
201807,寶山,3.212,Hsinchu,29.9,229.7
201807,新市,5.479,Tainan,29.2,200.1
201807,新竹市,6.6512,Hsinchu,29.9,229.7
201807,西屯區,5.5946,Taichung,28.6,146.1
201808,安定,0.0591,Tainan,27.8,119.1
201808,寶山,3.2217,Hsinchu,29,175.5
201808,新市,5.4624,Tainan,27.8,119.1
201808,新竹市,6.7083,Hsinchu,29,175.5
201808,西屯區,5.4404,Taichung,27.9,112
201809,安定,0.0547,Tainan,28.9,208.8
201809,寶山,3.1228,Hsinchu,27.7,188.9
201809,新市,5.2773,Tainan,28.9,208.8
201809,新竹市,6.3413,Hsinchu,27.7,188.9
201809,西屯區,5.2251,Taichung,28.3,203.3
201810,安定,0.0595,Tainan,25.8,234.9
201810,寶山,3.1171,Hsinchu,23.6,169.9
201810,新市,5.3031,Tainan,25.8,234.9
201810,新竹市,6.2339,Hsinchu,23.6,169.9
201810,西屯區,5.201,Taichung,24.9,221.8
201811,安定,0.0582,Tainan,24.2,172.2
201811,寶山,2.9962,Hsinchu,22.3,115.8
201811,新市,5.0934,Tainan,24.2,172.2
201811,新竹市,6.0154,Hsinchu,22.3,115.8
201811,西屯區,4.9764,Taichung,23.4,158.2
201812,安定,0.0564,Tainan,21.6,214.6
201812,寶山,2.9749,Hsinchu,19.1,128.8
201812,新市,5.1163,Tainan,21.6,214.6
201812,新竹市,5.9406,Hsinchu,19.1,128.8
201812,西屯區,5.0343,Taichung,20.8,191.3
201901,安定,0.1367,Tainan,19.7,176.4
201901,寶山,2.9385,Hsinchu,17.7,107.8
201901,新市,5.0662,Tainan,19.7,176.4
201901,新竹市,5.8489,Hsinchu,17.7,107.8
201901,西屯區,4.9827,Taichung,19.3,172.9
201902,安定,0.1453,Tainan,22,211.3
201902,寶山,2.6533,Hsinchu,18,57
201902,新市,4.5161,Tainan,22,211.3
201902,新竹市,5.2713,Hsinchu,18,57
201902,西屯區,4.4357,Taichung,20.5,173.4
201903,安定,0.2303,Tainan,22.5,188.8
201903,寶山,2.9793,Hsinchu,19.3,96.8
201903,新市,5.1301,Tainan,22.5,188.8
201903,新竹市,5.9593,Hsinchu,19.3,96.8
201903,西屯區,5.117,Taichung,21.1,141.6
201904,安定,0.327,Tainan,26,206.6
201904,寶山,2.9499,Hsinchu,23.6,147.5
201904,新市,5.1381,Tainan,26,206.6
201904,新竹市,6.0672,Hsinchu,23.6,147.5
201904,西屯區,5.2389,Taichung,24.7,169.3
201905,安定,0.4493,Tainan,26.9,134.4
201905,寶山,3.0841,Hsinchu,24.7,100.9
201905,新市,5.4213,Tainan,26.9,134.4
201905,新竹市,6.3612,Hsinchu,24.7,100.9
201905,西屯區,5.5398,Taichung,25.4,87.2
201906,安定,0.5071,Tainan,29.3,183.5
