,"工業生產指數"
,,,,,,,,,"單位：基期=110年"
"統計期","總指數","總指數(不含土石採取業)","礦業及土石採取業","製造業","金屬機電工業","資訊電子工業","化學工業","民生工業","電力及燃氣供應業","用水供應業",
"110年1月","95.39","95.36","110.17","95.52","97.62","92.26","100.98","100.98","92.14","103.67",
"110年2月","80.59","80.58","87.12","80.62","77.65","81.94","83.00","76.61","79.02","92.94",
"110年3月","102.74","102.72","109.73","103.31","104.87","102.32","104.11","104.10","93.47","101.34",
"110年4月","94.47","94.43","107.40","94.56","98.42","91.74","98.01","96.59","92.41","94.75",
"110年5月","98.96","98.95","102.73","98.43","101.91","95.40","103.03","100.90","107.12","98.21",
"110年6月","102.67","102.69","91.32","102.55","102.38","102.70","101.92","103.00","105.32","97.08",
"110年7月","102.98","102.99","97.50","102.30","104.40","100.59","104.85","103.45","113.72","104.13",
"110年8月","104.03","104.04","90.99","103.62","101.86","104.47","103.30","103.26","110.91","104.09",
"110年9月","105.03","105.05","92.93","104.85","100.27","109.06","99.20","99.78","108.73","100.71",
"110年10月","102.79","102.80","93.15","102.53","100.62","104.48","98.48","101.71","107.34","102.28",
"110年11月","104.05","104.04","105.89","104.65","102.84","106.76","100.39","103.14","94.84","97.53",
"110年12月","106.33","106.32","111.04","107.05","107.11","108.25","102.72","106.43","94.94","103.26",
"111年","98.16","98.15","99.13","97.99","94.15","101.41","92.72","95.22","100.83","101.34",
"111年1月","103.46","103.46","101.46","103.96","97.97","107.39","101.29","101.84","94.47","103.95",
"111年2月","87.87","87.90","75.11","87.96","80.84","93.45","85.33","76.16","86.75","89.91",
"111年3月","105.75","105.75","106.07","106.42","107.76","108.30","97.99","105.86","94.22","98.70",
"111年4月","98.84","98.84","98.71","98.95","96.45","101.41","97.79","92.05","97.22","95.70",
"111年5月","100.63","100.64","93.52","100.48","97.61","101.88","103.53","93.87","103.71","99.16",
"111年6月","100.38","100.39","95.63","99.95","96.63","102.62","99.06","93.25","108.42","99.39",
"111年7月","100.51","100.51","101.64","99.65","95.54","102.92","94.15","98.69","115.50","108.14",
"111年8月","101.90","101.89","103.14","101.31","93.76","107.21","90.19","101.98","111.86","108.66",
"111年9月","95.76","95.75","100.02","95.25","90.10","100.16","86.35","92.53","104.24","104.32",
"111年10月","94.37","94.34","100.35","93.81","89.43","97.86","86.62","91.59","103.46","104.47",
"111年11月","94.38","94.36","103.01","94.32","91.59","98.14","83.06","96.38","94.85","98.21",
"111年12月","94.03","93.99","110.85","93.87","92.13","95.59","87.23","98.49","95.29","105.47",
"112年","85.93","85.90","95.73","85.40","84.36","85.51","85.44","89.20","97.35","99.56",
"112年1月","79.34","79.33","85.51","78.72","71.78","82.48","76.79","75.72","92.52","103.55",
"112年2月","79.18","79.15","94.64","78.71","81.68","76.79","82.27","80.71","88.91","91.60",
"112年3月","88.89","88.83","114.27","88.55","95.63","84.20","92.08","96.88","94.15","99.48",
"112年4月","76.06","76.01","100.48","75.60","81.82","71.45","80.94","81.64","83.86","97.93",
"112年5月","84.34","84.30","100.99","83.86","88.84","79.49","89.99","93.22","94.18","97.49",
"112年6月","82.81","82.78","93.76","82.07","83.56","79.86","86.18","88.81","100.33","96.83",
"112年7月","84.76","84.74","87.17","83.80","83.58","82.15","87.07","92.34","108.33","103.86",
"112年8月","90.57","90.56","91.70","89.88","85.93","90.33","90.52","97.73","107.23","103.94",
"112年9月","89.34","89.33","89.58","88.61","83.67","91.96","85.20","85.84","107.48","100.29",
"112年10月","92.46","92.45","91.93","91.99","82.00","98.25","85.32","87.42","103.50","99.53",
"112年11月","92.79","92.77","95.85","92.71","85.75","96.85","86.16","94.48","92.71","98.62",
"112年12月","90.57","90.53","102.87","90.28","88.12","92.33","82.78","95.64","94.98","101.58",
"113年","96.14","96.12","95.13","95.98","85.48","103.11","85.84","91.30","99.23","100.86",
"113年1月","91.54","91.50","106.39","91.48","88.62","92.82","87.80","96.95","90.72","103.37",
"113年2月","78.61","78.60","79.39","78.19","67.41","83.95","76.17","70.98","87.70","94.10",
"113年3月","93.23","93.20","104.35","93.01","88.72","96.32","87.52","91.88","97.15","99.14",
"113年4月","87.75","87.71","92.77","87.39","84.34","89.43","84.63","87.50","95.43","95.08",
"113年5月","98.11","98.09","99.53","97.86","90.47","102.47","92.69","95.20","103.86","99.10",
"113年6月","94.08","94.06","95.83","93.47","84.96","99.53","85.02","88.60","108.88","98.70",
"113年7月","96.31","96.29","95.91","95.68","85.72","101.31","89.58","93.63","111.01","106.75",
"113年8月","102.66","102.66","95.88","102.45","87.04","112.07","88.32","98.83","107.69","105.95",
"113年9月","99.97","99.96","91.47","99.78","82.64","111.86","81.70","90.00","104.40","102.38",
"113年10月","100.58","100.58","89.24","100.63","83.55","112.77","82.97","89.77","99.01","102.28",
"113年11月","102.44","102.44","89.10","102.98","88.85","113.93","84.67","93.90","88.78","100.02",
"113年12月","108.37","108.36","101.75","108.85","93.43","120.85","88.99","98.36","96.09","103.45",
"114年","113.76","113.77","90.83","114.72","86.62","135.17","85.02","90.90","96.50","100.72",
"114年1月","96.89","96.88","93.69","97.16","79.25","108.66","82.15","87.59","91.54","102.79",
"114年2月","92.90","92.91","82.15","93.24","79.99","102.74","80.61","82.75","86.82","92.21",
"114年3月","106.39","106.38","98.06","107.03","90.71","119.77","86.06","94.25","94.46","99.32",
"114年4月","110.05","110.05","97.36","111.01","88.99","127.34","86.48","92.81","92.69","96.58",
"114年5月","122.25","122.26","97.75","123.46","89.71","148.38","87.32","92.56","100.67","100.59",
"114年6月","113.41","113.42","87.83","114.20","88.09","133.10","87.92","91.25","99.85","97.98",
"114年7月","115.63","115.66","82.76","116.36","88.95","135.91","88.57","94.27","103.23","107.72",
"114年8月","118.22","118.25","85.63","119.11","85.82","142.66","85.36","92.58","103.00","105.43",
"114年9月","118.12","118.14","88.98","119.22","87.42","142.94","83.21","91.24","98.70","100.07",
"114年10月","116.56","116.58","89.59","117.46","83.45","141.82","83.02","88.19","100.98","101.41",
"114年11月","121.28","121.31","83.99","122.82","83.29","151.69","81.40","86.50","93.67","100.88",
"114年12月","133.38","133.40","102.13","135.61","93.71","167.01","88.16","96.86","92.39","103.61",
"115年1月","123.90","123.91","101.22","126.02","89.48","152.04","88.41","96.95","90.86","101.95",
"115年2月","109.46","-","69.88","111.55","68.17","142.65","70.29","68.89","77.90","91.78",

註解：
由於限於各電腦系統之浮點數（floating point）的表達方式與計算確度差異，部分透過計算所得的統計量（如年增率）容或有計算誤差，或與他系統所計算之結果有尾差情形。

 
