01/01,2563.1,389.9,15.21
01/02,2644.7,451.7,17.08
01/03,2948.7,560.1,18.99
01/04,2961.7,530.3,17.91
01/05,3008.6,380.4,12.64
01/06,2939.8,429.0,14.59
01/07,2777.2,476.5,17.16
01/08,2642.1,341.3,12.92
01/09,2951.4,374.5,12.69
01/10,2985.2,347.2,11.63
01/11,2948.8,370.6,12.57
01/12,2985.1,242.2,8.11
01/13,2984.2,419.8,14.07
01/14,2736.9,403.2,14.73
01/15,2597.0,506.3,19.50
01/16,2867.8,479.1,16.71
01/17,2867.0,457.9,15.97
01/18,2804.9,570.6,20.34
01/19,2561.4,684.0,26.70
01/20,2375.4,593.6,24.99
01/21,2224.3,491.4,22.09
01/22,2157.6,531.9,24.65
01/23,2145.9,666.6,31.06
01/24,2271.7,464.3,20.44
01/25,2344.5,377.1,16.08
01/26,2394.1,531.8,22.21
01/27,2465.9,481.5,19.53
01/28,2549.4,407.5,15.98
01/29,2587.0,421.1,16.28
01/30,2815.1,556.6,19.77
01/31,2851.4,435.0,15.26
02/01,2872.2,388.7,13.53
02/02,2897.0,478.0,16.50
02/03,2875.8,480.7,16.72
02/04,2776.5,501.5,18.06
02/05,2608.2,475.8,18.24
02/06,2947.4,224.3,7.61
02/07,2955.5,447.6,15.14
02/08,2944.7,507.9,17.25
02/09,3003.1,306.3,10.20
02/10,3004.0,650.6,21.66
02/11,2674.5,408.2,15.26
02/12,2624.3,380.4,14.50
02/13,3073.8,339.8,11.05
02/14,2920.4,445.6,15.26
02/15,2936.0,358.8,12.22
02/16,2941.1,349.0,11.87
02/17,2928.3,449.7,15.36
02/18,2798.7,361.6,12.92
02/19,2620.9,516.4,19.70
02/20,2919.6,371.5,12.72
02/21,2964.8,281.8,9.50
02/22,2944.6,370.7,12.59
02/23,2956.9,333.2,11.27
02/24,2891.2,552.7,19.12
02/25,2652.0,484.9,18.28
02/26,2564.7,431.8,16.84
02/27,2518.5,608.0,24.14
02/28,2628.4,440.6,16.76
03/01,2899.5,531.5,18.33
03/02,2905.6,436.7,15.03
03/03,2885.1,597.1,20.70
03/04,2637.7,445.2,16.88
03/05,2576.3,461.9,17.93
03/06,2917.0,440.0,15.08
03/07,2941.8,473.7,16.10
03/08,2942.1,411.0,13.97
03/09,2964.4,629.4,21.23
03/10,2967.0,587.6,19.80
03/11,2668.4,437.2,16.38
03/12,2597.4,636.2,24.49
03/13,2917.3,532.6,18.26
03/14,2968.0,542.5,18.28
03/15,2994.7,586.3,19.58
03/16,3037.9,467.9,15.40
03/17,3032.7,459.3,15.14
03/18,2661.6,510.5,19.18
03/19,2635.8,403.1,15.29
03/20,3064.4,433.7,14.15
03/21,3121.5,500.5,16.03
03/22,3231.5,402.4,12.45
03/23,3214.6,676.6,21.05
03/24,3179.5,398.6,12.54
03/25,2925.9,827.8,28.29
03/26,2612.9,515.0,19.71
