01/01,2387.2,255.7,10.71
01/02,2814.8,190.0,6.75
01/03,2845.2,189.2,6.65
01/04,2849.0,181.1,6.36
01/05,2605.4,190.3,7.30
01/06,2461.8,233.3,9.48
01/07,2853.7,179.9,6.31
01/08,2871.9,184.3,6.42
01/09,2864.1,195.4,6.82
01/10,2900.6,184.7,6.37
01/11,2879.8,188.3,6.54
01/12,2590.5,249.7,9.64
01/13,2462.9,239.8,9.74
01/14,2834.8,174.5,6.16
01/15,2888.7,184.4,6.38
01/16,2864.9,184.9,6.45
01/17,2839.5,193.3,6.81
01/18,2775.6,193.5,6.97
01/19,2647.7,195.4,7.38
01/20,2453.9,259.9,10.59
01/21,2773.9,191.5,6.90
01/22,2814.0,192.1,6.83
01/23,2783.8,193.8,6.96
01/24,2786.3,187.2,6.72
01/25,2729.6,190.5,6.98
01/26,2528.2,253.5,10.03
01/27,2441.4,209.2,8.57
01/28,2755.7,180.6,6.55
01/29,2785.8,183.2,6.58
01/30,2776.0,181.0,6.52
01/31,2718.1,189.0,6.95
02/01,2470.9,214.8,8.69
02/02,2338.2,224.0,9.58
02/03,2291.5,203.8,8.89
02/04,2021.4,256.3,12.68
02/05,1999.2,233.3,11.67
02/06,1993.6,232.2,11.65
02/07,2093.8,210.7,10.06
02/08,2158.1,311.5,14.43
02/09,2243.6,313.6,13.98
02/10,2323.6,302.3,13.01
02/11,2666.7,227.5,8.53
02/12,2776.8,186.0,6.70
02/13,2769.9,191.5,6.91
02/14,2825.0,194.3,6.88
02/15,2826.2,195.9,6.93
02/16,2543.2,242.6,9.54
02/17,2434.3,267.3,10.98
02/18,2864.5,176.2,6.15
02/19,2887.6,189.1,6.55
02/20,2907.8,183.8,6.32
02/21,2891.2,181.3,6.27
02/22,2842.0,187.0,6.58
02/23,2672.3,172.9,6.47
02/24,2469.4,177.0,7.17
02/25,2808.4,175.3,6.24
02/26,2839.0,181.8,6.40
02/27,2801.3,190.3,6.79
02/28,2547.2,243.0,9.54
03/01,2468.9,237.1,9.60
03/02,2473.4,183.3,7.41
03/03,2410.2,222.4,9.23
03/04,2768.8,189.5,6.84
03/05,2824.1,195.4,6.92
03/06,2803.2,192.2,6.86
03/07,2814.7,186.8,6.64
03/08,2795.1,181.6,6.50
03/09,2587.0,219.2,8.47
03/10,2480.1,182.3,7.35
03/11,2773.0,179.4,6.47
03/12,2793.6,187.9,6.73
03/13,2814.5,192.3,6.83
03/14,2841.7,178.0,6.26
03/15,2775.7,192.8,6.95
03/16,2531.8,251.8,9.95
03/17,2468.1,229.0,9.28
03/18,2833.8,175.5,6.19
03/19,2888.2,180.5,6.25
03/20,2964.5,184.4,6.22
03/21,3034.3,196.7,6.48
03/22,2961.8,234.1,7.90
03/23,2526.5,208.4,8.25
03/24,2481.2,185.9,7.49
03/25,2853.5,185.3,6.49
03/26,2875.6,188.7,6.56
03/27,2914.0,193.3,6.63
03/28,3009.3,189.2,6.29
03/29,2967.3,205.4,6.92
03/30,2581.0,215.5,8.35
03/31,2446.6,229.8,9.39
04/01,2784.2,193.0,6.93
04/02,2835.9,191.5,6.75
04/03,2848.3,190.5,6.69
04/04,2566.3,234.0,9.12
04/05,2454.2,187.2,7.63
04/06,2496.6,168.3,6.74
04/07,2524.0,177.8,7.04
04/08,3039.9,196.9,6.48
04/09,3153.2,196.4,6.23
04/10,3170.9,215.4,6.79
04/11,3054.1,207.9,6.81
04/12,2903.5,201.8,6.95
04/13,2644.6,176.0,6.66
04/14,2553.7,252.8,9.90
04/15,2874.9,198.6,6.91
04/16,2901.7,187.7,6.47
04/17,2956.5,205.0,6.93
04/18,3033.5,200.3,6.60
04/19,3074.8,192.0,6.24
04/20,2691.0,187.7,6.98
04/21,2630.6,229.8,8.74
04/22,3195.5,199.3,6.24
04/23,3318.1,202.6,6.11
04/24,3326.3,200.3,6.02
04/25,3313.4,229.0,6.91
04/26,3266.4,225.2,6.89
04/27,2737.6,199.3,7.28
04/28,2694.8,174.0,6.46
04/29,3284.7,221.1,6.73
04/30,3309.9,221.1,6.68
05/01,2682.6,309.3,11.53
05/02,2869.0,268.3,9.35
05/03,2831.5,331.6,11.71
05/04,2581.9,311.9,12.08
05/05,2533.6,225.5,8.90
05/06,2861.5,240.4,8.40
05/07,2847.2,260.9,9.16
05/08,2896.8,214.0,7.39
05/09,2922.9,221.2,7.57
05/10,2957.1,260.8,8.82
05/11,2657.6,283.7,10.68
05/12,2648.4,270.9,10.23
05/13,3213.5,231.1,7.19
05/14,3314.4,213.1,6.43
05/15,3289.6,225.3,6.85
05/16,3330.7,243.2,7.30
05/17,3231.6,254.6,7.88
05/18,2952.3,259.1,8.78
05/19,2897.7,212.7,7.34
05/20,3221.3,334.7,10.39
05/21,2997.8,388.7,12.97
05/22,3015.0,455.5,15.11
05/23,3043.0,471.2,15.48
05/24,3154.8,357.5,11.33
05/25,2781.0,398.4,14.33
05/26,2790.5,378.9,13.58
05/27,3252.1,270.6,8.32
05/28,3224.2,316.9,9.83
05/29,3031.9,590.5,19.48
05/30,3211.6,436.7,13.60
05/31,3297.1,451.4,13.69
06/01,2886.0,404.2,14.01
06/02,2885.6,363.2,12.59
06/03,3295.8,454.0,13.78
06/04,3240.9,454.6,14.03
06/05,3391.6,402.9,11.88
06/06,3488.9,378.5,10.85
06/07,3006.8,470.2,15.64
06/08,2954.8,331.0,11.20
06/09,2940.8,408.2,13.88
06/10,3335.5,414.7,12.43
06/11,3212.6,421.5,13.12
06/12,3109.5,541.8,17.42
06/13,3168.0,359.3,11.34
