01/01,2799.4,307.0,10.97
01/02,2961.7,450.4,15.21
01/03,2964.9,786.6,26.53
01/04,2748.2,362.2,13.18
01/05,2716.0,409.9,15.09
01/06,2912.9,540.0,18.54
01/07,2974.8,443.3,14.90
01/08,2985.1,445.0,14.91
01/09,2993.1,518.8,17.33
01/10,2957.9,1040.9,35.19
01/11,2819.9,452.1,16.03
01/12,2780.2,416.9,15.00
01/13,2955.5,448.0,15.16
01/14,3009.5,257.6,8.56
01/15,3020.2,719.1,23.81
01/16,3026.3,429.2,14.18
01/17,2945.0,453.8,15.41
01/18,2821.1,449.5,15.93
01/19,2770.4,469.3,16.94
01/20,2935.4,579.3,19.73
01/21,2919.6,359.1,12.30
01/22,2926.3,660.8,22.58
01/23,2864.6,767.4,26.79
01/24,2714.2,1437.3,52.95
01/25,2614.6,612.0,23.41
01/26,2574.9,674.0,26.18
01/27,2499.4,715.6,28.63
01/28,2358.9,720.5,30.54
01/29,2347.3,627.1,26.72
01/30,2333.6,744.9,31.92
01/31,2404.2,609.5,25.35
02/01,2489.8,845.1,33.94
02/02,2561.2,853.1,33.31
02/03,2888.4,671.2,23.24
02/04,2950.7,642.1,21.76
02/05,2940.3,465.1,15.82
02/06,2954.6,408.1,13.81
02/07,2973.8,740.5,24.90
02/08,2948.3,327.1,11.09
02/09,2860.2,449.7,15.72
02/10,2946.7,503.8,17.10
02/11,2957.0,433.3,14.65
02/12,3007.4,334.4,11.12
02/13,3009.8,557.3,18.52
02/14,2975.9,796.1,26.75
02/15,2735.1,458.6,16.77
02/16,2698.0,539.4,19.99
02/17,2920.6,800.8,27.42
02/18,2974.6,785.5,26.41
02/19,2978.2,1083.6,36.38
02/20,2999.1,933.3,31.12
02/21,2996.0,970.3,32.39
02/22,2761.9,474.2,17.17
02/23,2765.9,432.4,15.63
02/24,2982.3,508.4,17.05
02/25,2971.5,1145.7,38.56
02/26,2969.0,645.5,21.74
02/27,2973.1,849.3,28.57
02/28,2748.4,305.7,11.12
03/01,2724.6,297.3,10.91
03/02,2746.8,313.8,11.42
03/03,3199.5,290.9,9.09
03/04,3226.5,654.7,20.29
03/05,3111.9,979.3,31.47
03/06,3048.5,659.7,21.64
03/07,3027.8,992.8,32.79
03/08,2785.2,554.4,19.91
03/09,2738.4,471.8,17.23
03/10,3017.8,629.0,20.84
03/11,3120.4,970.0,31.09
03/12,3199.8,433.2,13.54
03/13,3256.3,626.2,19.23
03/14,3202.9,916.5,28.61
03/15,2855.6,418.9,14.67
03/16,2716.0,378.4,13.93
03/17,2978.2,305.5,10.26
03/18,3028.9,517.2,17.08
03/19,2999.5,860.8,28.70
03/20,2945.6,1313.9,44.61
03/21,2963.4,1204.1,40.63
03/22,2731.6,418.2,15.31
03/23,2698.9,346.8,12.85
03/24,3048.8,711.1,23.32
03/25,3123.1,736.0,23.57
03/26,3239.8,838.2,25.87
03/27,3336.1,1031.7,30.93
03/28,3165.1,885.0,27.96
03/29,2755.0,551.6,20.02
03/30,2708.7,487.7,18.00
03/31,2988.9,747.3,25.00
04/01,3011.9,1044.0,34.66
04/02,2957.1,1051.8,35.57
04/03,2708.4,667.2,24.63
04/04,2667.2,344.0,12.90
04/05,2671.4,348.8,13.06
04/06,2677.1,510.5,19.07
04/07,3119.0,471.3,15.11
04/08,3189.1,667.8,20.94
04/09,3245.5,631.2,19.45
04/10,3261.7,509.8,15.63
04/11,3332.1,383.5,11.51
04/12,2966.6,516.8,17.42
04/13,2691.8,334.4,12.42
04/14,3138.7,842.2,26.83
04/15,3184.3,814.7,25.58
04/16,3244.8,583.3,17.98
04/17,3364.3,655.3,19.48
04/18,3410.5,792.6,23.24
04/19,3060.6,743.7,24.30
04/20,2926.6,429.4,14.67
04/21,3528.1,811.8,23.01
04/22,3590.3,535.8,14.92
04/23,3523.6,773.5,21.95
04/24,3426.9,439.0,12.81
