01/01,2572,276.7,10.77
01/02,2548.5,293.6,11.52
01/03,2547.6,303.7,11.92
01/04,2973.4,303.2,10.20
01/05,3005.0,306.7,10.21
01/06,3032.7,310.2,10.23
01/07,3050.0,310.2,10.17
01/08,3041.2,310.5,10.21
01/09,2806.8,320.2,11.41
01/10,2725.5,290.6,10.66
01/11,3067.9,309.3,10.08
01/12,3063.3,311.6,10.17
01/13,2999.4,311.4,10.38
01/14,3002.1,313.2,10.43
01/15,2955.5,331.0,11.20
01/16,2712.1,304.6,11.23
01/17,2671.2,303.5,11.36
01/18,2993.8,315.7,10.55
01/19,2999.0,315.9,10.53
01/20,2998.4,314.9,10.50
01/21,3028.5,307.4,10.15
01/22,3009.5,309.7,10.29
01/23,2721.8,320.3,11.77
01/24,2571.7,307.3,11.95
01/25,2979.4,326.9,10.97
01/26,2993.3,321.9,10.75
01/27,2958.8,306.4,10.36
01/28,2955.7,328.6,11.12
01/29,2926.9,320.3,10.94
01/30,2666.2,344.7,12.93
01/31,2545.8,290.6,11.41
02/01,2904.2,293.8,10.12
02/02,2972.6,304.5,10.24
02/03,2962.3,300.6,10.15
02/04,2965.5,313.2,10.56
02/05,2929.1,306.0,10.45
02/06,2667.7,306.6,11.49
02/07,2591.5,276.3,10.66
02/08,2791.5,304.7,10.92
02/09,2611.4,288.0,11.03
02/10,2437.0,288.8,11.85
02/11,2213.3,283.3,12.80
02/12,2191.3,299.2,13.65
02/13,2195.6,302.4,13.77
02/14,2244.0,291.1,12.97
02/15,2346.5,264.5,11.27
02/16,2471.5,300.2,12.15
02/17,2789.1,282.4,10.13
02/18,2853.3,290.7,10.19
02/19,2862.7,288.5,10.08
02/20,2739.2,297.5,10.86
02/21,2525.7,313.9,12.43
02/22,2936.6,298.9,10.18
02/23,2991.9,310.9,10.39
02/24,3003.1,304.9,10.15
02/25,3007.2,302.9,10.07
02/26,2973.9,304.1,10.23
02/27,2645.6,275.8,10.42
02/28,2501.7,267.2,10.68
03/01,2655.6,283.2,10.66
03/02,2941.6,322.1,10.95
03/03,2967.7,307.5,10.36
03/04,2978.5,308.8,10.37
03/05,2986.9,326.8,10.94
03/06,2691.2,280.5,10.42
03/07,2579.4,275.2,10.67
03/08,2977.2,311.0,10.45
03/09,2994.7,304.8,10.18
03/10,2990.6,305.5,10.22
03/11,3004.0,307.7,10.24
03/12,2992.8,327.2,10.93
03/13,2679.7,307.5,11.48
03/14,2564.1,293.3,11.44
03/15,3008.8,307.4,10.22
03/16,3068.4,308.7,10.06
03/17,3071.6,318.3,10.36
03/18,3072.4,321.4,10.46
03/19,3086.5,313.7,10.16
03/20,2774.7,283.9,10.23
03/21,2568.8,318.6,12.40
03/22,2960.7,322.4,10.89
03/23,2972.6,353.7,11.90
03/24,3005.0,305.9,10.18
03/25,2985.4,327.2,10.96
03/26,2992.9,327.9,10.96
03/27,2769.3,320.0,11.56
03/28,2686.4,291.9,10.87
03/29,3146.0,318.1,10.11
03/30,3205.6,326.2,10.18
03/31,3209.4,322.9,10.06
04/01,3200.5,347.0,10.84
04/02,2909.3,316.0,10.86
04/03,2763.0,305.7,11.06
04/04,2521.8,299.4,11.87
04/05,2606.3,287.3,11.02
04/06,2983.0,320.1,10.73
04/07,2988.5,324.7,10.86
04/08,3008.3,329.8,10.96
04/09,2947.6,321.1,10.89
04/10,2701.7,296.6,10.98
04/11,2662.3,284.8,10.70
04/12,3115.2,320.5,10.29
04/13,3162.3,319.5,10.10
04/14,3061.0,323.5,10.57
04/15,3069.2,320.8,10.45
04/16,3066.9,332.0,10.83
04/17,2755.1,288.3,10.46
04/18,2612.8,286.3,10.96
04/19,3076.0,309.1,10.05
04/20,3133.2,321.4,10.26
04/21,3188.4,330.2,10.36
04/22,3276.5,328.5,10.03
04/23,3213.5,333.5,10.38
04/24,2841.3,298.9,10.52
04/25,2654.1,291.1,10.97
04/26,3132.8,319.8,10.21
04/27,3176.7,347.4,10.94
04/28,3151.1,316.9,10.06
04/29,3022.3,329.6,10.91
04/30,2840.0,305.8,10.77
05/01,2729.0,288.4,10.57
05/02,2720.8,297.5,10.93
05/03,3176.6,323.4,10.18
05/04,3304.2,336.0,10.17
05/05,3267.6,357.8,10.95
05/06,3307.6,346.5,10.48
05/07,3418.6,351.8,10.29
05/08,3033.9,330.5,10.89
05/09,2921.7,297.5,10.18
05/10,3508.7,351.9,10.03
05/11,3599.3,361.1,10.03
05/12,3666.0,366.9,10.01
05/13,3670.5,368.2,10.03
05/14,3705.3,334.4,9.02
05/15,3395.7,350.7,10.33
05/16,3243.6,330.6,10.19
05/17,3744.2,143.7,3.84
05/18,3728.8,309.5,8.30
05/19,3757.4,288.0,7.66
05/20,3744.7,257.0,6.86
05/21,3767.9,288.2,7.65
05/22,3387.3,365.3,10.78
05/23,3211.4,224.4,6.99
05/24,3789.3,228.5,6.03
05/25,3729.3,279.7,7.50
05/26,3712.3,238.8,6.43
05/27,3802.2,252.3,6.64
05/28,3840.1,232.6,6.06
05/29,3148.8,499.0,15.85
05/30,2856.6,360.4,12.62
05/31,3363.9,407.7,12.12
06/01,3409.0,356.2,10.45
06/02,3569.0,398.9,11.18
06/03,3658.4,379.9,10.38
06/04,3646.7,372.6,10.22
06/05,3005.4,398.7,13.27
06/06,2728.3,406.3,14.89
06/07,3285.9,460.2,14.01
06/08,3486.1,377.5,10.83
06/09,3533.0,391.4,11.08
06/10,3579.1,375.0,10.48
06/11,3611.7,290.0,8.03
06/12,3319.0,304.6,9.18
06/13,3128.6,272.9,8.72
06/14,3209.7,327.3,10.20
06/15,3721.7,375.0,10.08
06/16,3679.6,371.5,10.10
06/17,3790.0,383.3,10.11
06/18,3808.4,384.8,10.10
06/19,3383.2,468.5,13.85
06/20,3176.7,415.6,13.08
06/21,3598.2,398.6,11.08
06/22,3551.1,358.9,10.11
06/23,3381.3,390.1,11.54
06/24,3381.6,469.4,13.88
06/25,3363.7,558.9,16.62
06/26,3072.8,420.3,13.68
06/27,3025.6,432.0,14.28
06/28,3483.4,500.5,14.37
06/29,3525.6,528.2,14.98
06/30,3614.2,598.7,16.57
07/01,3684.0,603.9,16.39
07/02,3752.5,460.2,12.26
07/03,3376.9,432.6,12.81
07/04,3167.5,452.5,14.29
07/05,3739.6,226.9,6.07
07/06,3745.2,392.4,10.48
07/07,3773.3,379.9,10.07
07/08,3799.0,380.5,10.02
07/09,3816.3,385.8,10.11
07/10,3455.6,381.1,11.03
07/11,3217.0,339.4,10.55
07/12,3821.2,346.4,9.07
07/13,3859.9,287.2,7.44
07/14,3799.9,383.3,10.09
07/15,3779.8,401.3,10.62
07/16,3753.3,423.5,11.28
07/17,3391.6,411.3,12.13
07/18,3166.1,445.7,14.08
07/19,3856.4,333.8,8.66
07/20,3799.6,404.3,10.64
