01/01,2363.8,207.0,8.76
01/02,2781.6,172.0,6.18
01/03,2825.3,187.9,6.65
01/04,2875.7,196.0,6.81
01/05,2826.0,214.1,7.58
01/06,2606.2,177.9,6.83
01/07,2501.1,150.6,6.02
01/08,2880.1,126.7,4.40
01/09,2891.0,185.7,6.42
01/10,2841.0,185.9,6.54
01/11,2858.3,177.8,6.22
01/12,2809.3,174.5,6.21
01/13,2569.4,200.8,7.82
01/14,2470.5,189.1,7.66
01/15,2826.9,170.7,6.04
01/16,2828.5,141.7,5.01
01/17,2834.0,165.6,5.84
01/18,2907.6,181.7,6.25
01/19,2846.7,187.4,6.58
01/20,2588.3,192.1,7.42
01/21,2469.5,192.2,7.78
01/22,2826.4,200.4,7.09
01/23,2838.1,213.9,7.54
01/24,2822.8,176.1,6.24
01/25,2835.2,178.5,6.30
01/26,2753.7,210.1,7.63
01/27,2538.3,185.7,7.31
01/28,2453.5,219.2,8.93
01/29,2839.7,182.4,6.42
01/30,2860.6,177.1,6.19
01/31,2836.4,244.2,8.61
02/01,2852.1,219.6,7.70
02/02,2820.2,197.9,7.02
02/03,2635.3,161.5,6.13
02/04,2627.3,158.3,6.02
02/05,2905.9,147.6,5.08
02/06,2851.0,191.5,6.72
02/07,2888.9,146.3,5.06
02/08,2843.6,167.2,5.88
02/09,2830.3,200.1,7.07
02/10,2601.5,270.4,10.39
02/11,2534.9,207.7,8.19
02/12,2732.4,247.1,9.04
02/13,2630.0,198.3,7.54
02/14,2348.2,238.2,10.14
02/15,2097.9,242.2,11.54
02/16,2075.9,246.2,11.86
02/17,2028.2,270.0,13.31
02/18,2098.7,210.7,10.04
02/19,2207.1,159.5,7.22
02/20,2326.1,187.3,8.05
02/21,2651.0,160.1,6.04
02/22,2728.3,127.8,4.68
02/23,2709.3,207.6,7.66
02/24,2531.7,232.5,9.18
02/25,2469.0,227.3,9.21
02/26,2743.5,217.1,7.91
02/27,2781.8,168.1,6.04
02/28,2639.4,168.3,6.38
03/01,2837.2,183.9,6.48
03/02,2814.3,202.6,7.20
03/03,2605.2,188.4,7.23
03/04,2543.1,173.2,6.81
03/05,2946.0,102.9,3.49
03/06,2798.9,174.0,6.22
03/07,2846.9,127.7,4.49
03/08,2794.4,188.5,6.75
03/09,2761.7,191.0,6.92
03/10,2494.6,173.4,6.95
03/11,2424.5,169.0,6.97
03/12,2793.5,176.3,6.31
03/13,2841.8,191.1,6.72
03/14,2853.6,198.1,6.94
03/15,2894.1,197.4,6.82
03/16,2862.0,199.7,6.98
03/17,2579.4,180.0,6.98
03/18,2480.8,156.9,6.33
03/19,2910.2,166.0,5.70
03/20,2882.3,198.8,6.90
03/21,2769.9,192.3,6.94
03/22,2798.2,193.1,6.90
03/23,2764.2,189.7,6.86
03/24,2514.9,173.3,6.89
03/25,2457.3,171.5,6.98
03/26,2838.3,179.9,6.34
03/27,2860.2,199.7,6.98
03/28,2875.3,199.5,6.94
03/29,2898.3,179.0,6.18
03/30,2889.7,190.0,6.57
03/31,2784.5,194.1,6.97
04/01,2507.2,173.4,6.91
04/02,2904.7,189.4,6.52
04/03,2926.7,188.7,6.45
04/04,2612.1,159.6,6.11
04/05,2498.1,174.4,6.98
04/06,2445.0,170.8,6.99
04/07,2394.0,167.0,6.97
04/08,2389.5,165.5,6.92
04/09,2823.2,197.0,6.98
04/10,2872.8,199.9,6.96
04/11,3019.3,172.6,5.72
04/12,3064.5,159.9,5.22
04/13,3106.8,177.0,5.70
04/14,2772.1,180.9,6.53
04/15,2463.0,161.9,6.57
04/16,2836.5,191.8,6.76
04/17,2839.9,197.8,6.97
04/18,2852.1,187.4,6.57
04/19,2944.2,195.7,6.65
04/20,2938.0,199.0,6.77
04/21,2696.2,186.0,6.90
04/22,2635.6,162.5,6.17
04/23,3148.7,152.9,4.86
04/24,3111.0,170.9,5.49
04/25,2957.0,204.9,6.93
04/26,2994.4,206.4,6.89
04/27,3035.6,208.7,6.87
04/28,2683.5,187.5,6.99
04/29,2607.4,178.7,6.85
04/30,3008.6,207.3,6.89
05/01,2866.5,178.8,6.24
05/02,3235.1,158.0,4.88
05/03,3065.9,213.2,6.95
05/04,3063.8,209.0,6.82
05/05,2747.7,186.2,6.78
05/06,2751.7,191.9,6.97
05/07,3276.2,180.6,5.51
05/08,3172.9,215.3,6.78
05/09,3010.4,210.0,6.98
05/10,3017.4,208.8,6.92
05/11,3073.5,209.0,6.80
05/12,2743.9,190.8,6.95
05/13,2708.8,189.0,6.98
05/14,3291.4,199.2,6.05
05/15,3351.8,172.3,5.14
05/16,3423.5,155.5,4.54
05/17,3469.2,176.4,5.09
05/18,3506.1,177.6,5.07
05/19,3056.7,213.2,6.97
05/20,2960.7,182.8,6.17
05/21,3426.9,183.1,5.34
05/22,3477.6,187.2,5.38
05/23,3489.2,150.6,4.32
05/24,3409.9,236.0,6.92
05/25,3502.3,196.0,5.60
05/26,3041.6,212.0,6.97
05/27,3028.7,182.0,6.01
05/28,3600.7,129.1,3.59
05/29,3632.9,104.9,2.89
05/30,3677.1,123.1,3.35
05/31,3671.3,143.1,3.90
06/01,3354.9,234.7,6.99
06/02,2903.1,196.0,6.75
06/03,2848.0,194.8,6.84
06/04,3447.8,240.0,6.96
06/05,3530.2,226.7,6.42
06/06,3580.2,218.6,6.11
06/07,3570.2,234.8,6.58
06/08,3610.2,217.8,6.03
06/09,3177.5,191.7,6.03
06/10,2979.8,183.9,6.17
06/11,3255.7,256.9,7.89
06/12,3351.7,217.8,6.50
