,"國內生產毛額貢獻度依行業分-年",
,,"單位：百分點"
"統計期","行業","國內生產毛額貢獻度_連鎖實質值(2021年為參考年)"
"109年","G.批發及零售業",0.38
"109年","H.運輸及倉儲業",-0.60
"109年","I.住宿及餐飲業",-0.26
"109年","J.出版影音及資通訊業",0.15
"109年","K.金融及保險業",0.34
"109年","L.不動產及住宅服務業",0.25
"109年","M.專業、科學及技術服務業",0.03
"109年","N.支援服務業",-0.09
"109年","O.公共行政及國防；強制性社會安全",0.10
"109年","P.教育業",-0.02
"109年","Q.醫療保健及社會工作服務業",0.05
"109年","R.藝術、娛樂及休閒服務業",-0.05
"109年","S.其他服務業",-0.12
"109年","合計",3.12
"109年","進口稅",0.07
"109年","加值型營業稅",0.08
"109年","總計(生產面)",3.27
"109年","GDP",3.42
"109年","按三級產業分:農業",-0.02
"109年","按三級產業分:工業",2.98
"109年","按三級產業分:服務業",0.31
"109年","補充項目:ICT產業",3.08
"110年","A.農、林、漁、牧業",-0.07
"110年","B.礦業及土石採取業",0.00
"110年","C.製造業",5.63
"110年","D.電力及燃氣供應業",0.02
"110年","E.用水供應及污染整治業",-0.01
"110年","F.營建工程業",0.14
"110年","G.批發及零售業",0.25
"110年","H.運輸及倉儲業",-0.18
"110年","I.住宿及餐飲業",-0.19
"110年","J.出版影音及資通訊業",0.33
"110年","K.金融及保險業",0.67
"110年","L.不動產及住宅服務業",0.23
"110年","M.專業、科學及技術服務業",0.14
"110年","N.支援服務業",0.00
"110年","O.公共行政及國防；強制性社會安全",0.05
"110年","P.教育業",-0.03
"110年","Q.醫療保健及社會工作服務業",0.04
"110年","R.藝術、娛樂及休閒服務業",-0.14
"110年","S.其他服務業",-0.18
"110年","合計",6.70
"110年","進口稅",0.15
"110年","加值型營業稅",0.23
"110年","總計(生產面)",7.08
"110年","GDP",6.72
"110年","按三級產業分:農業",-0.07
"110年","按三級產業分:工業",5.78
"110年","按三級產業分:服務業",1.37
"110年","補充項目:ICT產業",3.92
"111年","A.農、林、漁、牧業",-0.06
"111年","B.礦業及土石採取業",0.00
"111年","C.製造業",0.80
"111年","D.電力及燃氣供應業",0.04
"111年","E.用水供應及污染整治業",0.04
"111年","F.營建工程業",0.02
"111年","G.批發及零售業",0.24
"111年","H.運輸及倉儲業",0.24
"111年","I.住宿及餐飲業",0.30
"111年","J.出版影音及資通訊業",0.23
"111年","K.金融及保險業",-0.27
"111年","L.不動產及住宅服務業",0.11
"111年","M.專業、科學及技術服務業",0.16
"111年","N.支援服務業",0.16
"111年","O.公共行政及國防；強制性社會安全",0.03
"111年","P.教育業",0.02
"111年","Q.醫療保健及社會工作服務業",0.24
"111年","R.藝術、娛樂及休閒服務業",0.17
"111年","S.其他服務業",0.13
"111年","合計",2.60
"111年","進口稅",0.02
"111年","加值型營業稅",0.11
"111年","總計(生產面)",2.73
"111年","GDP",2.68
"111年","按三級產業分:農業",-0.06
"111年","按三級產業分:工業",0.90
"111年","按三級產業分:服務業",1.89
"111年","補充項目:ICT產業",1.61
"112年","A.農、林、漁、牧業",-0.01
"112年","B.礦業及土石採取業",0.00
"112年","C.製造業",-2.69
"112年","D.電力及燃氣供應業",0.00
"112年","E.用水供應及污染整治業",0.05
"112年","F.營建工程業",-0.02
"112年","G.批發及零售業",-0.12
"112年","H.運輸及倉儲業",1.35
"112年","I.住宿及餐飲業",0.42
"112年","J.出版影音及資通訊業",0.14
"112年","K.金融及保險業",0.28
"112年","L.不動產及住宅服務業",0.20
"112年","M.專業、科學及技術服務業",0.13
"112年","N.支援服務業",0.12
"112年","O.公共行政及國防；強制性社會安全",0.05
"112年","P.教育業",-0.01
"112年","Q.醫療保健及社會工作服務業",0.18
"112年","R.藝術、娛樂及休閒服務業",0.18
"112年","S.其他服務業",0.02
"112年","合計",0.27
"112年","進口稅",-0.11
"112年","加值型營業稅",0.07
"112年","總計(生產面)",0.23
"112年","GDP",1.08
"112年","按三級產業分:農業",-0.01
"112年","按三級產業分:工業",-2.66
"112年","按三級產業分:服務業",2.90
"112年","補充項目:ICT產業",-1.83
"113年","A.農、林、漁、牧業",-0.02
"113年","B.礦業及土石採取業",0.00
"113年","C.製造業",3.62
"113年","D.電力及燃氣供應業",0.00
"113年","E.用水供應及污染整治業",0.03
"113年","F.營建工程業",0.15
"113年","G.批發及零售業",0.40
"113年","H.運輸及倉儲業",0.15
"113年","I.住宿及餐飲業",-0.05
"113年","J.出版影音及資通訊業",0.02
"113年","K.金融及保險業",0.96
"113年","L.不動產及住宅服務業",0.33
"113年","M.專業、科學及技術服務業",0.16
"113年","N.支援服務業",0.08
"113年","O.公共行政及國防；強制性社會安全",0.06
"113年","P.教育業",-0.01
"113年","Q.醫療保健及社會工作服務業",0.15
"113年","R.藝術、娛樂及休閒服務業",0.04
"113年","S.其他服務業",0.06
"113年","合計",6.13
"113年","進口稅",0.17
"113年","加值型營業稅",0.13
"113年","總計(生產面)",6.43
"113年","GDP",5.27
"113年","按三級產業分:農業",-0.02
"113年","按三級產業分:工業",3.80
"113年","按三級產業分:服務業",2.65
"113年","補充項目:ICT產業",3.30
"114年","A.農、林、漁、牧業",-0.03
"114年","B.礦業及土石採取業",0.00
"114年","C.製造業",5.89
"114年","D.電力及燃氣供應業",0.00
"114年","E.用水供應及污染整治業",0.01
"114年","F.營建工程業",0.13
"114年","G.批發及零售業",0.92
"114年","H.運輸及倉儲業",0.07
"114年","I.住宿及餐飲業",0.01
"114年","J.出版影音及資通訊業",0.15
"114年","K.金融及保險業",0.36
"114年","L.不動產及住宅服務業",-0.08
"114年","M.專業、科學及技術服務業",0.06
"114年","N.支援服務業",0.11
"114年","O.公共行政及國防；強制性社會安全",0.07
"114年","P.教育業",0.00
"114年","Q.醫療保健及社會工作服務業",0.11
"114年","R.藝術、娛樂及休閒服務業",0.10
"114年","S.其他服務業",0.03
"114年","合計",7.91
"114年","進口稅",0.27
"114年","加值型營業稅",-0.11
"114年","總計(生產面)",8.07
"114年","GDP",8.68
"114年","按三級產業分:農業",-0.03
"114年","按三級產業分:工業",6.03
"114年","按三級產業分:服務業",2.07
"114年","補充項目:ICT產業",...


"註解："
"(1)2025年為初步統計數。"
"(2)工業包含「B.礦業及土石採取業」至「F.營建工程業」等5個業別。"
"(3)服務業包含「G.批發及零售業」至「S.其他服務業」等13個業別，另併計進口稅及加值型營業稅。"
""
