,"國內生產及要素所得",
,,,,,,,,"單位：新臺幣百萬元"
"統計期","行業","生產總額","中間消費","國內生產毛額","生產及進口稅淨額","固定資本消耗","受僱人員報酬","營業盈餘"
"110年","　CD.成衣及服飾品製造業",169818,129587,40231,175,1730,24771,13555
"110年","　CE.皮革、毛皮及其製品製造業",52566,34099,18467,95,2935,9534,5903
"110年","　CF.木竹製品製造業",54511,40790,13721,101,1128,10133,2359
"110年","　CG.紙漿、紙及紙製品製造業",279622,202880,76742,415,6095,40796,29436
"110年","　CH.印刷及資料儲存媒體複製業",125032,81460,43572,-84,5660,32762,5234
"110年","　CI.石油及煤製品製造業",1101552,951398,150154,93954,29254,27773,-827
"110年","　CJ.化學材料及肥料製造業",2306610,1823899,482711,2305,61775,114367,304264
"110年","　CK.其他化學製品製造業",355868,257337,98531,-284,11299,50102,37414
"110年","　CL.藥品及醫用化學製品製造業",145404,76678,68726,300,11358,29526,27542
"110年","　CM.橡膠製品製造業",128026,80939,47087,-149,5203,33442,8591
"110年","　CN.塑膠製品製造業",546805,388819,157986,1075,13735,90533,52643
"110年","　CO.非金屬礦物製品製造業",419846,294271,125575,7473,20112,74479,23511
"110年","　CP.基本金屬製造業",2311062,1847409,463653,1824,34984,126046,300799
"110年","　CQ.金屬製品製造業",1333923,933532,400391,1351,37556,260570,100914
"110年","　CR.電子零組件製造業",7147215,3534850,3612365,6590,1073743,951892,1580140
"110年","　CS.電腦、電子產品及光學製品製造業",1998936,1288360,710576,1830,182524,306362,219860
"110年","　CT.電力設備及配備製造業",878126,656030,222096,5986,31544,110835,73731
"110年","　CU.機械設備製造業",1143052,841055,301997,1965,29896,182230,87906
"110年","　CV.汽車及其零件製造業",531114,379502,151612,33273,25503,66369,26467
"110年","　CW.其他運輸工具及其零件製造業",529637,394292,135345,7411,15656,70979,41299
"110年","　CX.家具製造業",107800,82670,25130,127,2101,18047,4855
"110年","　CY.其他製造業",576032,396554,179478,-891,16277,117108,46984
"110年","D.電力及燃氣供應業",759947,552555,207392,3314,135224,49416,19438
"110年","E.用水供應及污染整治業",259580,146782,112798,-123,19977,35439,57505
"110年","F.營建工程業",2177169,1548694,628475,2868,25272,395076,205259
"110年","G.批發及零售業",4212102,1196881,3015221,53678,176313,1342457,1442773
"110年","H.運輸及倉儲業",1546569,741258,805311,-7944,134049,305636,373570
"110年","I.住宿及餐飲業",920599,497066,423533,-11924,41892,290831,102734
"110年","J.出版影音及資通訊業",1151298,479732,671566,9762,126301,347834,187669
"110年","K.金融及保險業",2096735,670213,1426522,73621,141810,723084,488007
"110年","L.不動產及住宅服務業",2228279,547704,1680575,65785,265457,106541,1242792
"110年","M.專業、科學及技術服務業",856371,357819,498552,-173,84050,292046,122629
"110年","N.支援服務業",471206,147763,323443,-1430,50589,250531,23753
"110年","O.公共行政及國防；強制性社會安全",1679745,495870,1183875,7116,392991,783768,0
"110年","P.教育業",907696,155792,751904,-16677,68744,694697,5140
"110年","Q.醫療保健及社會工作服務業",1044877,381978,662899,-21437,62727,497488,124121
"110年","R.藝術、娛樂及休閒服務業",194674,76054,118620,134,16080,91437,10969
"110年","S.其他服務業",602930,213898,389032,3516,10780,310997,63739
"110年","合計",45447981,24302060,21145921,382145,3431225,9506352,7826199
"110年","進口稅",224580,0,224580,224580,0,0,0
"110年","加值型營業稅",402790,0,402790,402790,0,0,0
"110年","總計(生產面)",46075351,24302060,21773291,1009515,3431225,9506352,7826199
"110年","補充項目:ICT產業",10009645,5143886,4865759,18750,1377291,1537017,1932701
"111年","A.農、林、漁、牧業",660924,339561,321363,-30181,27267,59240,265037
"111年","B.礦業及土石採取業",24582,12850,11732,757,3658,3904,3413
"111年","C.製造業",25145767,16804627,8341140,251613,1835306,3097517,3156704
"111年","　CA.食品及飼品製造業",979432,800070,179362,1085,16617,97827,63833
"111年","　CB.飲料及菸草製造業",162120,51270,110850,83278,5222,19100,3250
"111年","　CC.紡織業",382679,277576,105103,858,9083,65751,29411
"111年","　CD.成衣及服飾品製造業",193091,147575,45516,270,1895,26443,16908
"111年","　CE.皮革、毛皮及其製品製造業",54804,31510,23294,111,3083,10690,9410
"111年","　CF.木竹製品製造業",55379,41489,13890,97,1219,10478,2096
"111年","　CG.紙漿、紙及紙製品製造業",275300,205461,69839,404,6416,43248,19771
"111年","　CH.印刷及資料儲存媒體複製業",124895,81341,43554,154,5802,33181,4417
"111年","　CI.石油及煤製品製造業",1498368,1407531,90837,89847,31719,29078,-59807
"111年","　CJ.化學材料及肥料製造業",2134156,1767717,366439,2489,65899,117821,180230
"111年","　CK.其他化學製品製造業",366279,262940,103339,697,12094,51224,39324
"111年","　CL.藥品及醫用化學製品製造業",158476,82908,75568,310,12507,31114,31637
"111年","　CM.橡膠製品製造業",129223,79528,49695,1040,5302,33148,10205
"111年","　CN.塑膠製品製造業",547275,381816,165459,1029,14556,92280,57594
"111年","　CO.非金屬礦物製品製造業",434700,309757,124943,6018,20590,75417,22918
"111年","　CP.基本金屬製造業",2118508,1748514,369994,2529,36342,131403,199720
"111年","　CQ.金屬製品製造業",1331525,922348,409177,1127,40243,264609,103198
"111年","　CR.電子零組件製造業",7910024,3849992,4060032,6832,1224899,1038990,1789311
"111年","　CS.電腦、電子產品及光學製品製造業",2366593,1530655,835938,1970,192797,331177,309994
"111年","　CT.電力設備及配備製造業",908500,668667,239833,5781,34026,116809,83217
"111年","　CU.機械設備製造業",1166707,846529,320178,1842,31777,192740,93819
"111年","　CV.汽車及其零件製造業",539050,380150,158900,35311,26490,68221,28878
"111年","　CW.其他運輸工具及其零件製造業",591159,439598,151561,7690,16654,75990,51227
"111年","　CX.家具製造業",103960,78471,25489,145,2267,18345,4732
"111年","　CY.其他製造業",613564,411214,202350,699,17807,122433,61411
"111年","D.電力及燃氣供應業",857101,1024440,-167339,4493,150822,51891,-374545
"111年","E.用水供應及污染整治業",280671,161877,118794,-269,21903,37285,59875
"111年","F.營建工程業",2432160,1731389,700771,3059,28111,437270,232331
"111年","G.批發及零售業",4601694,1324648,3277046,61936,188729,1422505,1603876
"111年","H.運輸及倉儲業",1696463,828640,867823,4117,146471,330614,386621
"111年","I.住宿及餐飲業",1119653,595322,524331,4062,45082,305681,169506
"111年","J.出版影音及資通訊業",1241056,506538,734518,11381,130752,374791,217594
"111年","K.金融及保險業",2069894,665852,1404042,94082,153770,744895,411295
"111年","L.不動產及住宅服務業",2320011,584481,1735530,70137,296410,109599,1259384
"111年","M.專業、科學及技術服務業",968613,424306,544307,2380,89766,311065,141096
"111年","N.支援服務業",520831,160904,359927,-1579,54870,267665,38971
"111年","O.公共行政及國防；強制性社會安全",1828923,594110,1234813,7293,420828,806692,0
"111年","P.教育業",938301,163909,774392,-22854,73157,717387,6702
"111年","Q.醫療保健及社會工作服務業",1147580,423858,723722,-17528,66725,531721,142804
"111年","R.藝術、娛樂及休閒服務業",252587,94131,158456,2123,17286,108668,30379
"111年","S.其他服務業",672933,248430,424503,6861,11374,329424,76844
"111年","合計",48779744,26689873,22089871,451883,3762287,10047814,7827887
"111年","進口稅",238728,0,238728,238728,0,0,0
"111年","加值型營業稅",440355,0,440355,440355,0,0,0
"111年","總計(生產面)",49458827,26689873,22768954,1130966,3762287,10047814,7827887
"111年","補充項目:ICT產業",11222194,5726557,5495637,19571,1543127,1675634,2257305
"112年","A.農、林、漁、牧業",685813,334426,351387,-18288,28473,62449,278753
"112年","B.礦業及土石採取業",24208,12677,11531,774,4078,4154,2525
"112年","C.製造業",23220257,15168832,8051425,256919,1975138,3050450,2768918
"112年","　CA.食品及飼品製造業",1026776,820688,206088,1117,17855,103706,83410
"112年","　CB.飲料及菸草製造業",165942,52666,113276,84858,5475,19291,3652
"112年","　CC.紡織業",308138,212315,95823,752,9104,62845,23122
"112年","　CD.成衣及服飾品製造業",170493,129239,41254,341,2002,25486,13425
"112年","　CE.皮革、毛皮及其製品製造業",47329,27676,19653,91,3105,9671,6786
"112年","　CF.木竹製品製造業",51052,38165,12887,101,1310,10562,914
"112年","　CG.紙漿、紙及紙製品製造業",252247,187556,64691,412,6549,42227,15503
"112年","　CH.印刷及資料儲存媒體複製業",123126,77215,45911,162,5964,33679,6106
"112年","　CI.石油及煤製品製造業",1377498,1209504,167994,90735,35172,30244,11843
"112年","　CJ.化學材料及肥料製造業",1718215,1425047,293168,2190,70029,115005,105944
"112年","　CK.其他化學製品製造業",341866,240167,101699,730,12932,51291,36746
"112年","　CL.藥品及醫用化學製品製造業",173113,89879,83234,299,13532,32947,36456
"112年","　CM.橡膠製品製造業",110650,62270,48380,941,5273,31776,10390
"112年","　CN.塑膠製品製造業",503037,320882,182155,1160,15149,91994,73852
"112年","　CO.非金屬礦物製品製造業",443454,311784,131670,7375,21405,75055,27835
"112年","　CP.基本金屬製造業",1795055,1486254,308801,2492,37209,123493,145607
"112年","　CQ.金屬製品製造業",1178691,789798,388893,1144,42251,267202,78296
"112年","　CR.電子零組件製造業",7227120,3548664,3678456,6962,1334307,976779,1360408
"112年","　CS.電腦、電子產品及光學製品製造業",2503645,1524687,978958,2586,201654,344523,430195
"112年","　CT.電力設備及配備製造業",862629,620938,241691,5843,36059,119332,80457
"112年","　CU.機械設備製造業",1052595,744669,307926,1890,32965,194455,78616
"112年","　CV.汽車及其零件製造業",561122,392967,168155,33651,27294,70097,37113
"112年","　CW.其他運輸工具及其零件製造業",506809,372376,134433,10202,17160,73247,33824
"112年","　CX.家具製造業",95305,69380,25925,154,2345,18745,4681
"112年","　CY.其他製造業",624350,414046,210304,731,19038,126798,63737
"112年","D.電力及燃氣供應業",940784,920389,20395,-42303,167562,52055,-156919
"112年","E.用水供應及污染整治業",288623,169207,119416,-324,24004,39603,56133
"112年","F.營建工程業",2397005,1637208,759797,3382,30855,476318,249242
"112年","G.批發及零售業",4607819,1314440,3293379,54446,199910,1478097,1560926
"112年","H.運輸及倉儲業",1502798,775014,727784,3742,158818,339060,226164
"112年","I.住宿及餐飲業",1360807,695005,665802,4540,48526,338274,274462
"112年","J.出版影音及資通訊業",1311081,521718,789363,10791,136355,388896,253321
"112年","K.金融及保險業",2127383,686975,1440408,117731,166643,783028,373006
"112年","L.不動產及住宅服務業",2404835,580426,1824409,71750,320206,111747,1320706
"112年","M.專業、科學及技術服務業",1071415,479337,592078,2553,89259,325679,174587
"112年","N.支援服務業",573128,172695,400433,1153,59948,282776,56556
"112年","O.公共行政及國防；強制性社會安全",1881133,609302,1271831,7500,445123,819208,0
"112年","P.教育業",957873,171295,786578,-21497,76000,729091,2984
"112年","Q.醫療保健及社會工作服務業",1189181,435155,754026,-25902,70975,552971,155982
"112年","R.藝術、娛樂及休閒服務業",313336,107685,205651,2324,18569,127023,57735
"112年","S.其他服務業",695919,249614,446305,7011,11854,347453,79987
"112年","合計",47553398,25041400,22511998,436302,4032296,10308332,7735068
"112年","進口稅",263011,0,263011,263011,0,0,0
"112年","加值型營業稅",468885,0,468885,468885,0,0,0
"112年","總計(生產面)",48285294,25041400,23243894,1168198,4032296,10308332,7735068
"112年","補充項目:ICT產業",10734122,5429366,5304756,19657,1666748,1639794,1978557
"113年","A.農、林、漁、牧業",709830,335881,373949,-20697,29548,67183,297915
"113年","B.礦業及土石採取業",25682,13347,12335,735,4487,4557,2556
"113年","C.製造業",25586752,16434274,9152478,247677,2135427,3297516,3471858
"113年","　CA.食品及飼品製造業",1047532,831256,216276,1112,19286,110519,85359
"113年","　CB.飲料及菸草製造業",168254,52945,115309,83116,5724,19760,6709
"113年","　CC.紡織業",332976,228635,104341,836,9097,64102,30306
"113年","　CD.成衣及服飾品製造業",185728,143171,42557,296,2124,25611,14526
"113年","　CE.皮革、毛皮及其製品製造業",50613,29238,21375,89,3281,10319,7686
"113年","　CF.木竹製品製造業",52748,39434,13314,99,1351,11198,666
"113年","　CG.紙漿、紙及紙製品製造業",253001,187536,65465,401,6570,42088,16406
"113年","　CH.印刷及資料儲存媒體複製業",130225,82313,47912,167,6091,33999,7655
"113年","　CI.石油及煤製品製造業",1334204,1205418,128786,85701,39018,29125,-25058
"113年","　CJ.化學材料及肥料製造業",1747677,1448946,298731,2163,73843,113360,109365
"113年","　CK.其他化學製品製造業",368388,261340,107048,732,13815,54492,38009
"113年","　CL.藥品及醫用化學製品製造業",164171,84939,79232,309,14902,34383,29638
"113年","　CM.橡膠製品製造業",112150,64343,47807,1013,5270,31328,10196
"113年","　CN.塑膠製品製造業",529517,338576,190941,1146,15831,96152,77812
"113年","　CO.非金屬礦物製品製造業",465142,326365,138777,7332,22027,78402,31016
"113年","　CP.基本金屬製造業",1831135,1512317,318818,2476,38163,125704,152475
"113年","　CQ.金屬製品製造業",1247017,847009,400008,1070,44050,278612,76276
"113年","　CR.電子零組件製造業",8582483,4167966,4414517,6829,1440931,1137850,1828907
"113年","　CS.電腦、電子產品及光學製品製造業",3259777,1978141,1281636,2855,229763,373842,675176
"113年","　CT.電力設備及配備製造業",899740,641463,258277,5916,39483,126914,85964
"113年","　CU.機械設備製造業",1084686,762093,322593,1994,35034,203186,82379
"113年","　CV.汽車及其零件製造業",538556,367276,171280,32093,28525,72354,38308
"113年","　CW.其他運輸工具及其零件製造業",471903,345202,126701,9032,17959,72324,27386
"113年","　CX.家具製造業",104831,77376,27455,152,2373,19935,4995
"113年","　CY.其他製造業",624298,410976,213322,748,20916,131957,59701
"113年","D.電力及燃氣供應業",1070165,808888,261277,6802,181571,54211,18693
"113年","E.用水供應及污染整治業",302866,178715,124151,-656,25809,41474,57524
"113年","F.營建工程業",2546253,1731177,815076,3897,33104,527999,250076
"113年","G.批發及零售業",4931647,1473641,3458006,49447,211950,1579173,1617436
"113年","H.運輸及倉儲業",1690936,847975,842961,4913,167356,366362,304330
"113年","I.住宿及餐飲業",1403621,717785,685836,4437,51905,369037,260457
"113年","J.出版影音及資通訊業",1366654,553007,813647,10229,145328,401971,256119
"113年","K.金融及保險業",2448069,788750,1659319,130443,181067,880318,467491
"113年","L.不動產及住宅服務業",2583396,621287,1962109,74389,339513,124676,1423531
"113年","M.專業、科學及技術服務業",1174338,527423,646915,2514,96358,349289,198754
"113年","N.支援服務業",620337,193045,427292,2406,63754,296553,64579
"113年","O.公共行政及國防；強制性社會安全",1953584,627164,1326420,7984,459958,858478,0
"113年","P.教育業",983734,174601,809133,-21815,78807,750240,1901
"113年","Q.醫療保健及社會工作服務業",1277865,468412,809453,-7012,75619,583653,157193
"113年","R.藝術、娛樂及休閒服務業",338782,118803,219979,3598,19622,139253,57506
"113年","S.其他服務業",728409,254615,473794,8458,12187,365584,87565
"113年","合計",51742920,26868790,24874130,507749,4313370,11057527,8995484
"113年","進口稅",275172,0,275172,275172,0,0,0
"113年","加值型營業稅",507885,0,507885,507885,0,0,0
"113年","總計(生產面)",52525977,26868790,25657187,1290806,4313370,11057527,8995484
"113年","補充項目:ICT產業",12887596,6521802,6365794,19327,1810298,1842169,2694000


"註解："
"(1)國內生產毛額中之「總計(生產面)」不等於GDP。"
"(2)2023年為修正數，2024年為初步統計數。"
"(3)工業包含「B.礦業及土石採取業」至「F.營建工程業」等5個業別。"
"(4)服務業包含「G.批發及零售業」至「S.其他服務業」等13個業別，另併計進口稅及加值型營業稅。"
""
