,"國內生產及要素所得",
,,,,,,,,"單位：新臺幣百萬元"
"統計期","行業","生產總額","中間消費","國內生產毛額","生產及進口稅淨額","固定資本消耗","受僱人員報酬","營業盈餘"
"104年","F.營建工程業",1497225,1076899,420326,5659,21039,306462,87166
"104年","G.批發及零售業",3718005,1053260,2664745,56411,142867,1107064,1358403
"104年","H.運輸及倉儲業",1229791,713198,516593,6680,106608,232786,170519
"104年","I.住宿及餐飲業",886095,469523,416572,5392,30793,253367,127020
"104年","J.出版影音及資通訊業",986487,460360,526127,11155,106275,228259,180438
"104年","K.金融及保險業",1600527,501182,1099345,52820,98922,557861,389742
"104年","L.不動產及住宅服務業",1765787,397831,1367956,54754,183931,69556,1059715
"104年","M.專業、科學及技術服務業",637845,268290,369555,4103,56518,214564,94370
"104年","N.支援服務業",400095,125723,274372,3505,35734,197648,37485
"104年","O.公共行政及國防；強制性社會安全",1407409,367928,1039481,5387,333976,700118,0
"104年","P.教育業",903185,163635,739550,-11099,58034,653401,39214
"104年","Q.醫療保健及社會工作服務業",759300,278507,480793,-11328,46406,359412,86303
"104年","R.藝術、娛樂及休閒服務業",223256,82797,140459,5211,11779,94116,29353
"104年","S.其他服務業",643678,217456,426222,11335,10250,310658,93979
"104年","合計",37590271,21051988,16538283,418330,2601636,7516962,6001355
"104年","進口稅",193518,0,193518,193518,0,0,0
"104年","加值型營業稅",290819,0,290819,290819,0,0,0
"104年","總計(生產面)",38074608,21051988,17022620,902667,2601636,7516962,6001355
"104年","補充項目:ICT產業",8230242,5218014,3012228,19071,960324,937088,1095745
"105年","A.農、林、漁、牧業",632735,305233,327502,-20416,20985,63188,263745
"105年","B.礦業及土石採取業",18258,7440,10818,352,3391,3721,3354
"105年","C.製造業",18810572,13154866,5655706,246120,1262019,2167236,1980331
"105年","　CA.食品及飼品製造業",721724,584714,137010,4015,11749,71047,50199
"105年","　CB.飲料及菸草製造業",142188,49890,92298,60050,4174,18790,9284
"105年","　CC.紡織業",393418,284763,108655,966,9589,66407,31693
"105年","　CD.成衣及服飾品製造業",152769,114541,38228,301,1428,25563,10936
"105年","　CE.皮革、毛皮及其製品製造業",53987,35866,18121,127,2158,10952,4884
"105年","　CF.木竹製品製造業",48826,36512,12314,172,1252,9310,1580
"105年","　CG.紙漿、紙及紙製品製造業",223774,170736,53038,545,5408,32219,14866
"105年","　CH.印刷及資料儲存媒體複製業",126544,81522,45022,262,4811,31825,8124
"105年","　CI.石油及煤製品製造業",786905,590497,196408,99521,28438,26441,42008
"105年","　CJ.化學材料及肥料製造業",1921973,1545994,375979,2739,57401,92728,223111
"105年","　CK.其他化學製品製造業",307390,218617,88773,825,9047,42417,36484
"105年","　CL.藥品及醫用化學製品製造業",108124,62108,46016,300,8045,21523,16148
"105年","　CM.橡膠製品製造業",116542,69109,47433,1663,4249,27279,14242
"105年","　CN.塑膠製品製造業",474843,336295,138548,1631,12265,77726,46926
"105年","　CO.非金屬礦物製品製造業",395422,275107,120315,6738,21508,65097,26972
"105年","　CP.基本金屬製造業",1499537,1221214,278323,3864,36345,93442,144672
"105年","　CQ.金屬製品製造業",1027828,686606,341222,4779,33349,211416,91678
"105年","　CR.電子零組件製造業",4618172,2564871,2053301,5634,779685,566548,701434
"105年","　CS.電腦、電子產品及光學製品製造業",2701311,2060599,640712,4190,134302,226602,275618
"105年","　CT.電力設備及配備製造業",634367,468634,165733,5451,24502,86846,48934
"105年","　CU.機械設備製造業",992615,728825,263790,3840,23563,150721,85666
"105年","　CV.汽車及其零件製造業",507309,355637,151672,29577,22462,62545,37088
"105年","　CW.其他運輸工具及其零件製造業",379505,283552,95953,8002,13126,54230,20595
"105年","　CX.家具製造業",86167,64941,21226,213,1692,14218,5103
"105年","　CY.其他製造業",389332,263716,125616,715,11471,81344,32086
"105年","D.電力及燃氣供應業",690814,394386,296428,6927,119660,45530,124311
"105年","E.用水供應及污染整治業",207324,109317,98007,446,16764,27964,52833
"105年","F.營建工程業",1472623,1061469,411154,6471,21558,306231,76894
"105年","G.批發及零售業",3716157,1038150,2678007,59082,146453,1120555,1351917
"105年","H.運輸及倉儲業",1208398,697157,511241,6894,111231,242771,150345
"105年","I.住宿及餐飲業",942504,506839,435665,6095,33005,270815,125750
"105年","J.出版影音及資通訊業",1026079,477005,549074,10995,111738,243308,183033
"105年","K.金融及保險業",1629880,505053,1124827,56537,105269,586238,376783
"105年","L.不動產及住宅服務業",1791380,392117,1399263,60613,188885,67818,1081947
"105年","M.專業、科學及技術服務業",656829,274789,382040,4599,61193,216212,100036
"105年","N.支援服務業",428979,134920,294059,3857,39363,208177,42662
"105年","O.公共行政及國防；強制性社會安全",1474639,424191,1050448,6312,330411,713725,0
"105年","P.教育業",898998,159643,739355,-10526,57961,665058,26862
"105年","Q.醫療保健及社會工作服務業",796264,284241,512023,-10732,48900,377932,95923
"105年","R.藝術、娛樂及休閒服務業",225580,84490,141090,5651,11872,98436,25131
"105年","S.其他服務業",653619,223269,430350,11802,10298,315943,92307
"105年","合計",37281632,20234575,17047057,451079,2700956,7740858,6154164
"105年","進口稅",199880,0,199880,199880,0,0,0
"105年","加值型營業稅",308331,0,308331,308331,0,0,0
"105年","總計(生產面)",37789843,20234575,17555268,959290,2700956,7740858,6154164
"105年","補充項目:ICT產業",8078700,4936292,3142408,19914,1020325,979408,1122761
"106年","A.農、林、漁、牧業",640051,310329,329722,-13764,21625,63747,258114
"106年","B.礦業及土石採取業",18040,7474,10566,603,3348,3686,2929
"106年","C.製造業",19709737,13758043,5951694,251683,1293493,2285745,2120773
"106年","　CA.食品及飼品製造業",740078,597032,143046,4009,12170,75835,51032
"106年","　CB.飲料及菸草製造業",158405,55242,103163,70831,4246,18257,9829
"106年","　CC.紡織業",390096,285631,104465,956,9248,69986,24275
"106年","　CD.成衣及服飾品製造業",152340,117751,34589,225,1429,25339,7596
"106年","　CE.皮革、毛皮及其製品製造業",53616,36149,17467,128,2262,11724,3353
"106年","　CF.木竹製品製造業",49833,37406,12427,148,1220,9389,1670
"106年","　CG.紙漿、紙及紙製品製造業",237349,180966,56383,509,5428,32647,17799
"106年","　CH.印刷及資料儲存媒體複製業",122852,78588,44264,246,4866,32888,6264
"106年","　CI.石油及煤製品製造業",915639,714713,200926,94832,27943,26039,52112
"106年","　CJ.化學材料及肥料製造業",2156314,1704899,451415,2745,56949,95535,296186
"106年","　CK.其他化學製品製造業",321784,231157,90627,848,9218,44703,35858
"106年","　CL.藥品及醫用化學製品製造業",107004,64612,42392,294,8529,23384,10185
"106年","　CM.橡膠製品製造業",120066,74604,45462,1601,4442,27765,11654
"106年","　CN.塑膠製品製造業",481164,342629,138535,1679,12025,80017,44814
"106年","　CO.非金屬礦物製品製造業",376797,263770,113027,6998,20634,65223,20172
"106年","　CP.基本金屬製造業",1740096,1434019,306077,4093,34833,98728,168423
"106年","　CQ.金屬製品製造業",1090817,727940,362877,4881,32692,221140,104164
"106年","　CR.電子零組件製造業",5040313,2790880,2249433,5707,806837,613828,823061
"106年","　CS.電腦、電子產品及光學製品製造業",2308163,1714213,593950,4170,139261,242851,207668
"106年","　CT.電力設備及配備製造業",665791,500380,165411,5052,24939,90271,45149
"106年","　CU.機械設備製造業",1070430,785088,285342,4031,24494,159551,97266
"106年","　CV.汽車及其零件製造業",507413,359966,147447,28787,22845,62480,33335
"106年","　CW.其他運輸工具及其零件製造業",384530,291674,92856,7958,13432,56652,14814
"106年","　CX.家具製造業",86276,65557,20719,199,1740,14184,4596
"106年","　CY.其他製造業",432571,303177,129394,756,11811,87329,29498
"106年","D.電力及燃氣供應業",712622,472034,240588,6585,116032,45807,72164
"106年","E.用水供應及污染整治業",223035,118321,104714,378,16984,29770,57582
"106年","F.營建工程業",1501633,1087186,414447,6523,21748,309209,76967
"106年","G.批發及零售業",3782253,1059919,2722334,59469,148489,1183827,1330549
"106年","H.運輸及倉儲業",1280803,738501,542302,7125,114784,254736,165657
"106年","I.住宿及餐飲業",973375,522021,451354,5970,34242,288236,122906
"106年","J.出版影音及資通訊業",1028094,473386,554708,10844,113636,259649,170579
"106年","K.金融及保險業",1690476,518720,1171756,57148,109747,599565,405296
"106年","L.不動產及住宅服務業",1851946,410759,1441187,62702,199270,71840,1107375
"106年","M.專業、科學及技術服務業",689458,285013,404445,3885,66406,227391,106763
"106年","N.支援服務業",450555,145037,305518,3930,42208,217781,41599
"106年","O.公共行政及國防；強制性社會安全",1444005,391023,1052982,6783,332862,713337,0
"106年","P.教育業",894580,159052,735528,-12733,59444,665251,23566
"106年","Q.醫療保健及社會工作服務業",839257,305126,534131,-7145,50951,397411,92914
"106年","R.藝術、娛樂及休閒服務業",231264,85921,145343,5458,12282,101206,26397
"106年","S.其他服務業",647403,217265,430138,11848,10217,322712,85361
"106年","合計",38608587,21065130,17543457,467292,2767768,8040906,6267491
"106年","進口稅",191352,0,191352,191352,0,0,0
"106年","加值型營業稅",318310,0,318310,318310,0,0,0
"106年","總計(生產面)",39118249,21065130,18053119,976954,2767768,8040906,6267491
"106年","補充項目:ICT產業",8107626,4813985,3293641,20905,1054485,1057006,1161245
"107年","A.農、林、漁、牧業",622429,308114,314315,-14186,22725,63770,242006
"107年","B.礦業及土石採取業",18971,7804,11167,488,3288,3652,3739
"107年","C.製造業",20463140,14374427,6088713,273416,1355495,2443775,2016027
"107年","　CA.食品及飼品製造業",775703,622393,153310,4316,12916,83143,52935
"107年","　CB.飲料及菸草製造業",166197,54426,111771,81993,4451,18922,6405
"107年","　CC.紡織業",397294,295077,102217,1339,9217,70201,21460
"107年","　CD.成衣及服飾品製造業",157783,122727,35056,186,1443,28149,5278
"107年","　CE.皮革、毛皮及其製品製造業",49824,33770,16054,133,2415,11645,1861
"107年","　CF.木竹製品製造業",51466,39181,12285,154,1186,9675,1270
"107年","　CG.紙漿、紙及紙製品製造業",250847,189719,61128,544,5658,35453,19473
"107年","　CH.印刷及資料儲存媒體複製業",123311,80199,43112,256,5015,33399,4442
"107年","　CI.石油及煤製品製造業",1186531,998039,188492,100703,28333,27760,31696
"107年","　CJ.化學材料及肥料製造業",2390753,1915296,475457,3008,58198,104469,309782
"107年","　CK.其他化學製品製造業",335990,243574,92416,918,9720,47143,34635
"107年","　CL.藥品及醫用化學製品製造業",112624,67457,45167,328,9027,24518,11294
"107年","　CM.橡膠製品製造業",118503,74146,44357,1643,4798,29313,8603
"107年","　CN.塑膠製品製造業",495630,354029,141601,1810,12225,82527,45039
"107年","　CO.非金屬礦物製品製造業",387963,279722,108241,7701,20613,67323,12604
"107年","　CP.基本金屬製造業",1908820,1582886,325934,4541,34819,102442,184132
"107年","　CQ.金屬製品製造業",1149548,769722,379826,5193,33223,232032,109378
"107年","　CR.電子零組件製造業",5159906,2858598,2301308,5952,853151,674284,767921
"107年","　CS.電腦、電子產品及光學製品製造業",1899831,1340155,559676,4348,145239,256377,153712
"107年","　CT.電力設備及配備製造業",720390,546281,174109,5521,25864,98690,44034
"107年","　CU.機械設備製造業",1141605,833590,308015,4457,25881,172215,105462
"107年","　CV.汽車及其零件製造業",489074,347663,141411,29435,23833,63797,24346
"107年","　CW.其他運輸工具及其零件製造業",405845,303742,102103,7872,13750,60785,19696
"107年","　CX.家具製造業",89788,68090,21698,221,1808,14681,4988
"107年","　CY.其他製造業",497914,353945,143969,844,12712,94832,35581
"107年","D.電力及燃氣供應業",740845,537463,203382,6655,118302,47696,30729
"107年","E.用水供應及污染整治業",234013,128553,105460,426,17778,32013,55243
"107年","F.營建工程業",1595807,1160400,435407,7321,22472,323331,82283
"107年","G.批發及零售業",3822312,1078877,2743435,60863,154108,1251021,1277443
