國內各業生產毛額(2008SNA) (連鎖實質值，以2021年為參考年，1981年～),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
單位：新臺幣百萬元,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
更新日期：2026/2/13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1981,1981Q1,1981Q2,1981Q3,1981Q4,1982,1982Q1,1982Q2,1982Q3,1982Q4,1983,1983Q1,1983Q2,1983Q3,1983Q4,1984,1984Q1,1984Q2,1984Q3,1984Q4,1985,1985Q1,1985Q2,1985Q3,1985Q4,1986,1986Q1,1986Q2,1986Q3,1986Q4,1987,1987Q1,1987Q2,1987Q3,1987Q4,1988,1988Q1,1988Q2,1988Q3,1988Q4,1989,1989Q1,1989Q2,1989Q3,1989Q4,1990,1990Q1,1990Q2,1990Q3,1990Q4,1991,1991Q1,1991Q2,1991Q3,1991Q4,1992,1992Q1,1992Q2,1992Q3,1992Q4,1993,1993Q1,1993Q2,1993Q3,1993Q4,1994,1994Q1,1994Q2,1994Q3,1994Q4,1995,1995Q1,1995Q2,1995Q3,1995Q4,1996,1996Q1,1996Q2,1996Q3,1996Q4,1997,1997Q1,1997Q2,1997Q3,1997Q4,1998,1998Q1,1998Q2,1998Q3,1998Q4,1999,1999Q1,1999Q2,1999Q3,1999Q4,2000,2000Q1,2000Q2,2000Q3,2000Q4,2001,2001Q1,2001Q2,2001Q3,2001Q4,2002,2002Q1,2002Q2,2002Q3,2002Q4,2003,2003Q1,2003Q2,2003Q3,2003Q4,2004,2004Q1,2004Q2,2004Q3,2004Q4,2005,2005Q1,2005Q2,2005Q3,2005Q4,2006,2006Q1,2006Q2,2006Q3,2006Q4,2007,2007Q1,2007Q2,2007Q3,2007Q4,2008,2008Q1,2008Q2,2008Q3,2008Q4,2009,2009Q1,2009Q2,2009Q3,2009Q4,2010,2010Q1,2010Q2,2010Q3,2010Q4,2011,2011Q1,2011Q2,2011Q3,2011Q4,2012,2012Q1,2012Q2,2012Q3,2012Q4,2013,2013Q1,2013Q2,2013Q3,2013Q4,2014,2014Q1,2014Q2,2014Q3,2014Q4,2015,2015Q1,2015Q2,2015Q3,2015Q4,2016,2016Q1,2016Q2,2016Q3,2016Q4,2017,2017Q1,2017Q2,2017Q3,2017Q4,2018,2018Q1,2018Q2,2018Q3,2018Q4,2019,2019Q1,2019Q2,2019Q3,2019Q4,2020,2020Q1,2020Q2,2020Q3,2020Q4,2021,2021Q1,2021Q2,2021Q3,2021Q4,2022,2022Q1,2022Q2,2022Q3,2022Q4,2023,2023Q1,2023Q2,2023Q3,2023Q4,2024,2024Q1,2024Q2,2024Q3,2024Q4,2025,2025Q1,2025Q2,2025Q3,2025Q4
A 農、林、漁、牧業　,"275,803 ","60,248 ","75,860 ","57,687 ","82,008 ","283,959 ","63,006 ","78,957 ","57,235 ","84,761 ","292,908 ","62,681 ","81,293 ","60,065 ","88,869 ","301,066 ","64,629 ","82,975 ","62,509 ","90,953 ","304,990 ","66,015 ","82,963 ","62,680 ","93,332 ","310,631 ","70,881 ","85,549 ","63,304 ","90,897 ","332,729 ","74,546 ","91,303 ","70,956 ","95,924 ","339,054 ","76,411 ","92,535 ","74,122 ","95,986 ","336,524 ","79,262 ","92,328 ","71,801 ","93,133 ","339,659 ","78,726 ","88,564 ","75,821 ","96,548 ","345,872 ","75,949 ","92,819 ","76,069 ","101,035 ","337,513 ","76,625 ","90,247 ","73,071 ","97,570 ","353,352 ","81,750 ","92,488 ","74,707 ","104,407 ","336,665 ","78,610 ","89,549 ","71,652 ","96,854 ","349,611 ","80,591 ","91,891 ","78,164 ","98,965 ","344,853 ","81,996 ","91,785 ","72,712 ","98,360 ","338,973 ","80,137 ","88,935 ","70,800 ","99,101 ","313,355 ","69,825 ","82,382 ","67,280 ","93,868 ","324,062 ","74,358 ","88,296 ","69,675 ","91,733 ","331,000 ","72,773 ","90,091 ","73,723 ","94,413 ","317,283 ","75,411 ","87,094 ","66,351 ","88,427 ","340,699 ","77,638 ","92,534 ","72,161 ","98,366 ","335,683 ","76,899 ","89,054 ","70,787 ","98,943 ","317,763 ","72,786 ","81,259 ","66,964 ","96,754 ","304,369 ","73,654 ","77,208 ","65,905 ","87,602 ","339,943 ","77,033 ","86,412 ","75,741 ","100,757 ","339,374 ","77,317 ","93,527 ","77,786 ","90,744 ","339,838 ","76,384 ","92,109 ","75,396 ","95,949 ","330,338 ","73,036 ","88,855 ","72,193 ","96,254 ","337,375 ","75,459 ","87,841 ","80,126 ","93,949 ","352,847 ","79,711 ","91,942 ","81,616 ","99,578 ","341,535 ","75,939 ","89,568 ","82,298 ","93,730 ","346,958 ","73,649 ","95,262 ","79,348 ","98,699 ","354,051 ","77,628 ","95,543 ","76,788 ","104,092 ","326,712 ","75,226 ","88,734 ","72,365 ","90,387 ","295,177 ","68,018 ","77,989 ","63,311 ","85,859 ","320,422 ","71,768 ","89,060 ","71,809 ","87,785 ","335,677 ","75,411 ","97,584 ","75,802 ","86,880 ","333,453 ","74,111 ","94,147 ","76,152 ","89,043 ","329,380 ","69,228 ","98,889 ","78,581 ","82,682 ","315,742 ","67,547 ","94,703 ","75,079 ","78,413 ","302,351 ","66,737 ","91,074 ","71,132 ","73,408 ","299,756 ","64,148 ","94,494 ","71,368 ","69,746 ","296,770 ","66,620 ","89,094 ","67,968 ","73,088 ","291,619 ","64,089 ","89,983 ","67,050 ","70,497 "
B 礦業及土石採取業　,"41,567 ","10,278 ","11,529 ","9,797 ","9,963 ","39,730 ","9,554 ","10,854 ","9,366 ","9,956 ","40,895 ","10,158 ","11,077 ","9,518 ","10,142 ","39,786 ","10,240 ","11,275 ","8,675 ","9,596 ","39,986 ","10,221 ","10,871 ","8,893 ","10,001 ","42,854 ","11,982 ","11,830 ","9,192 ","9,850 ","43,378 ","11,238 ","12,203 ","9,451 ","10,486 ","44,800 ","11,583 ","12,394 ","9,803 ","11,020 ","43,729 ","11,362 ","12,251 ","9,145 ","10,971 ","39,880 ","10,344 ","10,829 ","8,444 ","10,263 ","39,774 ","10,176 ","10,703 ","8,482 ","10,413 ","39,311 ","10,109 ","10,711 ","8,229 ","10,262 ","44,199 ","10,808 ","11,944 ","9,723 ","11,724 ","43,777 ","10,610 ","10,067 ","10,544 ","12,556 ","42,826 ","10,501 ","9,821 ","11,011 ","11,493 ","37,804 ","10,116 ","9,437 ","8,624 ","9,627 ","33,360 ","8,463 ","8,408 ","7,662 ","8,827 ","29,972 ","7,686 ","7,540 ","7,363 ","7,383 ","28,125 ","7,852 ","7,314 ","6,323 ","6,636 ","26,203 ","6,497 ","6,837 ","6,234 ","6,635 ","23,603 ","6,274 ","5,475 ","5,536 ","6,318 ","22,926 ","6,072 ","5,649 ","5,540 ","5,665 ","17,518 ","4,646 ","4,097 ","4,381 ","4,394 ","17,009 ","4,304 ","4,200 ","4,006 ","4,499 ","15,062 ","3,749 ","3,628 ","3,523 ","4,162 ","11,848 ","3,208 ","2,578 ","2,844 ","3,218 ","12,005 ","2,750 ","2,968 ","2,863 ","3,424 ","10,872 ","2,997 ","2,731 ","2,386 ","2,758 ","9,848 ","2,125 ","2,373 ","2,278 ","3,072 ","14,211 ","3,086 ","3,230 ","3,453 ","4,442 ","13,526 ","3,253 ","3,130 ","3,116 ","4,027 ","13,581 ","3,279 ","3,205 ","3,079 ","4,018 ","12,981 ","3,194 ","3,132 ","2,886 ","3,769 ","12,333 ","2,848 ","2,965 ","2,821 ","3,699 ","11,456 ","2,858 ","2,776 ","2,520 ","3,302 ","10,273 ","2,453 ","2,534 ","2,379 ","2,907 ","10,393 ","2,422 ","2,556 ","2,514 ","2,901 ","11,278 ","2,549 ","2,723 ","2,690 ","3,316 ","11,444 ","2,573 ","2,709 ","2,680 ","3,482 ","11,501 ","2,601 ","2,799 ","2,671 ","3,430 ","11,919 ","2,681 ","2,920 ","2,722 ","3,596 ","12,514 ","2,798 ","3,004 ","2,973 ","3,739 ","11,777 ","2,697 ","2,850 ","2,703 ","3,527 ","11,688 ","2,816 ","2,676 ","2,687 ","3,509 ","12,242 ","2,726 ","3,150 ","2,869 ","3,497 "
C 製造業　,"548,057 ","130,114 ","132,290 ","143,328 ","142,325 ","564,917 ","133,876 ","137,858 ","146,774 ","146,409 ","653,250 ","143,041 ","158,720 ","176,682 ","174,807 ","747,626 ","173,237 ","188,664 ","199,558 ","186,167 ","755,542 ","176,811 ","187,664 ","197,782 ","193,285 ","890,033 ","202,366 ","211,177 ","236,010 ","240,480 ","984,231 ","228,072 ","243,865 ","263,827 ","248,467 ","1,015,342 ","237,376 ","247,048 ","270,642 ","260,276 ","1,061,315 ","252,906 ","263,899 ","278,536 ","265,974 ","1,048,341 ","244,327 ","249,963 ","276,192 ","277,859 ","1,109,763 ","254,289 ","260,685 ","295,023 ","299,766 ","1,167,995 ","268,931 ","286,514 ","300,568 ","311,982 ","1,216,565 ","276,631 ","295,057 ","316,188 ","328,689 ","1,296,359 ","279,875 ","318,571 ","331,980 ","365,933 ","1,375,562 ","308,080 ","336,367 ","356,245 ","374,870 ","1,462,525 ","316,828 ","351,158 ","379,496 ","415,043 ","1,566,847 ","332,489 ","374,151 ","406,581 ","453,626 ","1,600,523 ","350,220 ","386,520 ","419,413 ","444,370 ","1,734,713 ","367,377 ","427,400 ","454,036 ","485,900 ","1,893,139 ","401,168 ","459,900 ","516,153 ","515,918 ","1,763,085 ","395,791 ","419,769 ","443,682 ","503,843 ","1,974,072 ","415,935 ","482,107 ","518,201 ","557,829 ","2,200,626 ","461,802 ","504,205 ","569,162 ","665,457 ","2,456,812 ","530,176 ","583,718 ","642,005 ","700,913 ","2,672,947 ","559,176 ","627,953 ","693,432 ","792,386 ","2,886,538 ","612,402 ","689,994 ","773,499 ","810,643 ","3,310,926 ","674,495 ","784,452 ","902,435 ","949,544 ","3,351,788 ","785,388 ","858,640 ","902,332 ","805,428 ","3,284,456 ","656,838 ","777,794 ","884,482 ","965,342 ","4,050,405 ","866,148 ","999,084 ","1,077,465 ","1,107,708 ","4,318,148 ","1,004,815 ","1,076,065 ","1,121,445 ","1,115,823 ","4,549,302 ","1,041,161 ","1,119,871 ","1,194,232 ","1,194,038 ","4,703,461 ","1,062,445 ","1,154,607 ","1,247,065 ","1,239,344 ","5,198,322 ","1,147,954 ","1,283,391 ","1,389,460 ","1,377,517 ","5,268,159 ","1,243,069 ","1,312,523 ","1,375,940 ","1,336,627 ","5,481,223 ","1,233,030 ","1,333,875 ","1,463,523 ","1,450,795 ","5,885,211 ","1,352,165 ","1,397,355 ","1,576,250 ","1,559,441 ","6,109,931 ","1,400,378 ","1,477,146 ","1,630,060 ","1,602,347 ","6,241,874 ","1,394,589 ","1,513,871 ","1,685,737 ","1,647,677 ","6,796,648 ","1,522,104 ","1,600,747 ","1,823,439 ","1,850,358 ","7,918,542 ","1,816,880 ","1,923,056 ","2,110,005 ","2,068,601 ","8,097,569 ","1,959,202 ","1,993,096 ","2,163,935 ","1,981,336 ","7,507,180 ","1,718,676 ","1,810,685 ","2,027,660 ","1,950,159 ","8,287,130 ","1,862,353 ","2,024,505 ","2,235,676 ","2,164,596 ","9,653,036 ","2,054,638 ","2,373,053 ","2,526,555 ","2,698,790 "
D 電力及燃氣供應業　,"37,994 ","8,867 ","9,089 ","10,131 ","9,907 ","39,044 ","8,613 ","9,593 ","9,905 ","10,933 ","42,526 ","9,033 ","9,889 ","11,548 ","12,056 ","44,615 ","9,382 ","10,318 ","12,224 ","12,691 ","44,749 ","9,520 ","10,997 ","11,784 ","12,448 ","46,207 ","10,112 ","10,408 ","12,985 ","12,702 ","54,039 ","10,745 ","12,709 ","15,175 ","15,410 ","59,445 ","11,776 ","13,352 ","17,006 ","17,311 ","63,550 ","13,469 ","15,004 ","17,410 ","17,667 ","64,105 ","13,753 ","15,017 ","17,561 ","17,774 ","73,576 ","15,346 ","18,207 ","19,980 ","20,043 ","82,104 ","17,023 ","19,461 ","23,573 ","22,047 ","88,882 ","18,551 ","21,320 ","25,798 ","23,213 ","96,641 ","21,152 ","24,567 ","26,520 ","24,402 ","104,100 ","22,360 ","26,107 ","29,410 ","26,223 ","108,923 ","23,213 ","26,441 ","31,676 ","27,593 ","115,905 ","24,161 ","28,269 ","32,796 ","30,679 ","125,397 ","26,047 ","30,706 ","36,525 ","32,119 ","128,092 ","28,465 ","29,514 ","36,749 ","33,364 ","130,277 ","28,018 ","30,615 ","36,523 ","35,121 ","124,286 ","25,570 ","29,450 ","34,807 ","34,459 ","129,280 ","26,429 ","30,658 ","36,394 ","35,799 ","132,991 ","27,693 ","30,179 ","38,232 ","36,887 ","142,749 ","28,279 ","33,575 ","41,304 ","39,591 ","148,385 ","31,668 ","34,839 ","40,030 ","41,848 ","150,416 ","33,666 ","34,560 ","37,919 ","44,271 ","142,340 ","28,660 ","31,152 ","37,883 ","44,645 ","137,949 ","30,373 ","28,206 ","35,462 ","43,908 ","170,553 ","22,865 ","13,903 ","41,543 ","92,242 ","182,903 ","37,791 ","37,946 ","49,102 ","58,064 ","190,316 ","42,340 ","37,440 ","47,869 ","62,667 ","191,640 ","40,643 ","49,916 ","53,287 ","47,794 ","196,318 ","47,106 ","43,551 ","53,981 ","51,680 ","201,850 ","48,532 ","48,001 ","55,182 ","50,135 ","194,710 ","46,356 ","47,784 ","51,522 ","49,048 ","207,254 ","45,602 ","50,825 ","56,642 ","54,185 ","207,160 ","44,933 ","49,663 ","58,184 ","54,380 ","207,379 ","46,770 ","49,651 ","58,175 ","52,783 ","207,662 ","46,369 ","49,979 ","58,144 ","53,170 ","204,091 ","45,405 ","47,635 ","57,963 ","53,088 ","207,392 ","47,245 ","50,136 ","56,666 ","53,345 ","215,402 ","47,785 ","52,774 ","61,108 ","53,735 ","216,229 ","48,257 ","53,038 ","61,085 ","53,849 ","219,806 ","49,799 ","54,343 ","61,288 ","54,376 ","219,424 ","49,351 ","54,438 ","61,299 ","54,336 "
E 用水供應及污染整治業　,"19,546 ","4,714 ","4,558 ","5,120 ","5,154 ","21,615 ","4,669 ","4,713 ","6,058 ","6,175 ","23,188 ","5,234 ","5,038 ","6,358 ","6,558 ","24,462 ","5,433 ","5,402 ","6,714 ","6,913 ","25,854 ","6,049 ","5,421 ","6,924 ","7,460 ","27,040 ","6,302 ","5,683 ","7,390 ","7,665 ","30,710 ","6,925 ","6,567 ","8,531 ","8,687 ","33,400 ","7,559 ","7,159 ","9,129 ","9,553 ","36,135 ","8,427 ","7,834 ","9,777 ","10,097 ","39,810 ","9,012 ","8,265 ","11,172 ","11,361 ","44,962 ","10,563 ","9,455 ","12,171 ","12,773 ","45,997 ","10,876 ","9,849 ","12,329 ","12,943 ","46,233 ","10,978 ","10,006 ","12,471 ","12,778 ","47,461 ","11,354 ","10,097 ","12,665 ","13,345 ","48,232 ","12,430 ","10,923 ","13,687 ","11,192 ","49,586 ","12,326 ","10,540 ","13,378 ","13,342 ","50,378 ","12,357 ","10,863 ","13,657 ","13,501 ","50,781 ","12,525 ","11,353 ","13,571 ","13,332 ","51,901 ","12,769 ","11,727 ","13,713 ","13,692 ","51,816 ","12,543 ","11,676 ","13,680 ","13,917 ","52,816 ","13,065 ","12,324 ","14,146 ","13,281 ","58,366 ","13,695 ","13,447 ","15,021 ","16,203 ","64,688 ","14,958 ","14,884 ","16,783 ","18,063 ","70,714 ","16,856 ","16,184 ","18,444 ","19,230 ","76,690 ","17,425 ","17,920 ","20,407 ","20,938 ","83,638 ","19,396 ","20,124 ","22,391 ","21,727 ","92,481 ","21,185 ","23,100 ","25,134 ","23,062 ","96,904 ","22,031 ","24,483 ","25,474 ","24,916 ","97,768 ","21,463 ","24,694 ","25,739 ","25,872 ","102,180 ","22,359 ","25,727 ","27,173 ","26,921 ","100,485 ","22,004 ","25,111 ","26,432 ","26,938 ","105,094 ","24,075 ","26,685 ","27,956 ","26,378 ","103,714 ","23,641 ","26,638 ","27,800 ","25,635 ","105,516 ","24,070 ","26,819 ","28,367 ","26,260 ","102,372 ","23,288 ","25,821 ","27,609 ","25,654 ","103,799 ","22,974 ","25,864 ","28,388 ","26,573 ","105,948 ","23,669 ","26,322 ","28,773 ","27,184 ","108,888 ","24,086 ","27,449 ","29,573 ","27,780 ","110,958 ","24,373 ","27,841 ","30,133 ","28,611 ","114,075 ","24,540 ","28,646 ","31,198 ","29,691 ","112,798 ","24,458 ","28,722 ","30,527 ","29,091 ","121,044 ","26,140 ","30,866 ","32,408 ","31,630 ","131,868 ","27,969 ","34,466 ","35,488 ","33,945 ","139,627 ","29,936 ","36,422 ","37,736 ","35,533 ","142,908 ","31,071 ","37,782 ","37,556 ","36,499 "
F 營建工程業　,"291,911 ","69,949 ","77,585 ","72,978 ","71,399 ","286,009 ","66,875 ","77,788 ","72,530 ","68,816 ","274,269 ","60,278 ","75,149 ","71,342 ","67,500 ","285,241 ","66,876 ","77,157 ","71,210 ","69,998 ","293,832 ","69,244 ","79,418 ","72,358 ","72,812 ","310,706 ","72,558 ","81,399 ","77,131 ","79,618 ","340,175 ","79,952 ","91,493 ","84,062 ","84,668 ","379,250 ","90,908 ","98,997 ","94,523 ","94,822 ","426,777 ","100,927 ","112,999 ","106,404 ","106,447 ","458,911 ","106,740 ","117,167 ","120,352 ","114,652 ","475,763 ","117,126 ","124,948 ","123,418 ","110,271 ","516,504 ","132,588 ","133,311 ","132,458 ","118,147 ","574,026 ","142,690 ","152,879 ","152,570 ","125,887 ","616,787 ","146,997 ","163,048 ","169,468 ","137,274 ","624,952 ","150,982 ","170,583 ","168,840 ","134,547 ","613,664 ","144,427 ","170,198 ","165,308 ","133,731 ","616,787 ","140,035 ","168,535 ","174,988 ","133,229 ","619,971 ","138,518 ","172,054 ","177,426 ","131,973 ","613,761 ","144,159 ","170,099 ","160,639 ","138,864 ","587,586 ","129,042 ","161,418 ","160,325 ","136,801 ","520,365 ","131,050 ","143,898 ","132,176 ","113,241 ","537,269 ","124,242 ","153,242 ","147,604 ","112,181 ","519,997 ","131,673 ","138,103 ","140,528 ","109,693 ","557,895 ","129,983 ","154,880 ","160,712 ","112,320 ","567,820 ","135,373 ","155,776 ","161,139 ","115,532 ","593,185 ","137,973 ","161,495 ","175,045 ","118,672 ","600,567 ","138,946 ","166,203 ","172,026 ","123,392 ","545,733 ","132,975 ","149,564 ","151,612 ","111,582 ","485,823 ","118,906 ","126,460 ","131,034 ","109,423 ","552,921 ","137,980 ","140,624 ","151,097 ","123,220 ","558,684 ","148,388 ","145,228 ","149,329 ","115,739 ","550,618 ","144,317 ","142,292 ","145,843 ","118,166 ","555,232 ","146,514 ","141,618 ","144,496 ","122,604 ","559,538 ","145,983 ","142,792 ","144,133 ","126,630 ","555,274 ","145,408 ","141,738 ","142,310 ","125,818 ","548,766 ","141,664 ","140,845 ","141,885 ","124,372 ","540,768 ","136,603 ","137,733 ","142,846 ","123,586 ","547,431 ","138,146 ","139,916 ","143,726 ","125,643 ","571,581 ","144,208 ","146,559 ","147,974 ","132,840 ","598,524 ","146,939 ","151,398 ","161,875 ","138,312 ","628,475 ","162,124 ","161,156 ","164,426 ","140,769 ","633,048 ","176,823 ","173,029 ","156,176 ","127,020 ","628,636 ","170,011 ","168,361 ","160,243 ","130,021 ","658,041 ","177,321 ","174,799 ","168,932 ","136,989 ","685,534 ","186,887 ","186,154 ","174,000 ","138,493 "
G 批發及零售業　,"365,653 ","86,990 ","88,476 ","91,064 ","99,123 ","382,373 ","90,664 ","94,006 ","94,599 ","103,104 ","416,919 ","95,262 ","104,384 ","103,793 ","113,480 ","458,735 ","107,557 ","114,637 ","114,481 ","122,060 ","487,820 ","115,765 ","119,973 ","121,895 ","130,187 ","532,469 ","127,915 ","128,991 ","132,364 ","143,199 ","593,455 ","141,875 ","141,561 ","149,252 ","160,767 ","665,744 ","158,738 ","163,224 ","164,833 ","178,949 ","739,226 ","178,711 ","181,778 ","181,288 ","197,449 ","808,727 ","198,396 ","195,058 ","197,590 ","217,683 ","882,812 ","221,619 ","214,333 ","213,296 ","233,564 ","978,696 ","244,711 ","241,312 ","237,456 ","255,217 ","1,053,269 ","263,897 ","260,293 ","252,831 ","276,248 ","1,145,256 ","283,647 ","278,588 ","277,968 ","305,053 ","1,245,379 ","310,766 ","305,341 ","297,074 ","332,198 ","1,343,814 ","335,278 ","329,156 ","322,391 ","356,989 ","1,412,408 ","353,697 ","352,629 ","327,832 ","378,250 ","1,498,393 ","366,022 ","369,322 ","356,669 ","406,380 ","1,612,984 ","395,459 ","395,519 ","380,274 ","441,732 ","1,741,358 ","416,453 ","431,275 ","405,801 ","487,829 ","1,762,183 ","444,028 ","422,722 ","407,443 ","487,990 ","1,820,566 ","435,822 ","437,655 ","433,643 ","513,446 ","1,871,007 ","456,098 ","430,917 ","446,423 ","537,569 ","1,994,538 ","482,701 ","488,387 ","475,952 ","547,498 ","2,127,972 ","509,485 ","512,887 ","510,260 ","595,340 ","2,251,013 ","548,351 ","543,152 ","534,638 ","624,872 ","2,382,083 ","579,655 ","570,039 ","569,769 ","662,620 ","2,406,275 ","629,109 ","597,439 ","561,318 ","618,409 ","2,353,970 ","577,076 ","561,861 ","556,865 ","658,168 ","2,504,280 ","615,808 ","613,940 ","590,778 ","683,754 ","2,599,470 ","665,883 ","636,079 ","614,641 ","682,867 ","2,626,582 ","667,703 ","642,333 ","617,801 ","698,745 ","2,656,373 ","675,810 ","642,255 ","618,547 ","719,761 ","2,742,353 ","693,367 ","672,414 ","641,217 ","735,355 ","2,729,177 ","703,375 ","667,483 ","629,015 ","729,304 ","2,734,976 ","689,074 ","659,641 ","635,848 ","750,413 ","2,793,567 ","702,571 ","667,900 ","653,921 ","769,175 ","2,820,428 ","714,586 ","681,901 ","662,341 ","761,600 ","2,888,163 ","721,933 ","692,952 ","685,864 ","787,414 ","2,963,001 ","725,342 ","672,719 ","730,914 ","834,026 ","3,015,221 ","788,089 ","699,327 ","700,128 ","827,677 ","3,066,814 ","817,615 ","727,169 ","713,854 ","808,176 ","3,041,552 ","761,169 ","731,554 ","717,232 ","831,597 ","3,127,990 ","794,990 ","751,797 ","735,372 ","845,831 ","3,340,540 ","821,928 ","796,877 ","784,202 ","937,533 "
H 運輸及倉儲業　,"189,582 ","44,729 ","47,465 ","47,865 ","49,523 ","204,307 ","47,818 ","51,165 ","51,149 ","54,175 ","221,553 ","51,553 ","56,530 ","55,298 ","58,172 ","245,619 ","57,863 ","62,000 ","61,358 ","64,398 ","266,100 ","63,596 ","66,698 ","66,281 ","69,525 ","281,375 ","66,988 ","69,566 ","69,798 ","75,023 ","312,547 ","76,232 ","77,020 ","78,062 ","81,233 ","341,667 ","82,515 ","85,212 ","86,666 ","87,274 ","365,201 ","88,538 ","92,500 ","92,686 ","91,477 ","379,850 ","93,164 ","95,452 ","98,059 ","93,175 ","406,999 ","98,836 ","100,518 ","104,563 ","103,082 ","439,178 ","109,614 ","109,043 ","111,336 ","109,185 ","460,791 ","114,545 ","114,229 ","117,102 ","114,915 ","487,615 ","121,839 ","119,250 ","122,889 ","123,637 ","520,794 ","131,665 ","129,072 ","129,294 ","130,763 ","545,385 ","137,566 ","134,849 ","137,223 ","135,747 ","569,218 ","142,787 ","140,762 ","144,200 ","141,469 ","587,943 ","146,468 ","148,231 ","146,123 ","147,121 ","656,683 ","163,856 ","165,353 ","165,836 ","161,638 ","700,387 ","170,689 ","176,082 ","177,523 ","176,093 ","674,462 ","174,729 ","168,793 ","164,990 ","165,950 ","700,225 ","170,699 ","176,077 ","171,514 ","181,935 ","706,555 ","179,388 ","163,998 ","173,861 ","189,308 ","751,063 ","183,999 ","183,478 ","187,782 ","195,804 ","770,948 ","188,220 ","187,272 ","192,704 ","202,752 ","797,447 ","194,933 ","194,140 ","201,733 ","206,641 ","838,273 ","207,368 ","205,031 ","210,613 ","215,261 ","833,515 ","209,584 ","205,866 ","206,330 ","211,735 ","789,422 ","191,997 ","191,183 ","192,761 ","213,481 ","853,515 ","215,171 ","212,166 ","206,608 ","219,570 ","875,167 ","220,846 ","213,613 ","215,037 ","225,671 ","886,987 ","224,912 ","214,928 ","217,782 ","229,365 ","950,574 ","237,873 ","230,926 ","232,410 ","249,365 ","955,503 ","241,276 ","237,466 ","234,752 ","242,009 ","948,487 ","241,313 ","239,083 ","227,266 ","240,825 ","975,339 ","237,398 ","242,695 ","239,084 ","256,162 ","1,029,374 ","255,262 ","250,074 ","256,941 ","267,097 ","1,076,337 ","270,463 ","261,409 ","270,536 ","273,929 ","1,085,435 ","269,848 ","262,795 ","274,370 ","278,422 ","862,237 ","230,524 ","192,578 ","217,514 ","221,621 ","805,311 ","208,550 ","197,859 ","184,337 ","214,565 ","856,508 ","203,693 ","200,537 ","214,430 ","237,848 ","1,160,103 ","271,992 ","289,328 ","294,129 ","304,654 ","1,216,023 ","299,233 ","308,854 ","294,232 ","313,704 ","1,240,674 ","299,942 ","312,262 ","300,656 ","327,814 "
