,"國內各業生產及平減指數-年"
,,,,,""
"統計期","行業","生產總額_當期價格(新臺幣百萬元)","中間消費_當期價格(新臺幣百萬元)","國內生產毛額_當期價格(新臺幣百萬元)","國內生產毛額_連鎖實質值(2021為參考年_新臺幣百萬元)","國內生產毛額_平減指數(2021年=100)",
"110年","J.出版影音及資通訊業","1,151,298","479,732","671,566","671,566","100.00",
"110年","K.金融及保險業","2,096,735","670,213","1,426,522","1,426,522","100.00",
"110年","L.不動產及住宅服務業","2,228,279","547,704","1,680,575","1,680,575","100.00",
"110年","M.專業、科學及技術服務業","856,371","357,819","498,552","498,552","100.00",
"110年","N.支援服務業","471,206","147,763","323,443","323,443","100.00",
"110年","O.公共行政及國防；強制性社會安全","1,679,745","495,870","1,183,875","1,183,875","100.00",
"110年","P.教育業","907,696","155,792","751,904","751,904","100.00",
"110年","Q.醫療保健及社會工作服務業","1,044,877","381,978","662,899","662,899","100.00",
"110年","R.藝術、娛樂及休閒服務業","194,674","76,054","118,620","118,620","100.00",
"110年","S.其他服務業","602,930","213,898","389,032","389,032","100.00",
"110年","合計","45,447,981","24,302,060","21,145,921","21,145,921","100.00",
"110年","進口稅","224,580","-","224,580","224,580","100.00",
"110年","加值型營業稅","402,790","-","402,790","402,790","100.00",
"110年","總計(生產面)","46,075,351","24,302,060","21,773,291","21,773,291","100.00",
"110年","GDP","-","-","21,773,291","21,773,291","100.00",
"110年","補充項目:ICT產業","10,009,645","5,143,886","4,865,759","4,865,759","100.00",
"111年","A.農、林、漁、牧業","660,924","339,561","321,363","302,351","106.29",
"111年","B.礦業及土石採取業","24,582","12,850","11,732","12,514","93.75",
"111年","C.製造業","25,145,767","16,804,627","8,341,140","8,097,569","103.01",
"111年","CA.食品及飼品製造業","979,432","800,070","179,362","180,920","99.14",
"111年","CB.飲料及菸草製造業","162,120","51,270","110,850","108,463","102.20",
"111年","CC.紡織業","382,679","277,576","105,103","93,620","112.27",
"111年","CD.成衣及服飾品製造業","193,091","147,575","45,516","44,109","103.19",
"111年","CE.皮革、毛皮及其製品製造業","54,804","31,510","23,294","21,497","108.36",
"111年","CF.木竹製品製造業","55,379","41,489","13,890","12,699","109.38",
"111年","CG.紙漿、紙及紙製品製造業","275,300","205,461","69,839","68,591","101.82",
"111年","CH.印刷及資料儲存媒體複製業","124,895","81,341","43,554","44,584","97.69",
"111年","CI.石油及煤製品製造業","1,498,368","1,407,531","90,837","183,762","49.43",
"111年","CJ.化學材料及肥料製造業","2,134,156","1,767,717","366,439","428,080","85.60",
"111年","CK.其他化學製品製造業","366,279","262,940","103,339","95,780","107.89",
"111年","CL.藥品及醫用化學製品製造業","158,476","82,908","75,568","74,643","101.24",
"111年","CM.橡膠製品製造業","129,223","79,528","49,695","45,314","109.67",
"111年","CN.塑膠製品製造業","547,275","381,816","165,459","156,537","105.70",
"111年","CO.非金屬礦物製品製造業","434,700","309,757","124,943","112,584","110.98",
"111年","CP.基本金屬製造業","2,118,508","1,748,514","369,994","401,860","92.07",
"111年","CQ.金屬製品製造業","1,331,525","922,348","409,177","350,712","116.67",
"111年","CR.電子零組件製造業","7,910,024","3,849,992","4,060,032","3,835,393","105.86",
"111年","CS.電腦、電子產品及光學製品製造業","2,366,593","1,530,655","835,938","791,125","105.66",
"111年","CT.電力設備及配備製造業","908,500","668,667","239,833","228,464","104.98",
"111年","CU.機械設備製造業","1,166,707","846,529","320,178","299,749","106.82",
"111年","CV.汽車及其零件製造業","539,050","380,150","158,900","150,412","105.64",
"111年","CW.其他運輸工具及其零件製造業","591,159","439,598","151,561","145,324","104.29",
"111年","CX.家具製造業","103,960","78,471","25,489","24,097","105.78",
"111年","CY.其他製造業","613,564","411,214","202,350","199,250","101.56",
"111年","D.電力及燃氣供應業","857,101","1,024,440","-167,339","215,402","--",
"111年","E.用水供應及污染整治業","280,671","161,877","118,794","121,044","98.14",
"111年","F.營建工程業","2,432,160","1,731,389","700,771","633,048","110.70",
"111年","G.批發及零售業","4,601,694","1,324,648","3,277,046","3,066,814","106.86",
"111年","H.運輸及倉儲業","1,696,463","828,640","867,823","856,508","101.32",
"111年","I.住宿及餐飲業","1,119,653","595,322","524,331","488,320","107.37",
"111年","J.出版影音及資通訊業","1,241,056","506,538","734,518","721,295","101.83",
"111年","K.金融及保險業","2,069,894","665,852","1,404,042","1,368,705","102.58",
"111年","L.不動產及住宅服務業","2,320,011","584,481","1,735,530","1,703,936","101.85",
"111年","M.專業、科學及技術服務業","968,613","424,306","544,307","533,278","102.07",
"111年","N.支援服務業","520,831","160,904","359,927","357,329","100.73",
"111年","O.公共行政及國防；強制性社會安全","1,828,923","594,110","1,234,813","1,189,984","103.77",
"111年","P.教育業","938,301","163,909","774,392","755,543","102.49",
"111年","Q.醫療保健及社會工作服務業","1,147,580","423,858","723,722","714,490","101.29",
"111年","R.藝術、娛樂及休閒服務業","252,587","94,131","158,456","155,023","102.21",
"111年","S.其他服務業","672,933","248,430","424,503","416,818","101.84",
"111年","合計","48,779,744","26,689,873","22,089,871","21,709,971","101.75",
"111年","進口稅","238,728","-","238,728","230,010","103.79",
"111年","加值型營業稅","440,355","-","440,355","427,042","103.12",
"111年","總計(生產面)","49,458,827","26,689,873","22,768,954","22,367,023","101.80",
"111年","GDP","-","-","22,820,430","22,357,584","102.07",
"111年","補充項目:ICT產業","11,222,194","5,726,557","5,495,637","5,215,297","105.38",
"112年","A.農、林、漁、牧業","685,813","334,426","351,387","299,756","117.22",
"112年","B.礦業及土石採取業","24,208","12,677","11,531","11,777","97.91",
"112年","C.製造業","23,220,257","15,168,832","8,051,425","7,507,180","107.25",
"112年","CA.食品及飼品製造業","1,026,776","820,688","206,088","189,961","108.49",
"112年","CB.飲料及菸草製造業","165,942","52,666","113,276","107,755","105.12",
"112年","CC.紡織業","308,138","212,315","95,823","77,135","124.23",
"112年","CD.成衣及服飾品製造業","170,493","129,239","41,254","38,835","106.23",
"112年","CE.皮革、毛皮及其製品製造業","47,329","27,676","19,653","19,981","98.36",
"112年","CF.木竹製品製造業","51,052","38,165","12,887","11,874","108.53",
"112年","CG.紙漿、紙及紙製品製造業","252,247","187,556","64,691","67,016","96.53",
"112年","CH.印刷及資料儲存媒體複製業","123,126","77,215","45,911","43,817","104.78",
"112年","CI.石油及煤製品製造業","1,377,498","1,209,504","167,994","218,257","76.97",
"112年","CJ.化學材料及肥料製造業","1,718,215","1,425,047","293,168","410,362","71.44",
"112年","CK.其他化學製品製造業","341,866","240,167","101,699","92,459","109.99",
"112年","CL.藥品及醫用化學製品製造業","173,113","89,879","83,234","78,748","105.70",
"112年","CM.橡膠製品製造業","110,650","62,270","48,380","39,545","122.34",
"112年","CN.塑膠製品製造業","503,037","320,882","182,155","150,105","121.35",
"112年","CO.非金屬礦物製品製造業","443,454","311,784","131,670","98,937","133.08",
"112年","CP.基本金屬製造業","1,795,055","1,486,254","308,801","383,844","80.45",
"112年","CQ.金屬製品製造業","1,178,691","789,798","388,893","326,876","118.97",
"112年","CR.電子零組件製造業","7,227,120","3,548,664","3,678,456","3,390,666","108.49",
"112年","CS.電腦、電子產品及光學製品製造業","2,503,645","1,524,687","978,958","815,312","120.07",
"112年","CT.電力設備及配備製造業","862,629","620,938","241,691","217,241","111.25",
"112年","CU.機械設備製造業","1,052,595","744,669","307,926","273,885","112.43",
"112年","CV.汽車及其零件製造業","561,122","392,967","168,155","150,715","111.57",
"112年","CW.其他運輸工具及其零件製造業","506,809","372,376","134,433","118,931","113.03",
"112年","CX.家具製造業","95,305","69,380","25,925","22,712","114.15",
"112年","CY.其他製造業","624,350","414,046","210,304","195,282","107.69",
"112年","D.電力及燃氣供應業","940,784","920,389","20,395","216,229","9.43",
"112年","E.用水供應及污染整治業","288,623","169,207","119,416","131,868","90.56",
"112年","F.營建工程業","2,397,005","1,637,208","759,797","628,636","120.86",
"112年","G.批發及零售業","4,607,819","1,314,440","3,293,379","3,041,552","108.28",
"112年","H.運輸及倉儲業","1,502,798","775,014","727,784","1,160,103","62.73",
"112年","I.住宿及餐飲業","1,360,807","695,005","665,802","576,536","115.48",
"112年","J.出版影音及資通訊業","1,311,081","521,718","789,363","753,601","104.75",
"112年","K.金融及保險業","2,127,383","686,975","1,440,408","1,429,912","100.73",
"112年","L.不動產及住宅服務業","2,404,835","580,426","1,824,409","1,748,310","104.35",
"112年","M.專業、科學及技術服務業","1,071,415","479,337","592,078","562,277","105.30",
"112年","N.支援服務業","573,128","172,695","400,433","384,514","104.14",
"112年","O.公共行政及國防；強制性社會安全","1,881,133","609,302","1,271,831","1,200,391","105.95",
"112年","P.教育業","957,873","171,295","786,578","753,021","104.46",
"112年","Q.醫療保健及社會工作服務業","1,189,181","435,155","754,026","754,371","99.95",
"112年","R.藝術、娛樂及休閒服務業","313,336","107,685","205,651","194,499","105.73",
"112年","S.其他服務業","695,919","249,614","446,305","422,276","105.69",
"112年","合計","47,553,398","25,041,400","22,511,998","21,770,194","103.41",
"112年","進口稅","263,011","-","263,011","205,777","127.81",
"112年","加值型營業稅","468,885","-","468,885","443,342","105.76",
"112年","總計(生產面)","48,285,294","25,041,400","23,243,894","22,419,022","103.68",
"112年","GDP","-","-","23,598,348","22,600,156","104.42",
"112年","補充項目:ICT產業","10,734,122","5,429,366","5,304,756","4,820,382","110.05",
"113年","A.農、林、漁、牧業","709,830","335,881","373,949","296,770","126.01",
"113年","B.礦業及土石採取業","25,682","13,347","12,335","11,688","105.54",
"113年","C.製造業","25,586,752","16,434,274","9,152,478","8,287,130","110.44",
"113年","CA.食品及飼品製造業","1,047,532","831,256","216,276","200,847","107.68",
"113年","CB.飲料及菸草製造業","168,254","52,945","115,309","103,279","111.65",
"113年","CC.紡織業","332,976","228,635","104,341","81,757","127.62",
"113年","CD.成衣及服飾品製造業","185,728","143,171","42,557","40,925","103.99",
"113年","CE.皮革、毛皮及其製品製造業","50,613","29,238","21,375","19,413","110.11",
"113年","CF.木竹製品製造業","52,748","39,434","13,314","13,182","101.00",
"113年","CG.紙漿、紙及紙製品製造業","253,001","187,536","65,465","75,788","86.38",
"113年","CH.印刷及資料儲存媒體複製業","130,225","82,313","47,912","43,406","110.38",
"113年","CI.石油及煤製品製造業","1,334,204","1,205,418","128,786","233,345","55.19",
"113年","CJ.化學材料及肥料製造業","1,747,677","1,448,946","298,731","436,673","68.41",
"113年","CK.其他化學製品製造業","368,388","261,340","107,048","97,436","109.86",
"113年","CL.藥品及醫用化學製品製造業","164,171","84,939","79,232","71,748","110.43",
"113年","CM.橡膠製品製造業","112,150","64,343","47,807","38,867","123.00",
"113年","CN.塑膠製品製造業","529,517","338,576","190,941","155,194","123.03",
"113年","CO.非金屬礦物製品製造業","465,142","326,365","138,777","101,258","137.05",
"113年","CP.基本金屬製造業","1,831,135","1,512,317","318,818","381,801","83.50",
"113年","CQ.金屬製品製造業","1,247,017","847,009","400,008","329,854","121.27",
"113年","CR.電子零組件製造業","8,582,483","4,167,966","4,414,517","3,942,302","111.98",
"113年","CS.電腦、電子產品及光學製品製造業","3,259,777","1,978,141","1,281,636","950,712","134.81",
"113年","CT.電力設備及配備製造業","899,740","641,463","258,277","221,639","116.53",
"113年","CU.機械設備製造業","1,084,686","762,093","322,593","285,308","113.07",
"113年","CV.汽車及其零件製造業","538,556","367,276","171,280","151,164","113.31",
"113年","CW.其他運輸工具及其零件製造業","471,903","345,202","126,701","112,704","112.42",
"113年","CX.家具製造業","104,831","77,376","27,455","23,508","116.79",
"113年","CY.其他製造業","624,298","410,976","213,322","195,808","108.94",
"113年","D.電力及燃氣供應業","1,070,165","808,888","261,277","219,806","118.87",
"113年","E.用水供應及污染整治業","302,866","178,715","124,151","139,627","88.92",
"113年","F.營建工程業","2,546,253","1,731,177","815,076","658,041","123.86",
"113年","G.批發及零售業","4,931,647","1,473,641","3,458,006","3,127,990","110.55",
"113年","H.運輸及倉儲業","1,690,936","847,975","842,961","1,216,023","69.32",
"113年","I.住宿及餐飲業","1,403,621","717,785","685,836","567,119","120.93",
"113年","J.出版影音及資通訊業","1,366,654","553,007","813,647","758,210","107.31",
"113年","K.金融及保險業","2,448,069","788,750","1,659,319","1,650,755","100.52",
"113年","L.不動產及住宅服務業","2,583,396","621,287","1,962,109","1,822,605","107.65",
"113年","M.專業、科學及技術服務業","1,174,338","527,423","646,915","598,369","108.11",
"113年","N.支援服務業","620,337","193,045","427,292","403,204","105.97",
"113年","O.公共行政及國防；強制性社會安全","1,953,584","627,164","1,326,420","1,212,658","109.38",
"113年","P.教育業","983,734","174,601","809,133","750,908","107.75",
"113年","Q.醫療保健及社會工作服務業","1,277,865","468,412","809,453","789,303","102.55",
"113年","R.藝術、娛樂及休閒服務業","338,782","118,803","219,979","202,356","108.71",
"113年","S.其他服務業","728,409","254,615","473,794","435,390","108.82",
"113年","合計","51,742,920","26,868,790","24,874,130","23,147,039","107.46",
"113年","進口稅","275,172","-","275,172","237,057","116.08",
"113年","加值型營業稅","507,885","-","507,885","472,725","107.44",
"113年","總計(生產面)","52,525,977","26,868,790","25,657,187","23,860,792","107.53",
"113年","GDP","-","-","25,737,088","23,790,526","108.18",
"113年","補充項目:ICT產業","12,887,596","6,521,802","6,365,794","5,518,168","115.36",
"114年","A.農、林、漁、牧業","...","...","409,134","291,619","140.30",
"114年","B.礦業及土石採取業","...","...","13,258","12,242","108.30",
"114年","C.製造業","...","...","10,911,808","9,653,036","113.04",
"114年","CA.食品及飼品製造業","...","...","...","...","...",
"114年","CB.飲料及菸草製造業","...","...","...","...","...",
"114年","CC.紡織業","...","...","...","...","...",
"114年","CD.成衣及服飾品製造業","...","...","...","...","...",
"114年","CE.皮革、毛皮及其製品製造業","...","...","...","...","...",
"114年","CF.木竹製品製造業","...","...","...","...","...",
"114年","CG.紙漿、紙及紙製品製造業","...","...","...","...","...",
"114年","CH.印刷及資料儲存媒體複製業","...","...","...","...","...",
"114年","CI.石油及煤製品製造業","...","...","...","...","...",
"114年","CJ.化學材料及肥料製造業","...","...","...","...","...",
"114年","CK.其他化學製品製造業","...","...","...","...","...",
"114年","CL.藥品及醫用化學製品製造業","...","...","...","...","...",
"114年","CM.橡膠製品製造業","...","...","...","...","...",
"114年","CN.塑膠製品製造業","...","...","...","...","...",
"114年","CO.非金屬礦物製品製造業","...","...","...","...","...",
"114年","CP.基本金屬製造業","...","...","...","...","...",
"114年","CQ.金屬製品製造業","...","...","...","...","...",
"114年","CR.電子零組件製造業","...","...","...","...","...",
"114年","CS.電腦、電子產品及光學製品製造業","...","...","...","...","...",
"114年","CT.電力設備及配備製造業","...","...","...","...","...",
"114年","CU.機械設備製造業","...","...","...","...","...",
"114年","CV.汽車及其零件製造業","...","...","...","...","...",
"114年","CW.其他運輸工具及其零件製造業","...","...","...","...","...",
"114年","CX.家具製造業","...","...","...","...","...",
"114年","CY.其他製造業","...","...","...","...","...",
"114年","D.電力及燃氣供應業","...","...","360,838","219,424","164.45",
"114年","E.用水供應及污染整治業","...","...","119,899","142,908","83.90",
"114年","F.營建工程業","...","...","895,208","685,534","130.59",
"114年","G.批發及零售業","...","...","3,647,043","3,340,540","109.18",
"114年","H.運輸及倉儲業","...","...","832,656","1,240,674","67.11",
"114年","I.住宿及餐飲業","...","...","715,974","569,886","125.63",
"114年","J.出版影音及資通訊業","...","...","860,052","795,127","108.17",
"114年","K.金融及保險業","...","...","1,837,304","1,742,764","105.42",
"114年","L.不動產及住宅服務業","...","...","1,981,389","1,804,680","109.79",
"114年","M.專業、科學及技術服務業","...","...","681,477","612,605","111.24",
"114年","N.支援服務業","...","...","462,738","429,041","107.85",
"114年","O.公共行政及國防；強制性社會安全","...","...","1,387,206","1,228,013","112.96",
"114年","P.教育業","...","...","829,089","752,028","110.25",
"114年","Q.醫療保健及社會工作服務業","...","...","879,075","815,693","107.77",
"114年","R.藝術、娛樂及休閒服務業","...","...","253,516","226,810","111.77",
"114年","S.其他服務業","...","...","493,371","443,121","111.34",
"114年","合計","...","...","27,571,035","25,036,031","110.13",
"114年","進口稅","...","...","255,637","297,273","85.99",
"114年","加值型營業稅","...","...","485,428","446,096","108.82",
"114年","總計(生產面)","...","...","28,312,100","25,786,997","109.79",
"114年","GDP","...","...","28,698,415","25,854,635","111.00",
"114年","補充項目:ICT產業","...","...","...","...","...",

註解：
(1)2025年為初步統計數。
(2)連鎖實質值不具可加性。
(3)工業包含「B.礦業及土石採取業」至「F.營建工程業」等5個業別。
(4)服務業包含「G.批發及零售業」至「S.其他服務業」等13個業別，另併計進口稅及加值型營業稅。

  
