,"國內各業生產及平減指數-年"
,,,,,""
"統計期","行業","生產總額_當期價格(新臺幣百萬元)","中間消費_當期價格(新臺幣百萬元)","國內生產毛額_當期價格(新臺幣百萬元)","國內生產毛額_連鎖實質值(2021為參考年_新臺幣百萬元)","國內生產毛額_平減指數(2021年=100)",
"105年","CY.其他製造業","389,332","263,716","125,616","102,218","122.89",
"105年","D.電力及燃氣供應業","690,814","394,386","296,428","207,254","143.03",
"105年","E.用水供應及污染整治業","207,324","109,317","98,007","103,799","94.42",
"105年","F.營建工程業","1,472,623","1,061,469","411,154","548,766","74.92",
"105年","G.批發及零售業","3,716,157","1,038,150","2,678,007","2,734,976","97.92",
"105年","H.運輸及倉儲業","1,208,398","697,157","511,241","975,339","52.42",
"105年","I.住宿及餐飲業","942,504","506,839","435,665","465,795","93.53",
"105年","J.出版影音及資通訊業","1,026,079","477,005","549,074","496,262","110.64",
"105年","K.金融及保險業","1,629,880","505,053","1,124,827","1,105,862","101.71",
"105年","L.不動產及住宅服務業","1,791,380","392,117","1,399,263","1,472,096","95.05",
"105年","M.專業、科學及技術服務業","656,829","274,789","382,040","415,833","91.87",
"105年","N.支援服務業","428,979","134,920","294,059","306,166","96.05",
"105年","O.公共行政及國防；強制性社會安全","1,474,639","424,191","1,050,448","1,119,391","93.84",
"105年","P.教育業","898,998","159,643","739,355","759,648","97.33",
"105年","Q.醫療保健及社會工作服務業","796,264","284,241","512,023","575,779","88.93",
"105年","R.藝術、娛樂及休閒服務業","225,580","84,490","141,090","149,033","94.67",
"105年","S.其他服務業","653,619","223,269","430,350","456,601","94.25",
"105年","合計","37,281,632","20,234,575","17,047,057","17,511,565","97.35",
"105年","進口稅","199,880","-","199,880","163,231","122.45",
"105年","加值型營業稅","308,331","-","308,331","321,328","95.96",
"105年","總計(生產面)","37,789,843","20,234,575","17,555,268","17,992,634","97.57",
"105年","GDP","-","-","17,555,268","17,945,024","97.83",
"105年","補充項目:ICT產業","8,078,700","4,936,292","3,142,408","2,859,985","109.87",
"106年","A.農、林、漁、牧業","640,051","310,329","329,722","320,422","102.90",
"106年","B.礦業及土石採取業","18,040","7,474","10,566","10,393","101.66",
"106年","C.製造業","19,709,737","13,758,043","5,951,694","5,885,211","101.13",
"106年","CA.食品及飼品製造業","740,078","597,032","143,046","155,356","92.08",
"106年","CB.飲料及菸草製造業","158,405","55,242","103,163","114,702","89.94",
"106年","CC.紡織業","390,096","285,631","104,465","106,873","97.75",
"106年","CD.成衣及服飾品製造業","152,340","117,751","34,589","39,454","87.67",
"106年","CE.皮革、毛皮及其製品製造業","53,616","36,149","17,467","22,887","76.32",
"106年","CF.木竹製品製造業","49,833","37,406","12,427","13,123","94.70",
"106年","CG.紙漿、紙及紙製品製造業","237,349","180,966","56,383","73,798","76.40",
"106年","CH.印刷及資料儲存媒體複製業","122,852","78,588","44,264","51,318","86.25",
"106年","CI.石油及煤製品製造業","915,639","714,713","200,926","152,712","131.57",
"106年","CJ.化學材料及肥料製造業","2,156,314","1,704,899","451,415","426,477","105.85",
"106年","CK.其他化學製品製造業","321,784","231,157","90,627","83,682","108.30",
"106年","CL.藥品及醫用化學製品製造業","107,004","64,612","42,392","45,876","92.41",
"106年","CM.橡膠製品製造業","120,066","74,604","45,462","47,392","95.93",
"106年","CN.塑膠製品製造業","481,164","342,629","138,535","148,441","93.33",
"106年","CO.非金屬礦物製品製造業","376,797","263,770","113,027","131,316","86.07",
"106年","CP.基本金屬製造業","1,740,096","1,434,019","306,077","437,236","70.00",
"106年","CQ.金屬製品製造業","1,090,817","727,940","362,877","365,585","99.26",
"106年","CR.電子零組件製造業","5,040,313","2,790,880","2,249,433","2,138,374","105.19",
"106年","CS.電腦、電子產品及光學製品製造業","2,308,163","1,714,213","593,950","533,006","111.43",
"106年","CT.電力設備及配備製造業","665,791","500,380","165,411","173,404","95.39",
"106年","CU.機械設備製造業","1,070,430","785,088","285,342","262,574","108.67",
"106年","CV.汽車及其零件製造業","507,413","359,966","147,447","136,007","108.41",
"106年","CW.其他運輸工具及其零件製造業","384,530","291,674","92,856","85,980","108.00",
"106年","CX.家具製造業","86,276","65,557","20,719","19,747","104.92",
"106年","CY.其他製造業","432,571","303,177","129,394","123,049","105.16",
"106年","D.電力及燃氣供應業","712,622","472,034","240,588","207,160","116.14",
"106年","E.用水供應及污染整治業","223,035","118,321","104,714","105,948","98.84",
"106年","F.營建工程業","1,501,633","1,087,186","414,447","540,768","76.64",
"106年","G.批發及零售業","3,782,253","1,059,919","2,722,334","2,793,567","97.45",
"106年","H.運輸及倉儲業","1,280,803","738,501","542,302","1,029,374","52.68",
"106年","I.住宿及餐飲業","973,375","522,021","451,354","468,641","96.31",
"106年","J.出版影音及資通訊業","1,028,094","473,386","554,708","514,086","107.90",
"106年","K.金融及保險業","1,690,476","518,720","1,171,756","1,157,008","101.27",
"106年","L.不動產及住宅服務業","1,851,946","410,759","1,441,187","1,498,059","96.20",
"106年","M.專業、科學及技術服務業","689,458","285,013","404,445","434,192","93.15",
"106年","N.支援服務業","450,555","145,037","305,518","315,543","96.82",
"106年","O.公共行政及國防；強制性社會安全","1,444,005","391,023","1,052,982","1,124,991","93.60",
"106年","P.教育業","894,580","159,052","735,528","758,503","96.97",
"106年","Q.醫療保健及社會工作服務業","839,257","305,126","534,131","588,053","90.83",
"106年","R.藝術、娛樂及休閒服務業","231,264","85,921","145,343","150,903","96.32",
"106年","S.其他服務業","647,403","217,265","430,138","450,191","95.55",
"106年","合計","38,608,587","21,065,130","17,543,457","18,191,929","96.44",
"106年","進口稅","191,352","-","191,352","170,924","111.95",
"106年","加值型營業稅","318,310","-","318,310","328,079","97.02",
"106年","總計(生產面)","39,118,249","21,065,130","18,053,119","18,687,748","96.60",
"106年","GDP","-","-","18,012,387","18,602,118","96.83",
"106年","補充項目:ICT產業","8,107,626","4,813,985","3,293,641","3,094,324","106.44",
"107年","A.農、林、漁、牧業","622,429","308,114","314,315","335,677","93.64",
"107年","B.礦業及土石採取業","18,971","7,804","11,167","11,278","99.02",
"107年","C.製造業","20,463,140","14,374,427","6,088,713","6,109,931","99.65",
"107年","CA.食品及飼品製造業","775,703","622,393","153,310","157,281","97.48",
"107年","CB.飲料及菸草製造業","166,197","54,426","111,771","112,224","99.60",
"107年","CC.紡織業","397,294","295,077","102,217","106,749","95.75",
"107年","CD.成衣及服飾品製造業","157,783","122,727","35,056","39,697","88.31",
"107年","CE.皮革、毛皮及其製品製造業","49,824","33,770","16,054","20,883","76.88",
"107年","CF.木竹製品製造業","51,466","39,181","12,285","13,624","90.17",
"107年","CG.紙漿、紙及紙製品製造業","250,847","189,719","61,128","75,551","80.91",
"107年","CH.印刷及資料儲存媒體複製業","123,311","80,199","43,112","51,028","84.49",
"107年","CI.石油及煤製品製造業","1,186,531","998,039","188,492","164,523","114.57",
"107年","CJ.化學材料及肥料製造業","2,390,753","1,915,296","475,457","439,507","108.18",
"107年","CK.其他化學製品製造業","335,990","243,574","92,416","89,728","103.00",
"107年","CL.藥品及醫用化學製品製造業","112,624","67,457","45,167","49,399","91.43",
"107年","CM.橡膠製品製造業","118,503","74,146","44,357","45,332","97.85",
"107年","CN.塑膠製品製造業","495,630","354,029","141,601","153,662","92.15",
"107年","CO.非金屬礦物製品製造業","387,963","279,722","108,241","130,702","82.82",
"107年","CP.基本金屬製造業","1,908,820","1,582,886","325,934","437,681","74.47",
"107年","CQ.金屬製品製造業","1,149,548","769,722","379,826","371,872","102.14",
"107年","CR.電子零組件製造業","5,159,906","2,858,598","2,301,308","2,270,245","101.37",
"107年","CS.電腦、電子產品及光學製品製造業","1,899,831","1,340,155","559,676","516,428","108.37",
"107年","CT.電力設備及配備製造業","720,390","546,281","174,109","185,459","93.88",
"107年","CU.機械設備製造業","1,141,605","833,590","308,015","282,010","109.22",
"107年","CV.汽車及其零件製造業","489,074","347,663","141,411","133,312","106.08",
"107年","CW.其他運輸工具及其零件製造業","405,845","303,742","102,103","93,375","109.35",
"107年","CX.家具製造業","89,788","68,090","21,698","19,955","108.73",
"107年","CY.其他製造業","497,914","353,945","143,969","143,384","100.41",
"107年","D.電力及燃氣供應業","740,845","537,463","203,382","207,379","98.07",
"107年","E.用水供應及污染整治業","234,013","128,553","105,460","108,888","96.85",
"107年","F.營建工程業","1,595,807","1,160,400","435,407","547,431","79.54",
"107年","G.批發及零售業","3,822,312","1,078,877","2,743,435","2,820,428","97.27",
"107年","H.運輸及倉儲業","1,365,502","827,547","537,955","1,076,337","49.98",
"107年","I.住宿及餐飲業","1,026,507","551,676","474,831","481,509","98.61",
"107年","J.出版影音及資通訊業","1,026,272","460,488","565,784","542,183","104.35",
"107年","K.金融及保險業","1,758,928","544,111","1,214,817","1,193,870","101.75",
"107年","L.不動產及住宅服務業","1,933,084","436,637","1,496,447","1,537,222","97.35",
"107年","M.專業、科學及技術服務業","726,898","303,247","423,651","447,216","94.73",
